id,name
ocd-division/country:ar/autonomous_city:df,Buenos Aires City
ocd-division/country:ar/state:ba,Buenos Aires
ocd-division/country:ar/state:cb,Córdoba
ocd-division/country:ar/state:cc,Chaco
ocd-division/country:ar/state:ch,Chubut
ocd-division/country:ar/state:cn,Corrientes
ocd-division/country:ar/state:ct,Catamarca
ocd-division/country:ar/state:er,Entre Ríos
ocd-division/country:ar/state:fm,Formosa
ocd-division/country:ar/state:jy,Jujuy
ocd-division/country:ar/state:lp,La Pampa
ocd-division/country:ar/state:lr,La Rioja
ocd-division/country:ar/state:mn,Misiones
ocd-division/country:ar/state:mz,Mendoza
ocd-division/country:ar/state:nq,Neuquén
ocd-division/country:ar/state:rn,Río Negro
ocd-division/country:ar/state:sa,Salta
ocd-division/country:ar/state:sc,Santa Cruz
ocd-division/country:ar/state:se,Santiago del Estero
ocd-division/country:ar/state:sf,Santa Fe
ocd-division/country:ar/state:sj,San Juan
ocd-division/country:ar/state:sl,San Luis
ocd-division/country:ar/state:tf,Tierra del Fuego
ocd-division/country:ar/state:tm,Tucumá
