id,name
ocd-division/country:bd,Bangladesh
ocd-division/country:bd/ed:bagerhat_1,Bagerhat-1
ocd-division/country:bd/ed:bagerhat_2,Bagerhat-2
ocd-division/country:bd/ed:bagerhat_3,Bagerhat-3
ocd-division/country:bd/ed:bagerhat_4,Bagerhat-4
ocd-division/country:bd/ed:bandarban,Bandarban
ocd-division/country:bd/ed:barguna_1,Barguna-1
ocd-division/country:bd/ed:barguna_2,Barguna-2
ocd-division/country:bd/ed:barishal_1,Barishal-1
ocd-division/country:bd/ed:barishal_2,Barishal-2
ocd-division/country:bd/ed:barishal_3,Barishal-3
ocd-division/country:bd/ed:barishal_4,Barishal-4
ocd-division/country:bd/ed:barishal_5,Barishal-5
ocd-division/country:bd/ed:barishal_6,Barishal-6
ocd-division/country:bd/ed:bhola_1,Bhola-1
ocd-division/country:bd/ed:bhola_2,Bhola-2
ocd-division/country:bd/ed:bhola_3,Bhola-3
ocd-division/country:bd/ed:bhola_4,Bhola-4
ocd-division/country:bd/ed:bogra_1,Bogra-1
ocd-division/country:bd/ed:bogra_2,Bogra-2
ocd-division/country:bd/ed:bogra_3,Bogra-3
ocd-division/country:bd/ed:bogra_4,Bogra-4
ocd-division/country:bd/ed:bogra_5,Bogra-5
ocd-division/country:bd/ed:bogra_6,Bogra-6
ocd-division/country:bd/ed:bogra_7,Bogra-7
ocd-division/country:bd/ed:brahmanbaria_1,Brahmanbaria-1
ocd-division/country:bd/ed:brahmanbaria_2,Brahmanbaria-2
ocd-division/country:bd/ed:brahmanbaria_3,Brahmanbaria-3
ocd-division/country:bd/ed:brahmanbaria_4,Brahmanbaria-4
ocd-division/country:bd/ed:brahmanbaria_5,Brahmanbaria-5
ocd-division/country:bd/ed:brahmanbaria_6,Brahmanbaria-6
ocd-division/country:bd/ed:chandpur_1,Chandpur-1
ocd-division/country:bd/ed:chandpur_2,Chandpur-2
ocd-division/country:bd/ed:chandpur_3,Chandpur-3
ocd-division/country:bd/ed:chandpur_4,Chandpur-4
ocd-division/country:bd/ed:chandpur_5,Chandpur-5
ocd-division/country:bd/ed:chapai_nawabganj_1,Chapai Nawabganj-1
ocd-division/country:bd/ed:chapai_nawabganj_2,Chapai Nawabganj-2
ocd-division/country:bd/ed:chapai_nawabganj_3,Chapai Nawabganj-3
ocd-division/country:bd/ed:chittagong_1,Chittagong-1
ocd-division/country:bd/ed:chittagong_10,Chittagong-10
ocd-division/country:bd/ed:chittagong_11,Chittagong-11
ocd-division/country:bd/ed:chittagong_12,Chittagong-12
ocd-division/country:bd/ed:chittagong_13,Chittagong-13
ocd-division/country:bd/ed:chittagong_14,Chittagong-14
ocd-division/country:bd/ed:chittagong_15,Chittagong-15
ocd-division/country:bd/ed:chittagong_16,Chittagong-16
ocd-division/country:bd/ed:chittagong_2,Chittagong-2
ocd-division/country:bd/ed:chittagong_3,Chittagong-3
ocd-division/country:bd/ed:chittagong_4,Chittagong-4
ocd-division/country:bd/ed:chittagong_5,Chittagong-5
ocd-division/country:bd/ed:chittagong_6,Chittagong-6
ocd-division/country:bd/ed:chittagong_7,Chittagong-7
ocd-division/country:bd/ed:chittagong_8,Chittagong-8
ocd-division/country:bd/ed:chittagong_9,Chittagong-9
ocd-division/country:bd/ed:chuadanga_1,Chuadanga-1
ocd-division/country:bd/ed:chuadanga_2,Chuadanga-2
ocd-division/country:bd/ed:comilla_1,Comilla-1
ocd-division/country:bd/ed:comilla_10,Comilla-10
ocd-division/country:bd/ed:comilla_11,Comilla-11
ocd-division/country:bd/ed:comilla_2,Comilla-2
ocd-division/country:bd/ed:comilla_3,Comilla-3
ocd-division/country:bd/ed:comilla_4,Comilla-4
ocd-division/country:bd/ed:comilla_5,Comilla-5
ocd-division/country:bd/ed:comilla_6,Comilla-6
ocd-division/country:bd/ed:comilla_7,Comilla-7
ocd-division/country:bd/ed:comilla_8,Comilla-8
ocd-division/country:bd/ed:comilla_9,Comilla-9
ocd-division/country:bd/ed:coxs_bazar_1,Cox s Bazar-1
ocd-division/country:bd/ed:coxs_bazar_2,Cox s Bazar-2
ocd-division/country:bd/ed:coxs_bazar_3,Cox s Bazar-3
ocd-division/country:bd/ed:coxs_bazar_4,Cox s Bazar-4
ocd-division/country:bd/ed:dhaka_1,Dhaka-1
ocd-division/country:bd/ed:dhaka_10,Dhaka-10
ocd-division/country:bd/ed:dhaka_11,Dhaka-11
ocd-division/country:bd/ed:dhaka_12,Dhaka-12
ocd-division/country:bd/ed:dhaka_13,Dhaka-13
ocd-division/country:bd/ed:dhaka_14,Dhaka-14
ocd-division/country:bd/ed:dhaka_15,Dhaka-15
ocd-division/country:bd/ed:dhaka_16,Dhaka-16
ocd-division/country:bd/ed:dhaka_17,Dhaka-17
ocd-division/country:bd/ed:dhaka_18,Dhaka-18
ocd-division/country:bd/ed:dhaka_19,Dhaka-19
ocd-division/country:bd/ed:dhaka_2,Dhaka-2
ocd-division/country:bd/ed:dhaka_20,Dhaka-20
ocd-division/country:bd/ed:dhaka_3,Dhaka-3
ocd-division/country:bd/ed:dhaka_4,Dhaka-4
ocd-division/country:bd/ed:dhaka_5,Dhaka-5
ocd-division/country:bd/ed:dhaka_6,Dhaka-6
ocd-division/country:bd/ed:dhaka_7,Dhaka-7
ocd-division/country:bd/ed:dhaka_8,Dhaka-8
ocd-division/country:bd/ed:dhaka_9,Dhaka-9
ocd-division/country:bd/ed:dinajpur_1,Dinajpur-1
ocd-division/country:bd/ed:dinajpur_2,Dinajpur-2
ocd-division/country:bd/ed:dinajpur_3,Dinajpur-3
ocd-division/country:bd/ed:dinajpur_4,Dinajpur-4
ocd-division/country:bd/ed:dinajpur_5,Dinajpur-5
ocd-division/country:bd/ed:dinajpur_6,Dinajpur-6
ocd-division/country:bd/ed:faridpur_1,Faridpur-1
ocd-division/country:bd/ed:faridpur_2,Faridpur-2
ocd-division/country:bd/ed:faridpur_3,Faridpur-3
ocd-division/country:bd/ed:faridpur_4,Faridpur-4
ocd-division/country:bd/ed:feni_1,Feni-1
ocd-division/country:bd/ed:feni_2,Feni-2
ocd-division/country:bd/ed:feni_3,Feni-3
ocd-division/country:bd/ed:gaibandha_1,Gaibandha-1
ocd-division/country:bd/ed:gaibandha_2,Gaibandha-2
ocd-division/country:bd/ed:gaibandha_3,Gaibandha-3
ocd-division/country:bd/ed:gaibandha_4,Gaibandha-4
ocd-division/country:bd/ed:gaibandha_5,Gaibandha-5
ocd-division/country:bd/ed:gazipur_1,Gazipur-1
ocd-division/country:bd/ed:gazipur_2,Gazipur-2
ocd-division/country:bd/ed:gazipur_3,Gazipur-3
ocd-division/country:bd/ed:gazipur_4,Gazipur-4
ocd-division/country:bd/ed:gazipur_5,Gazipur-5
ocd-division/country:bd/ed:gopalganj_1,Gopalganj-1
ocd-division/country:bd/ed:gopalganj_2,Gopalganj-2
ocd-division/country:bd/ed:gopalganj_3,Gopalganj-3
ocd-division/country:bd/ed:habiganj_1,Habiganj-1
ocd-division/country:bd/ed:habiganj_2,Habiganj-2
ocd-division/country:bd/ed:habiganj_3,Habiganj-3
ocd-division/country:bd/ed:habiganj_4,Habiganj-4
ocd-division/country:bd/ed:jamalpur_1,Jamalpur-1
ocd-division/country:bd/ed:jamalpur_2,Jamalpur-2
ocd-division/country:bd/ed:jamalpur_3,Jamalpur-3
ocd-division/country:bd/ed:jamalpur_4,Jamalpur-4
ocd-division/country:bd/ed:jamalpur_5,Jamalpur-5
ocd-division/country:bd/ed:jessore_1,Jessore-1
ocd-division/country:bd/ed:jessore_2,Jessore-2
ocd-division/country:bd/ed:jessore_3,Jessore-3
ocd-division/country:bd/ed:jessore_4,Jessore-4
ocd-division/country:bd/ed:jessore_5,Jessore-5
ocd-division/country:bd/ed:jessore_6,Jessore-6
ocd-division/country:bd/ed:jhalokathi_1,Jhalokathi-1
ocd-division/country:bd/ed:jhalokathi_2,Jhalokathi-2
ocd-division/country:bd/ed:jhenaidah_1,Jhenaidah-1
ocd-division/country:bd/ed:jhenaidah_2,Jhenaidah-2
ocd-division/country:bd/ed:jhenaidah_3,Jhenaidah-3
ocd-division/country:bd/ed:jhenaidah_4,Jhenaidah-4
ocd-division/country:bd/ed:joypurhat_1,Joypurhat-1
ocd-division/country:bd/ed:joypurhat_2,Joypurhat-2
ocd-division/country:bd/ed:khagrachari,Khagrachari
ocd-division/country:bd/ed:khulna_1,Khulna-1
ocd-division/country:bd/ed:khulna_2,Khulna-2
ocd-division/country:bd/ed:khulna_3,Khulna-3
ocd-division/country:bd/ed:khulna_4,Khulna-4
ocd-division/country:bd/ed:khulna_5,Khulna-5
ocd-division/country:bd/ed:khulna_6,Khulna-6
ocd-division/country:bd/ed:kishoreganj_1,Kishoreganj-1
ocd-division/country:bd/ed:kishoreganj_2,Kishoreganj-2
ocd-division/country:bd/ed:kishoreganj_3,Kishoreganj-3
ocd-division/country:bd/ed:kishoreganj_4,Kishoreganj-4
ocd-division/country:bd/ed:kishoreganj_5,Kishoreganj-5
ocd-division/country:bd/ed:kishoreganj_6,Kishoreganj-6
ocd-division/country:bd/ed:kurigram_1,Kurigram-1
ocd-division/country:bd/ed:kurigram_2,Kurigram-2
ocd-division/country:bd/ed:kurigram_3,Kurigram-3
ocd-division/country:bd/ed:kurigram_4,Kurigram-4
ocd-division/country:bd/ed:kushtia_1,Kushtia-1
ocd-division/country:bd/ed:kushtia_2,Kushtia-2
ocd-division/country:bd/ed:kushtia_3,Kushtia-3
ocd-division/country:bd/ed:kushtia_4,Kushtia-4
ocd-division/country:bd/ed:lakshmipur_1,Lakshmipur-1
ocd-division/country:bd/ed:lakshmipur_2,Lakshmipur-2
ocd-division/country:bd/ed:lakshmipur_3,Lakshmipur-3
ocd-division/country:bd/ed:lakshmipur_4,Lakshmipur-4
ocd-division/country:bd/ed:lalmonirhat_1,Lalmonirhat-1
ocd-division/country:bd/ed:lalmonirhat_2,Lalmonirhat-2
ocd-division/country:bd/ed:lalmonirhat_3,Lalmonirhat-3
ocd-division/country:bd/ed:madaripur_1,Madaripur-1
ocd-division/country:bd/ed:madaripur_2,Madaripur-2
ocd-division/country:bd/ed:madaripur_3,Madaripur-3
ocd-division/country:bd/ed:magura_1,Magura-1
ocd-division/country:bd/ed:magura_2,Magura-2
ocd-division/country:bd/ed:manikganj_1,Manikganj-1
ocd-division/country:bd/ed:manikganj_2,Manikganj-2
ocd-division/country:bd/ed:manikganj_3,Manikganj-3
ocd-division/country:bd/ed:maulvibazar_1,Maulvibazar-1
ocd-division/country:bd/ed:maulvibazar_2,Maulvibazar-2
ocd-division/country:bd/ed:maulvibazar_3,Maulvibazar-3
ocd-division/country:bd/ed:maulvibazar_4,Maulvibazar-4
ocd-division/country:bd/ed:meherpur_1,Meherpur-1
ocd-division/country:bd/ed:meherpur_2,Meherpur-2
ocd-division/country:bd/ed:munshiganj_1,Munshiganj-1
ocd-division/country:bd/ed:munshiganj_2,Munshiganj-2
ocd-division/country:bd/ed:munshiganj_3,Munshiganj-3
ocd-division/country:bd/ed:mymensingh_1,Mymensingh-1
ocd-division/country:bd/ed:mymensingh_10,Mymensingh-10
ocd-division/country:bd/ed:mymensingh_11,Mymensingh-11
ocd-division/country:bd/ed:mymensingh_2,Mymensingh-2
ocd-division/country:bd/ed:mymensingh_3,Mymensingh-3
ocd-division/country:bd/ed:mymensingh_4,Mymensingh-4
ocd-division/country:bd/ed:mymensingh_5,Mymensingh-5
ocd-division/country:bd/ed:mymensingh_6,Mymensingh-6
ocd-division/country:bd/ed:mymensingh_7,Mymensingh-7
ocd-division/country:bd/ed:mymensingh_8,Mymensingh-8
ocd-division/country:bd/ed:mymensingh_9,Mymensingh-9
ocd-division/country:bd/ed:naogaon_1,Naogaon-1
ocd-division/country:bd/ed:naogaon_2,Naogaon-2
ocd-division/country:bd/ed:naogaon_3,Naogaon-3
ocd-division/country:bd/ed:naogaon_4,Naogaon-4
ocd-division/country:bd/ed:naogaon_5,Naogaon-5
ocd-division/country:bd/ed:naogaon_6,Naogaon-6
ocd-division/country:bd/ed:narail_1,Narail-1
ocd-division/country:bd/ed:narail_2,Narail-2
ocd-division/country:bd/ed:narayanganj_1,Narayanganj-1
ocd-division/country:bd/ed:narayanganj_2,Narayanganj-2
ocd-division/country:bd/ed:narayanganj_3,Narayanganj-3
ocd-division/country:bd/ed:narayanganj_4,Narayanganj-4
ocd-division/country:bd/ed:narayanganj_5,Narayanganj-5
ocd-division/country:bd/ed:narsingdi_1,Narsingdi-1
ocd-division/country:bd/ed:narsingdi_2,Narsingdi-2
ocd-division/country:bd/ed:narsingdi_3,Narsingdi-3
ocd-division/country:bd/ed:narsingdi_4,Narsingdi-4
ocd-division/country:bd/ed:narsingdi_5,Narsingdi-5
ocd-division/country:bd/ed:natore_1,Natore-1
ocd-division/country:bd/ed:natore_2,Natore-2
ocd-division/country:bd/ed:natore_3,Natore-3
ocd-division/country:bd/ed:natore_4,Natore-4
ocd-division/country:bd/ed:netrokona_1,Netrokona-1
ocd-division/country:bd/ed:netrokona_2,Netrokona-2
ocd-division/country:bd/ed:netrokona_3,Netrokona-3
ocd-division/country:bd/ed:netrokona_4,Netrokona-4
ocd-division/country:bd/ed:netrokona_5,Netrokona-5
