id,name
ocd-division/country:br,Brazil
ocd-division/country:br/state:ac,Acre
ocd-division/country:br/state:al,Alagoas
ocd-division/country:br/state:ap,Amapá
ocd-division/country:br/state:am,Amazonas
ocd-division/country:br/state:ba,Bahia
ocd-division/country:br/state:ce,Ceará
ocd-division/country:br/state:df,Distrito Federal
ocd-division/country:br/state:es,Espírito Santo
ocd-division/country:br/state:go,Goiás
ocd-division/country:br/state:ma,Maranhão
ocd-division/country:br/state:mt,Mato Grosso
ocd-division/country:br/state:ms,Mato Grosso do Sul
ocd-division/country:br/state:mg,Minas Gerais
ocd-division/country:br/state:pa,Pará
ocd-division/country:br/state:pb,Paraíba
ocd-division/country:br/state:pr,Paraná
ocd-division/country:br/state:pe,Pernambuco
ocd-division/country:br/state:pi,Piauí
ocd-division/country:br/state:rj,Rio de Janeiro
ocd-division/country:br/state:rn,Rio Grande do Norte
ocd-division/country:br/state:rs,Rio Grande do Sul
ocd-division/country:br/state:ro,Rondônia
ocd-division/country:br/state:rr,Roraima
ocd-division/country:br/state:sc,Santa Catarina
ocd-division/country:br/state:sp,São Paulo
ocd-division/country:br/state:se,Sergipe
ocd-division/country:br/state:to,Tocantins
