id,name,sameAs,validThrough,abbreviation,abbreviation_fr,classification,has_children,name_fr,number,organization_name,parent_id,posts_count,sgc,url,validFrom
ocd-division/country:ca,Canada,,,,,,,,,,,,01,,
ocd-division/country:ca/cd:1001,Division No. 1,,,,,CDR,,Division No. 1,,,,,,,
ocd-division/country:ca/cd:1002,Division No. 2,,,,,CDR,,Division No. 2,,,,,,,
ocd-division/country:ca/cd:1003,Division No. 3,,,,,CDR,,Division No. 3,,,,,,,
ocd-division/country:ca/cd:1004,Division No. 4,,,,,CDR,,Division No. 4,,,,,,,
ocd-division/country:ca/cd:1005,Division No. 5,,,,,CDR,,Division No. 5,,,,,,,
ocd-division/country:ca/cd:1006,Division No. 6,,,,,CDR,,Division No. 6,,,,,,,
ocd-division/country:ca/cd:1007,Division No. 7,,,,,CDR,,Division No. 7,,,,,,,
ocd-division/country:ca/cd:1008,Division No. 8,,,,,CDR,,Division No. 8,,,,,,,
ocd-division/country:ca/cd:1009,Division No. 9,,,,,CDR,,Division No. 9,,,,,,,
ocd-division/country:ca/cd:1010,Division No. 10,,,,,CDR,,Division No. 10,,,,,,,
ocd-division/country:ca/cd:1011,Division No. 11,,,,,CDR,,Division No. 11,,,,,,,
ocd-division/country:ca/cd:1101,Kings,,,,,CTY,,Kings,,,,,,,
ocd-division/country:ca/cd:1102,Queens,,,,,CTY,,Queens,,,,,,,
ocd-division/country:ca/cd:1103,Prince,,,,,CTY,,Prince,,,,,,,
ocd-division/country:ca/cd:1201,Shelburne,,,,,CTY,N,Shelburne,,,,,,,
ocd-division/country:ca/cd:1202,Yarmouth,,,,,CTY,N,Yarmouth,,,,,,,
ocd-division/country:ca/cd:1203,Digby,,,,,CTY,N,Digby,,,,,,,
ocd-division/country:ca/cd:1204,Queens,,,,,CTY,N,Queens,,,,,,,
ocd-division/country:ca/cd:1205,Annapolis,,,,,CTY,Y,Annapolis,,,,11,,,
ocd-division/country:ca/cd:1205/district:1,District 1,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1205/district:10,District 10,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1205/district:11,District 11,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1205/district:2,District 2,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1205/district:3,District 3,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1205/district:4,District 4,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1205/district:5,District 5,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1205/district:6,District 6,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1205/district:7,District 7,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1205/district:8,District 8,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1205/district:9,District 9,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1206,Lunenburg,,,,,CTY,N,Lunenburg,,,,,,,
ocd-division/country:ca/cd:1207,Kings,,,,,CTY,Y,Kings,,,,11,,,
ocd-division/country:ca/cd:1207/district:1,District 1,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1207/district:2,District 2,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1207/district:3,District 3,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1207/district:4,District 4,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1207/district:5,District 5,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1207/district:6,District 6,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1207/district:7,District 7,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1207/district:8,District 8,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1207/district:9,District 9,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1208,Hants,,,,,CTY,N,Hants,,,,,,,
ocd-division/country:ca/cd:1209,Halifax,,,,,CTY,N,Halifax,,,,,,,
ocd-division/country:ca/cd:1210,Colchester,,,,,CTY,Y,Colchester,,,,12,,,
ocd-division/country:ca/cd:1210/district:1,District 1,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1210/district:10,District 10,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1210/district:11,District 11,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1210/district:2,District 2,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1210/district:3,District 3,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1210/district:4,District 4,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1210/district:5,District 5,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1210/district:6,District 6,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1210/district:7,District 7,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1210/district:8,District 8,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1210/district:9,District 9,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1211,Cumberland,,,,,CTY,Y,Cumberland,,,,10,,,
ocd-division/country:ca/cd:1211/district:1,District 1,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1211/district:10,District 10,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1211/district:2,District 2,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1211/district:3,District 3,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1211/district:4,District 4,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1211/district:5,District 5,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1211/district:6,District 6,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1211/district:7,District 7,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1211/district:8,District 8,,,,,,,,,,,,,,
ocd-division/country:ca/cd:1211/district:9,District 9,,,,,,,,,,,,,,
