id,name,name_fr,classification
ocd-division/country:ca/cd:1001,Division No. 1,Division No. 1,CDR
ocd-division/country:ca/cd:1002,Division No. 2,Division No. 2,CDR
ocd-division/country:ca/cd:1003,Division No. 3,Division No. 3,CDR
ocd-division/country:ca/cd:1004,Division No. 4,Division No. 4,CDR
ocd-division/country:ca/cd:1005,Division No. 5,Division No. 5,CDR
ocd-division/country:ca/cd:1006,Division No. 6,Division No. 6,CDR
ocd-division/country:ca/cd:1007,Division No. 7,Division No. 7,CDR
ocd-division/country:ca/cd:1008,Division No. 8,Division No. 8,CDR
ocd-division/country:ca/cd:1009,Division No. 9,Division No. 9,CDR
ocd-division/country:ca/cd:1010,Division No. 10,Division No. 10,CDR
ocd-division/country:ca/cd:1011,Division No. 11,Division No. 11,CDR
ocd-division/country:ca/cd:1101,Kings,Kings,CTY
ocd-division/country:ca/cd:1102,Queens,Queens,CTY
ocd-division/country:ca/cd:1103,Prince,Prince,CTY
ocd-division/country:ca/cd:1201,Shelburne,Shelburne,CTY
ocd-division/country:ca/cd:1202,Yarmouth,Yarmouth,CTY
ocd-division/country:ca/cd:1203,Digby,Digby,CTY
ocd-division/country:ca/cd:1204,Queens,Queens,CTY
ocd-division/country:ca/cd:1205,Annapolis,Annapolis,CTY
ocd-division/country:ca/cd:1206,Lunenburg,Lunenburg,CTY
ocd-division/country:ca/cd:1207,Kings,Kings,CTY
ocd-division/country:ca/cd:1208,Hants,Hants,CTY
ocd-division/country:ca/cd:1209,Halifax,Halifax,CTY
ocd-division/country:ca/cd:1210,Colchester,Colchester,CTY
ocd-division/country:ca/cd:1211,Cumberland,Cumberland,CTY
ocd-division/country:ca/cd:1212,Pictou,Pictou,CTY
ocd-division/country:ca/cd:1213,Guysborough,Guysborough,CTY
ocd-division/country:ca/cd:1214,Antigonish,Antigonish,CTY
ocd-division/country:ca/cd:1215,Inverness,Inverness,CTY
ocd-division/country:ca/cd:1216,Richmond,Richmond,CTY
ocd-division/country:ca/cd:1217,Cape Breton,Cape Breton,CTY
ocd-division/country:ca/cd:1218,Victoria,Victoria,CTY
ocd-division/country:ca/cd:1301,Saint John,Saint John,CT
ocd-division/country:ca/cd:1302,Charlotte,Charlotte,CT
ocd-division/country:ca/cd:1303,Sunbury,Sunbury,CT
ocd-division/country:ca/cd:1304,Queens,Queens,CT
ocd-division/country:ca/cd:1305,Kings,Kings,CT
ocd-division/country:ca/cd:1306,Albert,Albert,CT
ocd-division/country:ca/cd:1307,Westmorland,Westmorland,CT
ocd-division/country:ca/cd:1308,Kent,Kent,CT
ocd-division/country:ca/cd:1309,Northumberland,Northumberland,CT
ocd-division/country:ca/cd:1310,York,York,CT
ocd-division/country:ca/cd:1311,Carleton,Carleton,CT
ocd-division/country:ca/cd:1312,Victoria,Victoria,CT
ocd-division/country:ca/cd:1313,Madawaska,Madawaska,CT
ocd-division/country:ca/cd:1314,Restigouche,Restigouche,CT
ocd-division/country:ca/cd:1315,Gloucester,Gloucester,CT
ocd-division/country:ca/cd:2401,Les Îles-de-la-Madeleine,Les Îles-de-la-Madeleine,TÉ
ocd-division/country:ca/cd:2402,Le Rocher-Percé,Le Rocher-Percé,MRC
ocd-division/country:ca/cd:2403,La Côte-de-Gaspé,La Côte-de-Gaspé,MRC
ocd-division/country:ca/cd:2404,La Haute-Gaspésie,La Haute-Gaspésie,MRC
ocd-division/country:ca/cd:2405,Bonaventure,Bonaventure,MRC
ocd-division/country:ca/cd:2406,Avignon,Avignon,MRC
ocd-division/country:ca/cd:2407,La Matapédia,La Matapédia,MRC
ocd-division/country:ca/cd:2408,Matane,Matane,MRC
ocd-division/country:ca/cd:2409,La Mitis,La Mitis,MRC
ocd-division/country:ca/cd:2410,Rimouski-Neigette,Rimouski-Neigette,MRC
ocd-division/country:ca/cd:2411,Les Basques,Les Basques,MRC
ocd-division/country:ca/cd:2412,Rivière-du-Loup,Rivière-du-Loup,MRC
ocd-division/country:ca/cd:2413,Témiscouata,Témiscouata,MRC
ocd-division/country:ca/cd:2414,Kamouraska,Kamouraska,MRC
ocd-division/country:ca/cd:2415,Charlevoix-Est,Charlevoix-Est,MRC
ocd-division/country:ca/cd:2416,Charlevoix,Charlevoix,MRC
ocd-division/country:ca/cd:2417,L'Islet,L'Islet,MRC
ocd-division/country:ca/cd:2418,Montmagny,Montmagny,MRC
ocd-division/country:ca/cd:2419,Bellechasse,Bellechasse,MRC
ocd-division/country:ca/cd:2420,L'Île-d'Orléans,L'Île-d'Orléans,MRC
ocd-division/country:ca/cd:2421,La Côte-de-Beaupré,La Côte-de-Beaupré,MRC
ocd-division/country:ca/cd:2422,La Jacques-Cartier,La Jacques-Cartier,MRC
ocd-division/country:ca/cd:2423,Québec,Québec,TÉ
ocd-division/country:ca/cd:2425,Lévis,Lévis,TÉ
ocd-division/country:ca/cd:2426,La Nouvelle-Beauce,La Nouvelle-Beauce,MRC
ocd-division/country:ca/cd:2427,Robert-Cliche,Robert-Cliche,MRC
ocd-division/country:ca/cd:2428,Les Etchemins,Les Etchemins,MRC
ocd-division/country:ca/cd:2429,Beauce-Sartigan,Beauce-Sartigan,MRC
ocd-division/country:ca/cd:2430,Le Granit,Le Granit,MRC
ocd-division/country:ca/cd:2431,Les Appalaches,Les Appalaches,MRC
ocd-division/country:ca/cd:2432,L'Érable,L'Érable,MRC
ocd-division/country:ca/cd:2433,Lotbinière,Lotbinière,MRC
ocd-division/country:ca/cd:2434,Portneuf,Portneuf,MRC
ocd-division/country:ca/cd:2435,Mékinac,Mékinac,MRC
ocd-division/country:ca/cd:2436,Shawinigan,Shawinigan,TÉ
ocd-division/country:ca/cd:2437,Francheville,Francheville,CDR
ocd-division/country:ca/cd:2438,Bécancour,Bécancour,MRC
ocd-division/country:ca/cd:2439,Arthabaska,Arthabaska,MRC
ocd-division/country:ca/cd:2440,Les Sources,Les Sources,MRC
ocd-division/country:ca/cd:2441,Le Haut-Saint-François,Le Haut-Saint-François,MRC
ocd-division/country:ca/cd:2442,Le Val-Saint-François,Le Val-Saint-François,MRC
ocd-division/country:ca/cd:2443,Sherbrooke,Sherbrooke,TÉ
ocd-division/country:ca/cd:2444,Coaticook,Coaticook,MRC
ocd-division/country:ca/cd:2445,Memphrémagog,Memphrémagog,MRC
ocd-division/country:ca/cd:2446,Brome-Missisquoi,Brome-Missisquoi,MRC
ocd-division/country:ca/cd:2447,La Haute-Yamaska,La Haute-Yamaska,MRC
ocd-division/country:ca/cd:2448,Acton,Acton,MRC
ocd-division/country:ca/cd:2449,Drummond,Drummond,MRC
ocd-division/country:ca/cd:2450,Nicolet-Yamaska,Nicolet-Yamaska,MRC
ocd-division/country:ca/cd:2451,Maskinongé,Maskinongé,MRC
ocd-division/country:ca/cd:2452,D'Autray,D'Autray,MRC
ocd-division/country:ca/cd:2453,Pierre-De Saurel,Pierre-De Saurel,MRC
ocd-division/country:ca/cd:2454,Les Maskoutains,Les Maskoutains,MRC
ocd-division/country:ca/cd:2455,Rouville,Rouville,MRC
ocd-division/country:ca/cd:2456,Le Haut-Richelieu,Le Haut-Richelieu,MRC
ocd-division/country:ca/cd:2457,La Vallée-du-Richelieu,La Vallée-du-Richelieu,MRC
ocd-division/country:ca/cd:2458,Longueuil,Longueuil,TÉ
ocd-division/country:ca/cd:2459,Marguerite-D'Youville,Marguerite-D'Youville,MRC
ocd-division/country:ca/cd:2460,L'Assomption,L'Assomption,MRC
ocd-division/country:ca/cd:2461,Joliette,Joliette,MRC
ocd-division/country:ca/cd:2462,Matawinie,Matawinie,MRC
ocd-division/country:ca/cd:2463,Montcalm,Montcalm,MRC
ocd-division/country:ca/cd:2464,Les Moulins,Les Moulins,MRC
ocd-division/country:ca/cd:2465,Laval,Laval,TÉ
ocd-division/country:ca/cd:2466,Montréal,Montréal,TÉ
ocd-division/country:ca/cd:2467,Roussillon,Roussillon,MRC
ocd-division/country:ca/cd:2468,Les Jardins-de-Napierville,Les Jardins-de-Napierville,MRC
ocd-division/country:ca/cd:2469,Le Haut-Saint-Laurent,Le Haut-Saint-Laurent,MRC
ocd-division/country:ca/cd:2470,Beauharnois-Salaberry,Beauharnois-Salaberry,MRC
ocd-division/country:ca/cd:2471,Vaudreuil-Soulanges,Vaudreuil-Soulanges,MRC
ocd-division/country:ca/cd:2472,Deux-Montagnes,Deux-Montagnes,MRC
ocd-division/country:ca/cd:2473,Thérèse-De Blainville,Thérèse-De Blainville,MRC
ocd-division/country:ca/cd:2474,Mirabel,Mirabel,TÉ
ocd-division/country:ca/cd:2475,La Rivière-du-Nord,La Rivière-du-Nord,MRC
ocd-division/country:ca/cd:2476,Argenteuil,Argenteuil,MRC
ocd-division/country:ca/cd:2477,Les Pays-d'en-Haut,Les Pays-d'en-Haut,MRC
ocd-division/country:ca/cd:2478,Les Laurentides,Les Laurentides,MRC
ocd-division/country:ca/cd:2479,Antoine-Labelle,Antoine-Labelle,MRC
ocd-division/country:ca/cd:2480,Papineau,Papineau,MRC
ocd-division/country:ca/cd:2481,Gatineau,Gatineau,TÉ
ocd-division/country:ca/cd:2482,Les Collines-de-l'Outaouais,Les Collines-de-l'Outaouais,MRC
ocd-division/country:ca/cd:2483,La Vallée-de-la-Gatineau,La Vallée-de-la-Gatineau,MRC
ocd-division/country:ca/cd:2484,Pontiac,Pontiac,MRC
ocd-division/country:ca/cd:2485,Témiscamingue,Témiscamingue,MRC
ocd-division/country:ca/cd:2486,Rouyn-Noranda,Rouyn-Noranda,TÉ
ocd-division/country:ca/cd:2487,Abitibi-Ouest,Abitibi-Ouest,MRC
ocd-division/country:ca/cd:2488,Abitibi,Abitibi,MRC
ocd-division/country:ca/cd:2489,La Vallée-de-l'Or,La Vallée-de-l'Or,MRC
ocd-division/country:ca/cd:2490,La Tuque,La Tuque,TÉ
ocd-division/country:ca/cd:2491,Le Domaine-du-Roy,Le Domaine-du-Roy,MRC
ocd-division/country:ca/cd:2492,Maria-Chapdelaine,Maria-Chapdelaine,MRC
