id,name,name_fr,validFrom
ocd-division/country:ca/ed:10001-2013,Avalon,Avalon,2015-10-19
ocd-division/country:ca/ed:10002-2013,Bonavista—Burin—Trinity,Bonavista—Burin—Trinity,2015-10-19
ocd-division/country:ca/ed:10003-2013,Coast of Bays—Central—Notre Dame,Coast of Bays—Central—Notre Dame,2015-10-19
ocd-division/country:ca/ed:10004-2013,Labrador,Labrador,2015-10-19
ocd-division/country:ca/ed:10005-2013,Long Range Mountains,Long Range Mountains,2015-10-19
ocd-division/country:ca/ed:10006-2013,St. John's East,St. John's-Est,2015-10-19
ocd-division/country:ca/ed:10007-2013,St. John's South—Mount Pearl,St. John's-Sud—Mount Pearl,2015-10-19
ocd-division/country:ca/ed:11001-2013,Cardigan,Cardigan,2015-10-19
ocd-division/country:ca/ed:11002-2013,Charlottetown,Charlottetown,2015-10-19
ocd-division/country:ca/ed:11003-2013,Egmont,Egmont,2015-10-19
ocd-division/country:ca/ed:11004-2013,Malpeque,Malpeque,2015-10-19
ocd-division/country:ca/ed:12001-2013,Cape Breton—Canso,Cape Breton—Canso,2015-10-19
ocd-division/country:ca/ed:12002-2013,Central Nova,Nova-Centre,2015-10-19
ocd-division/country:ca/ed:12003-2013,Cumberland—Colchester,Cumberland—Colchester,2015-10-19
ocd-division/country:ca/ed:12004-2013,Dartmouth—Cole Harbour,Dartmouth—Cole Harbour,2015-10-19
ocd-division/country:ca/ed:12005-2013,Halifax,Halifax,2015-10-19
ocd-division/country:ca/ed:12005-2013,Halifax,Halifax,2015-10-19
ocd-division/country:ca/ed:12006-2013,Halifax West,Halifax-Ouest,2015-10-19
ocd-division/country:ca/ed:12007-2013,Kings—Hants,Kings—Hants,2015-10-19
ocd-division/country:ca/ed:12008-2013,Sackville—Preston—Chezzetcook,Sackville—Preston—Chezzetcook,2015-10-19
ocd-division/country:ca/ed:12009-2013,South Shore—St. Margarets,South Shore—St. Margarets,2015-10-19
ocd-division/country:ca/ed:12010-2013,Sydney—Victoria,Sydney—Victoria,2015-10-19
ocd-division/country:ca/ed:12011-2013,West Nova,Nova-Ouest,2015-10-19
ocd-division/country:ca/ed:13001-2013,Acadie—Bathurst,Acadie—Bathurst,2015-10-19
ocd-division/country:ca/ed:13002-2013,Beauséjour,Beauséjour,2015-10-19
ocd-division/country:ca/ed:13003-2013,Fredericton,Fredericton,2015-10-19
ocd-division/country:ca/ed:13004-2013,Fundy Royal,Fundy Royal,2015-10-19
ocd-division/country:ca/ed:13005-2013,Madawaska—Restigouche,Madawaska—Restigouche,2015-10-19
ocd-division/country:ca/ed:13006-2013,Miramichi—Grand Lake,Miramichi—Grand Lake,2015-10-19
ocd-division/country:ca/ed:13007-2013,Moncton—Riverview—Dieppe,Moncton—Riverview—Dieppe,2015-10-19
ocd-division/country:ca/ed:13008-2013,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,2015-10-19
ocd-division/country:ca/ed:13009-2013,Saint John—Rothesay,Saint John—Rothesay,2015-10-19
ocd-division/country:ca/ed:13010-2013,Tobique—Mactaquac,Tobique—Mactaquac,2015-10-19
ocd-division/country:ca/ed:24001-2013,Abitibi—Baie-James—Nunavik—Eeyou,Abitibi—Baie-James—Nunavik—Eeyou,2015-10-19
ocd-division/country:ca/ed:24002-2013,Abitibi—Témiscamingue,Abitibi—Témiscamingue,2015-10-19
ocd-division/country:ca/ed:24003-2013,Ahuntsic-Cartierville,Ahuntsic-Cartierville,2015-10-19
ocd-division/country:ca/ed:24004-2013,Alfred-Pellan,Alfred-Pellan,2015-10-19
ocd-division/country:ca/ed:24005-2013,Argenteuil—La Petite-Nation,Argenteuil—La Petite-Nation,2015-10-19
ocd-division/country:ca/ed:24006-2013,Avignon—La Mitis—Matane—Matapédia,Avignon—La Mitis—Matane—Matapédia,2015-10-19
ocd-division/country:ca/ed:24007-2013,Beauce,Beauce,2015-10-19
ocd-division/country:ca/ed:24008-2013,Beauport—Limoilou,Beauport—Limoilou,2015-10-19
ocd-division/country:ca/ed:24009-2013,Bécancour—Nicolet—Saurel,Bécancour—Nicolet—Saurel,2015-10-19
ocd-division/country:ca/ed:24010-2013,Bellechasse—Les Etchemins—Lévis,Bellechasse—Les Etchemins—Lévis,2015-10-19
ocd-division/country:ca/ed:24011-2013,Beloeil—Chambly,Beloeil—Chambly,2015-10-19
ocd-division/country:ca/ed:24012-2013,Berthier—Maskinongé,Berthier—Maskinongé,2015-10-19
ocd-division/country:ca/ed:24013-2013,Thérèse-De Blainville,Thérèse-De Blainville,2015-10-19
ocd-division/country:ca/ed:24014-2013,Pierre-Boucher—Les Patriotes—Verchères,Pierre-Boucher—Les Patriotes—Verchères,2015-10-19
ocd-division/country:ca/ed:24015-2013,Bourassa,Bourassa,2015-10-19
ocd-division/country:ca/ed:24016-2013,Brome—Missisquoi,Brome—Missisquoi,2015-10-19
ocd-division/country:ca/ed:24017-2013,Brossard—Saint-Lambert,Brossard—Saint-Lambert,2015-10-19
ocd-division/country:ca/ed:24018-2013,Rimouski-Neigette—Témiscouata—Les Basques,Rimouski-Neigette—Témiscouata—Les Basques,2015-10-19
ocd-division/country:ca/ed:24019-2013,Charlesbourg—Haute-Saint-Charles,Charlesbourg—Haute-Saint-Charles,2015-10-19
ocd-division/country:ca/ed:24020-2013,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,2015-10-19
ocd-division/country:ca/ed:24021-2013,Châteauguay—Lacolle,Châteauguay—Lacolle,2015-10-19
ocd-division/country:ca/ed:24022-2013,Chicoutimi—Le Fjord,Chicoutimi—Le Fjord,2015-10-19
ocd-division/country:ca/ed:24023-2013,Compton—Stanstead,Compton—Stanstead,2015-10-19
ocd-division/country:ca/ed:24024-2013,Dorval—Lachine—LaSalle,Dorval—Lachine—LaSalle,2015-10-19
ocd-division/country:ca/ed:24025-2013,Drummond,Drummond,2015-10-19
ocd-division/country:ca/ed:24026-2013,Gaspésie—Les Îles-de-la-Madeleine,Gaspésie—Les Îles-de-la-Madeleine,2015-10-19
ocd-division/country:ca/ed:24026-2013,Gaspésie—Les Îles-de-la-Madeleine,Gaspésie—Les Îles-de-la-Madeleine,2015-10-19
ocd-division/country:ca/ed:24027-2013,Gatineau,Gatineau,2015-10-19
ocd-division/country:ca/ed:24028-2013,Hochelaga,Hochelaga,2015-10-19
ocd-division/country:ca/ed:24029-2013,Honoré-Mercier,Honoré-Mercier,2015-10-19
ocd-division/country:ca/ed:24030-2013,Hull—Aylmer,Hull—Aylmer,2015-10-19
ocd-division/country:ca/ed:24031-2013,Joliette,Joliette,2015-10-19
ocd-division/country:ca/ed:24032-2013,Jonquière,Jonquière,2015-10-19
ocd-division/country:ca/ed:24033-2013,La Pointe-de-l'Île,La Pointe-de-l'Île,2015-10-19
ocd-division/country:ca/ed:24034-2013,La Prairie,La Prairie,2015-10-19
ocd-division/country:ca/ed:24035-2013,Lac-Saint-Jean,Lac-Saint-Jean,2015-10-19
ocd-division/country:ca/ed:24036-2013,Lac-Saint-Louis,Lac-Saint-Louis,2015-10-19
