id,name,validFrom,validThrough
ocd-division/country:ca/province:ab/ed:acadia,Acadia,1925-09-05,1968-04-22
ocd-division/country:ca/province:ab/ed:athabaska,Athabaska,1925-09-05,1968-04-22
ocd-division/country:ca/province:ab/ed:battle_river,Battle River,1917-10-06,1953-06-12
ocd-division/country:ca/province:ab/ed:battle_river-1968,Battle River,1968-04-23,1979-03-25
ocd-division/country:ca/province:ab/ed:battle_river-camrose,Battle River—Camrose,1953-06-13,1968-04-22
ocd-division/country:ca/province:ab/ed:beaver_river,Beaver River,1988-10-01,1997-04-26
ocd-division/country:ca/province:ab/ed:bow_river,Bow River,1917-10-06,1968-04-22
ocd-division/country:ca/province:ab/ed:bow_river-1979,Bow River,1979-03-26,1988-09-30
ocd-division/country:ca/province:ab/ed:calgary-nose_hill,Calgary—Nose Hill,1997-04-27,2015-08-01
ocd-division/country:ca/province:ab/ed:calgary_centre,Calgary Centre,1968-04-23,2004-05-22
ocd-division/country:ca/province:ab/ed:calgary_centre-north,Calgary Centre-North,2004-09-01,2015-08-01
ocd-division/country:ca/province:ab/ed:calgary_east,Calgary East,1925-09-05,1953-06-12
ocd-division/country:ca/province:ab/ed:calgary_east-1979,Calgary East,1979-03-26,1988-09-30
ocd-division/country:ca/province:ab/ed:calgary_east-1997,Calgary East,1997-04-27,2015-08-01
ocd-division/country:ca/province:ab/ed:calgary_north,Calgary North,1953-06-13,1997-04-26
ocd-division/country:ca/province:ab/ed:calgary_northeast,Calgary Northeast,1988-10-01,2015-08-01
ocd-division/country:ca/province:ab/ed:calgary_south,Calgary South,1953-06-13,1988-09-30
ocd-division/country:ca/province:ab/ed:calgary_southeast,Calgary Southeast,1988-10-01,2015-08-01
ocd-division/country:ca/province:ab/ed:calgary_southwest,Calgary Southwest,1988-10-01,2015-08-01
ocd-division/country:ca/province:ab/ed:calgary_west,Calgary West,1917-10-06,1953-06-12
ocd-division/country:ca/province:ab/ed:calgary_west-1979,Calgary West,1979-03-26,2015-08-01
ocd-division/country:ca/province:ab/ed:camrose,Camrose,1925-09-05,1953-06-12
ocd-division/country:ca/province:ab/ed:crowfoot,Crowfoot,1968-04-23,2015-08-01
ocd-division/country:ca/province:ab/ed:edmonton,Edmonton,1908-09-17,1917-10-05
ocd-division/country:ca/province:ab/ed:edmonton-leduc,Edmonton—Leduc,2004-05-23,2015-08-01
ocd-division/country:ca/province:ab/ed:edmonton-mill_woods-beaumont,Edmonton—Mill Woods—Beaumont,2004-09-01,2015-08-01
ocd-division/country:ca/province:ab/ed:edmonton-sherwood_park,Edmonton—Sherwood Park,2004-05-23,2015-08-01
ocd-division/country:ca/province:ab/ed:edmonton-spruce_grove,Edmonton—Spruce Grove,2004-05-23,2015-08-01
ocd-division/country:ca/province:ab/ed:edmonton-st._albert,Edmonton—St. Albert,2004-05-23,2015-08-01
ocd-division/country:ca/province:ab/ed:edmonton-strathcona,Edmonton—Strathcona,1953-06-13,2015-08-01
ocd-division/country:ca/province:ab/ed:edmonton_centre,Edmonton Centre,1968-04-23,1979-03-25
ocd-division/country:ca/province:ab/ed:edmonton_centre-east,Edmonton Centre-East,2000-06-29,2004-05-22
ocd-division/country:ca/province:ab/ed:edmonton_east,Edmonton East,2004-05-23,2015-08-01
ocd-division/country:ca/province:ab/ed:edmonton_north,Edmonton North,1979-03-26,2004-05-22
ocd-division/country:ca/province:ab/ed:edmonton_northwest,Edmonton Northwest,1988-10-01,1997-04-26
ocd-division/country:ca/province:ab/ed:edmonton_south,Edmonton South,1979-03-26,1988-09-30
ocd-division/country:ca/province:ab/ed:edmonton_southeast,Edmonton Southeast,1988-10-01,2004-05-22
ocd-division/country:ca/province:ab/ed:edmonton_southwest,Edmonton Southwest,1988-10-01,2004-05-22
ocd-division/country:ca/province:ab/ed:edmonton_west,Edmonton West,1917-10-06,1988-09-30
ocd-division/country:ca/province:ab/ed:edmonton_west-1997,Edmonton West,1997-04-27,2004-05-22
ocd-division/country:ca/province:ab/ed:elk_island,Elk Island,1988-10-01,2004-05-22
ocd-division/country:ca/province:ab/ed:fort_mcmurray-athabasca,Fort McMurray—Athabasca,2004-09-01,2015-08-01
ocd-division/country:ca/province:ab/ed:jasper-edson,Jasper—Edson,1935-08-14,1968-04-22
ocd-division/country:ca/province:ab/ed:lakeland,Lakeland,1997-04-27,2004-05-22
ocd-division/country:ca/province:ab/ed:lethbridge-foothills,Lethbridge—Foothills,1979-03-26,1988-09-30
ocd-division/country:ca/province:ab/ed:macleod,Macleod,1908-09-17,1968-04-22
ocd-division/country:ca/province:ab/ed:macleod-1988,Macleod,1988-10-01,2015-08-01
ocd-division/country:ca/province:ab/ed:palliser,Palliser,1968-04-23,1979-03-25
ocd-division/country:ca/province:ab/ed:peace_river,Peace River,1925-09-05,2015-08-01
ocd-division/country:ca/province:ab/ed:pembina,Pembina,1968-04-23,1988-09-30
ocd-division/country:ca/province:ab/ed:red_deer,Red Deer,1908-09-17,2015-08-01
ocd-division/country:ca/province:ab/ed:rocky_mountain,Rocky Mountain,1968-04-23,1979-03-25
ocd-division/country:ca/province:ab/ed:st._albert,St. Albert,1988-10-01,2004-05-22
ocd-division/country:ca/province:ab/ed:strathcona,Strathcona,1908-09-17,1925-09-04
ocd-division/country:ca/province:ab/ed:vegreville,Vegreville,1925-09-05,1997-04-26
ocd-division/country:ca/province:ab/ed:vegreville-wainwright,Vegreville—Wainwright,2004-05-23,2015-08-01
ocd-division/country:ca/province:ab/ed:victoria,Victoria,1908-09-17,1925-09-04
ocd-division/country:ca/province:ab/ed:westlock-st._paul,Westlock—St. Paul,2005-02-24,2015-08-01
ocd-division/country:ca/province:ab/ed:wetaskiwin,Wetaskiwin,1925-09-05,2015-08-01
ocd-division/country:ca/province:ab/ed:wild_rose,Wild Rose,1988-10-01,2015-08-01
ocd-division/country:ca/province:bc/ed:british_columbia_southern_interior,British Columbia Southern Interior,2004-09-01,2015-08-01
ocd-division/country:ca/province:bc/ed:burnaby,Burnaby,1979-03-26,1988-09-30
ocd-division/country:ca/province:bc/ed:burnaby-coquitlam,Burnaby—Coquitlam,1953-06-13,1968-04-22
ocd-division/country:ca/province:bc/ed:burnaby-douglas,Burnaby—Douglas,1997-04-27,2015-08-01
ocd-division/country:ca/province:bc/ed:burnaby-kingsway,Burnaby—Kingsway,1988-10-01,1997-04-26
ocd-division/country:ca/province:bc/ed:burnaby-new_westminster,Burnaby—New Westminster,2004-05-23,2015-08-01
ocd-division/country:ca/province:bc/ed:burnaby-richmond-delta,Burnaby—Richmond—Delta,1970-06-26,1979-03-25
ocd-division/country:ca/province:bc/ed:burnaby-seymour,Burnaby—Seymour,1968-04-23,1979-03-25
ocd-division/country:ca/province:bc/ed:burrard,Burrard,1896-04-24,1904-09-19
ocd-division/country:ca/province:bc/ed:burrard-1917,Burrard,1917-10-06,1925-09-04
ocd-division/country:ca/province:bc/ed:capilano,Capilano,1968-04-23,1988-09-30
ocd-division/country:ca/province:bc/ed:capilano-howe_sound,Capilano—Howe Sound,1988-10-01,1997-04-26
ocd-division/country:ca/province:bc/ed:cariboo,Cariboo,1872-07-08,1896-04-23
ocd-division/country:ca/province:bc/ed:cariboo-1917,Cariboo,1917-10-06,1968-04-22
ocd-division/country:ca/province:bc/ed:cariboo-chilcotin,Cariboo—Chilcotin,1979-03-26,2004-05-22
ocd-division/country:ca/province:bc/ed:chilliwack-fraser_canyon,Chilliwack—Fraser Canyon,2004-05-23,2015-08-01
ocd-division/country:ca/province:bc/ed:coast-capilano,Coast-Capilano,1949-04-30,1968-04-22
ocd-division/country:ca/province:bc/ed:coast_chilcotin,Coast Chilcotin,1968-04-23,1979-03-25
ocd-division/country:ca/province:bc/ed:comox-alberni,Comox—Alberni,1917-10-06,1979-03-25
