id,name,sameAs
ocd-division/country:ca/province:ab/fed:athabasca,Athabasca,ocd-division/country:ca/province:ab/fed:fort_mcmurray-athabasca
ocd-division/country:ca/province:ab/fed:battle_river-2004,Battle River,ocd-division/country:ca/province:ab/fed:westlock-st._paul
ocd-division/country:ca/province:ab/fed:calgary_north_centre,Calgary North Centre,ocd-division/country:ca/province:ab/fed:calgary_centre-north
ocd-division/country:ca/province:ab/fed:calgary_south_centre,Calgary South Centre,ocd-division/country:ca/province:ab/fed:calgary_centre
ocd-division/country:ca/province:ab/fed:edmonton-beaumont,Edmonton—Beaumont,ocd-division/country:ca/province:ab/fed:edmonton-mill_woods-beaumont
ocd-division/country:ca/province:ab/fed:edmonton_east-1917,Edmonton East,ocd-division/country:ca/province:ab/fed:edmonton_centre-east
ocd-division/country:ca/province:ab/fed:lethbridge-1917,Lethbridge,ocd-division/country:ca/province:ab/fed:lethbridge-foothills
ocd-division/country:ca/province:ab/fed:medicine_hat,Medicine Hat,ocd-division/country:ca/province:ab/fed:medicine_hat-cardston-warner
ocd-division/country:ca/province:ab/fed:westlock-st._paul-2004,Westlock—St. Paul,ocd-division/country:ca/province:ab/fed:battle_river
ocd-division/country:ca/province:bc/fed:burnaby-richmond,Burnaby—Richmond,ocd-division/country:ca/province:bc/fed:burnaby-richmond-delta
ocd-division/country:ca/province:bc/fed:dewdney-alouette,Dewdney—Alouette,ocd-division/country:ca/province:bc/fed:pitt_meadows-maple_ridge-mission
ocd-division/country:ca/province:bc/fed:fort_nelson-peace_river,Fort Nelson—Peace River,ocd-division/country:ca/province:bc/fed:prince_george-peace_river
ocd-division/country:ca/province:bc/fed:kamloops-1988,Kamloops,ocd-division/country:ca/province:bc/fed:kamloops_thompson_and_highland_valleys
ocd-division/country:ca/province:bc/fed:kamloops-thompson,Kamloops—Thompson,ocd-division/country:ca/province:bc/fed:kamloops-thompson-cariboo
ocd-division/country:ca/province:bc/fed:kelowna,Kelowna,ocd-division/country:ca/province:bc/fed:kelowna-lake_country
ocd-division/country:ca/province:bc/fed:nanaimo,Nanaimo,ocd-division/country:ca/province:bc/fed:nanaimo-cowichan-the_islands
ocd-division/country:ca/province:bc/fed:north_okanagan-shuswap-2004,North Okanagan—Shuswap,ocd-division/country:ca/province:bc/fed:okanagan-shuswap
ocd-division/country:ca/province:bc/fed:port_moody-coquitlam-1988,Port Moody—Coquitlam,ocd-division/country:ca/province:bc/fed:port_moody-coquitlam-port_coquitlam
ocd-division/country:ca/province:bc/fed:southern_interior,Southern Interior,ocd-division/country:ca/province:bc/fed:british_columbia_southern_interior
ocd-division/country:ca/province:bc/fed:surrey,Surrey,ocd-division/country:ca/province:bc/fed:surrey-white_rock
ocd-division/country:ca/province:bc/fed:surrey-white_rock-1988,Surrey—White Rock,ocd-division/country:ca/province:bc/fed:surrey-white_rock-south_langley
ocd-division/country:ca/province:bc/fed:west_kootenay-okanagan,West Kootenay—Okanagan,ocd-division/country:ca/province:bc/fed:kootenay-boundary-okanagan
ocd-division/country:ca/province:bc/fed:west_vancouver-sunshine_coast,West Vancouver—Sunshine Coast,ocd-division/country:ca/province:bc/fed:west_vancouver-sunshine_coast-sea_to_sky_country
ocd-division/country:ca/province:mb/fed:charleswood-assiniboine,Charleswood—Assiniboine,ocd-division/country:ca/province:mb/fed:charleswood_st._james-assiniboia
ocd-division/country:ca/province:mb/fed:charleswood-st._james,Charleswood—St. James,ocd-division/country:ca/province:mb/fed:charleswood-st._james-assiniboia
ocd-division/country:ca/province:mb/fed:dauphin,Dauphin,ocd-division/country:ca/province:mb/fed:dauphin-swan_river-marquette
ocd-division/country:ca/province:mb/fed:dauphin-swan_river,Dauphin—Swan River,ocd-division/country:ca/province:mb/fed:dauphin-swan_river-marquette
ocd-division/country:ca/province:mb/fed:selkirk-1988,Selkirk,ocd-division/country:ca/province:mb/fed:selkirk-red_river
ocd-division/country:ca/province:mb/fed:winnipeg-st._paul,Winnipeg—St. Paul,ocd-division/country:ca/province:mb/fed:winnipeg_north-st._paul
ocd-division/country:ca/province:mb/fed:winnipeg_north-1917,Winnipeg North,ocd-division/country:ca/province:mb/fed:winnipeg_north_centre
ocd-division/country:ca/province:nb/fed:beauséjour-1988,Beauséjour,ocd-division/country:ca/province:nb/fed:beauséjour-petitcodiac
ocd-division/country:ca/province:nb/fed:charlotte-1997,Charlotte,ocd-division/country:ca/province:nb/fed:new_brunswick_southwest
ocd-division/country:ca/province:nb/fed:fredericton-1988,Fredericton,ocd-division/country:ca/province:nb/fed:fredericton-york-sunbury
ocd-division/country:ca/province:nb/fed:fundy,Fundy,ocd-division/country:ca/province:nb/fed:fundy_royal
ocd-division/country:ca/province:nb/fed:gloucester,Gloucester,ocd-division/country:ca/province:nb/fed:acadie-bathurst
ocd-division/country:ca/province:nb/fed:moncton,Moncton,ocd-division/country:ca/province:nb/fed:moncton-riverview-dieppe
ocd-division/country:ca/province:nb/fed:northumberland,Northumberland,ocd-division/country:ca/province:nb/fed:northumberland-miramichi
ocd-division/country:ca/province:nb/fed:restigouche-1968,Restigouche,ocd-division/country:ca/province:nb/fed:restigouche-chaleur
ocd-division/country:ca/province:nb/fed:st._croix-belleisle,St. Croix—Belleisle,ocd-division/country:ca/province:nb/fed:new_brunswick_southwest
ocd-division/country:ca/province:nl/fed:bonavista-exploits,Bonavista—Exploits,ocd-division/country:ca/province:nl/fed:bonavista-gander-grand_falls-windsor
ocd-division/country:ca/province:nl/fed:humber-st._barbe,Humber—St. Barbe,ocd-division/country:ca/province:nl/fed:humber-port_au_port-st._barbe
ocd-division/country:ca/province:ns/fed:bras_d~or,Bras d'Or,ocd-division/country:ca/province:ns/fed:bras_d~or-cape_breton
ocd-division/country:ca/province:ns/fed:north_nova,North Nova,ocd-division/country:ca/province:ns/fed:cumberland-colchester-musquodoboit_valley
ocd-division/country:ca/province:ns/fed:sackville-eastern_shore-1997,Sackville—Eastern Shore,ocd-division/country:ca/province:ns/fed:sackville-musquodoboit_valley-eastern_shore
ocd-division/country:ca/province:on/fed:algoma-1968,Algoma,ocd-division/country:ca/province:on/fed:algoma-manitoulin
ocd-division/country:ca/province:on/fed:barrie-simcoe,Barrie—Simcoe,ocd-division/country:ca/province:on/fed:barrie-simcoe-bradford
ocd-division/country:ca/province:on/fed:beaches-woodbine,Beaches—Woodbine,ocd-division/country:ca/province:on/fed:beaches-east_york
ocd-division/country:ca/province:on/fed:bramalea-gore-malton-1990,Bramalea—Gore—Malton,ocd-division/country:ca/province:on/fed:bramalea-gore-malton-springdale
ocd-division/country:ca/province:on/fed:brampton-malton,Brampton—Malton,ocd-division/country:ca/province:on/fed:bramalea-gore-malton
ocd-division/country:ca/province:on/fed:brant-1968,Brant,ocd-division/country:ca/province:on/fed:brantford-brant
ocd-division/country:ca/province:on/fed:broadview-greenwood,Broadview—Greenwood,ocd-division/country:ca/province:on/fed:toronto-danforth
ocd-division/country:ca/province:on/fed:bruce,Bruce,ocd-division/country:ca/province:on/fed:bruce-grey-owen_sound
ocd-division/country:ca/province:on/fed:bruce-grey,Bruce—Grey,ocd-division/country:ca/province:on/fed:bruce-grey-owen_sound
ocd-division/country:ca/province:on/fed:carleton-gloucester,Carleton—Gloucester,ocd-division/country:ca/province:on/fed:orléans
ocd-division/country:ca/province:on/fed:carleton-gloucester-1997,Carleton—Gloucester,ocd-division/country:ca/province:on/fed:orléans
ocd-division/country:ca/province:on/fed:carleton-lanark,Carleton—Lanark,ocd-division/country:ca/province:on/fed:carleton-mississippi_mills
ocd-division/country:ca/province:on/fed:clarington-scugog-uxbridge,Clarington—Scugog—Uxbridge,ocd-division/country:ca/province:on/fed:durham
ocd-division/country:ca/province:on/fed:cochrane-1979,Cochrane,ocd-division/country:ca/province:on/fed:cochrane-superior
ocd-division/country:ca/province:on/fed:elgin,Elgin,ocd-division/country:ca/province:on/fed:elgin-norfolk
ocd-division/country:ca/province:on/fed:glengarry-prescott,Glengarry—Prescott,ocd-division/country:ca/province:on/fed:glengarry-prescott-russell
ocd-division/country:ca/province:on/fed:gloucester-carleton,Gloucester—Carleton,ocd-division/country:ca/province:on/fed:orléans
ocd-division/country:ca/province:on/fed:grey-bruce-owen_sound,Grey—Bruce—Owen Sound,ocd-division/country:ca/province:on/fed:bruce-grey-owen_sound
ocd-division/country:ca/province:on/fed:high_park,High Park,ocd-division/country:ca/province:on/fed:high_park-humber_valley
ocd-division/country:ca/province:on/fed:huron,Huron,ocd-division/country:ca/province:on/fed:huron-bruce
ocd-division/country:ca/province:on/fed:kent-essex-1997,Kent—Essex,ocd-division/country:ca/province:on/fed:chatham-kent-essex
ocd-division/country:ca/province:on/fed:kitchener-conestoga-2004,Kitchener—Conestoga,ocd-division/country:ca/province:on/fed:kitchener-conestoga
ocd-division/country:ca/province:on/fed:kitchener-wilmot-wellesley-woolwich,Kitchener—Wilmot—Wellesley—Woolwich,ocd-division/country:ca/province:on/fed:kitchener-conestoga
ocd-division/country:ca/province:on/fed:lakeshore,Lakeshore,ocd-division/country:ca/province:on/fed:toronto-lakeshore
ocd-division/country:ca/province:on/fed:lanark_and_renfrew,Lanark and Renfrew,ocd-division/country:ca/province:on/fed:lanark-renfrew-carleton
ocd-division/country:ca/province:on/fed:leeds-grenville,Leeds—Grenville,ocd-division/country:ca/province:on/fed:leeds-grenville-thousand_islands_and_rideau_lakes
ocd-division/country:ca/province:on/fed:markham-1988,Markham,ocd-division/country:ca/province:on/fed:markham-whitchurch-stouffville
ocd-division/country:ca/province:on/fed:middlesex,Middlesex,ocd-division/country:ca/province:on/fed:middlesex-london-lambton
ocd-division/country:ca/province:on/fed:middlesex-kent-lambton,Middlesex—Kent—Lambton,ocd-division/country:ca/province:on/fed:lambton-kent-middlesex
ocd-division/country:ca/province:on/fed:ottawa-orléans,Ottawa—Orléans,ocd-division/country:ca/province:on/fed:orléans
ocd-division/country:ca/province:on/fed:ottawa_east,Ottawa East,ocd-division/country:ca/province:on/fed:ottawa-vanier
ocd-division/country:ca/province:on/fed:peel_south,Peel South,ocd-division/country:ca/province:on/fed:mississauga
ocd-division/country:ca/province:on/fed:perth-1935,Perth,ocd-division/country:ca/province:on/fed:perth-wilmot
ocd-division/country:ca/province:on/fed:peterborough,Peterborough,ocd-division/country:ca/province:on/fed:peterborough-kawartha
ocd-division/country:ca/province:on/fed:renfrew,Renfrew,ocd-division/country:ca/province:on/fed:renfrew-nipissing-pembroke
ocd-division/country:ca/province:on/fed:renfrew_north,Renfrew North,ocd-division/country:ca/province:on/fed:renfrew_north-nipissing_east
ocd-division/country:ca/province:on/fed:sarnia,Sarnia,ocd-division/country:ca/province:on/fed:sarnia-lambton
ocd-division/country:ca/province:on/fed:sarnia-1979,Sarnia,ocd-division/country:ca/province:on/fed:sarnia-lambton
ocd-division/country:ca/province:on/fed:stormont-dundas,Stormont—Dundas,ocd-division/country:ca/province:on/fed:stormont-dundas-charlottenburgh
ocd-division/country:ca/province:on/fed:thunder_bay-nipigon,Thunder Bay—Nipigon,ocd-division/country:ca/province:on/fed:thunder_bay-superior_north
ocd-division/country:ca/province:on/fed:timiskaming-1935,Timiskaming,ocd-division/country:ca/province:on/fed:timiskaming-french_river
ocd-division/country:ca/province:on/fed:victoria-haliburton,Victoria—Haliburton,ocd-division/country:ca/province:on/fed:haliburton-victoria-brock
ocd-division/country:ca/province:on/fed:waterloo-1968,Waterloo,ocd-division/country:ca/province:on/fed:waterloo-cambridge
ocd-division/country:ca/province:on/fed:wellington-grey,Wellington—Grey,ocd-division/country:ca/province:on/fed:wellington-grey-dufferin-waterloo
ocd-division/country:ca/province:on/fed:wentworth-burlington,Wentworth—Burlington,ocd-division/country:ca/province:on/fed:ancaster-dundas-flamborough-aldershot
ocd-division/country:ca/province:on/fed:york_west-1917,York West,ocd-division/country:ca/province:on/fed:humber_river-black_creek
ocd-division/country:ca/province:qc/fed:abitibi,Abitibi,ocd-division/country:ca/province:qc/fed:abitibi-baie-james-nunavik
