id,name,validFrom
ocd-division/country:ca/province:ab/fed:banff-airdrie,Banff—Airdrie,2015-08-02
ocd-division/country:ca/province:ab/fed:battle_river-crowfoot,Battle River—Crowfoot,2015-08-02
ocd-division/country:ca/province:ab/fed:bow_river-2015,Bow River,2015-08-02
ocd-division/country:ca/province:ab/fed:calgary_centre-2004,Calgary Centre,2004-09-01
ocd-division/country:ca/province:ab/fed:calgary_confederation,Calgary Confederation,2015-08-02
ocd-division/country:ca/province:ab/fed:calgary_forest_lawn,Calgary Forest Lawn,2015-08-02
ocd-division/country:ca/province:ab/fed:calgary_heritage,Calgary Heritage,2015-08-02
ocd-division/country:ca/province:ab/fed:calgary_midnapore,Calgary Midnapore,2015-08-02
ocd-division/country:ca/province:ab/fed:calgary_nose_hill,Calgary Nose Hill,2015-08-02
ocd-division/country:ca/province:ab/fed:calgary_rocky_ridge,Calgary Rocky Ridge,2015-08-02
ocd-division/country:ca/province:ab/fed:calgary_shepard,Calgary Shepard,2015-08-02
ocd-division/country:ca/province:ab/fed:calgary_signal_hill,Calgary Signal Hill,2015-08-02
ocd-division/country:ca/province:ab/fed:calgary_skyview,Calgary Skyview,2015-08-02
ocd-division/country:ca/province:ab/fed:edmonton-wetaskiwin,Edmonton—Wetaskiwin,2015-08-02
ocd-division/country:ca/province:ab/fed:edmonton_centre-2004,Edmonton Centre,2004-05-23
ocd-division/country:ca/province:ab/fed:edmonton_griesbach,Edmonton Griesbach,2015-08-02
ocd-division/country:ca/province:ab/fed:edmonton_manning,Edmonton Manning,2015-08-02
ocd-division/country:ca/province:ab/fed:edmonton_mill_woods,Edmonton Mill Woods,2015-08-02
ocd-division/country:ca/province:ab/fed:edmonton_riverbend,Edmonton Riverbend,2015-08-02
ocd-division/country:ca/province:ab/fed:edmonton_strathcona,Edmonton Strathcona,2015-08-02
ocd-division/country:ca/province:ab/fed:edmonton_west-2015,Edmonton West,2015-08-02
ocd-division/country:ca/province:ab/fed:foothills,Foothills,2015-08-02
ocd-division/country:ca/province:ab/fed:fort_mcmurray-cold_lake,Fort McMurray—Cold Lake,2015-08-02
ocd-division/country:ca/province:ab/fed:grande_prairie-mackenzie,Grande Prairie—Mackenzie,2015-08-02
