id,name,name_fr,validFrom,validThrough
ocd-division/country:ca/ed:10001,Avalon,Avalon,"",""
ocd-division/country:ca/ed:10002,Bonavista—Burin—Trinity,Bonavista—Burin—Trinity,"",""
ocd-division/country:ca/ed:10003,Coast of Bays—Central—Notre Dame,Coast of Bays—Central—Notre Dame,"",""
ocd-division/country:ca/ed:10004,Labrador,Labrador,"",""
ocd-division/country:ca/ed:10005,Long Range Mountains,Long Range Mountains,"",""
ocd-division/country:ca/ed:10006,St. John's East,St. John's-Est,"",""
ocd-division/country:ca/ed:10007,St. John's South—Mount Pearl,St. John's-Sud—Mount Pearl,"",""
ocd-division/country:ca/ed:11001,Cardigan,Cardigan,"",""
ocd-division/country:ca/ed:11002,Charlottetown,Charlottetown,"",""
ocd-division/country:ca/ed:11003,Egmont,Egmont,"",""
ocd-division/country:ca/ed:11004,Malpeque,Malpeque,"",""
ocd-division/country:ca/ed:12001,Cape Breton—Canso,Cape Breton—Canso,"",""
ocd-division/country:ca/ed:12002,Central Nova,Nova-Centre,"",""
ocd-division/country:ca/ed:12003,Cumberland—Colchester,Cumberland—Colchester,"",""
ocd-division/country:ca/ed:12004,Dartmouth—Cole Harbour,Dartmouth—Cole Harbour,"",""
ocd-division/country:ca/ed:12005,Halifax,Halifax,"",""
ocd-division/country:ca/ed:12006,Halifax West,Halifax-Ouest,"",""
ocd-division/country:ca/ed:12007,Kings—Hants,Kings—Hants,"",""
ocd-division/country:ca/ed:12008,Sackville—Preston—Chezzetcook,Sackville—Preston—Chezzetcook,"",""
ocd-division/country:ca/ed:12009,South Shore—St. Margarets,South Shore—St. Margarets,"",""
ocd-division/country:ca/ed:12010,Sydney—Victoria,Sydney—Victoria,"",""
ocd-division/country:ca/ed:12011,West Nova,Nova-Ouest,"",""
ocd-division/country:ca/ed:13001,Acadie—Bathurst,Acadie—Bathurst,"",""
ocd-division/country:ca/ed:13002,Beauséjour,Beauséjour,"",""
ocd-division/country:ca/ed:13003,Fredericton,Fredericton,"",""
ocd-division/country:ca/ed:13004,Fundy Royal,Fundy Royal,"",""
ocd-division/country:ca/ed:13005,Madawaska—Restigouche,Madawaska—Restigouche,"",""
ocd-division/country:ca/ed:13006,Miramichi—Grand Lake,Miramichi—Grand Lake,"",""
ocd-division/country:ca/ed:13007,Moncton—Riverview—Dieppe,Moncton—Riverview—Dieppe,"",""
ocd-division/country:ca/ed:13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,"",""
ocd-division/country:ca/ed:13009,Saint John—Rothesay,Saint John—Rothesay,"",""
ocd-division/country:ca/ed:13010,Tobique—Mactaquac,Tobique—Mactaquac,"",""
ocd-division/country:ca/ed:24001,Abitibi—Baie-James—Nunavik—Eeyou,Abitibi—Baie-James—Nunavik—Eeyou,"",""
ocd-division/country:ca/ed:24002,Abitibi—Témiscamingue,Abitibi—Témiscamingue,"",""
ocd-division/country:ca/ed:24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,"",""
ocd-division/country:ca/ed:24004,Alfred-Pellan,Alfred-Pellan,"",""
ocd-division/country:ca/ed:24005,Argenteuil—La Petite-Nation,Argenteuil—La Petite-Nation,"",""
ocd-division/country:ca/ed:24006,Avignon—La Mitis—Matane—Matapédia,Avignon—La Mitis—Matane—Matapédia,"",""
ocd-division/country:ca/ed:24007,Beauce,Beauce,"",""
ocd-division/country:ca/ed:24008,Beauport—Limoilou,Beauport—Limoilou,"",""
ocd-division/country:ca/ed:24009,Bécancour—Nicolet—Saurel,Bécancour—Nicolet—Saurel,"",""
ocd-division/country:ca/ed:24010,Bellechasse—Les Etchemins—Lévis,Bellechasse—Les Etchemins—Lévis,"",""
ocd-division/country:ca/ed:24011,Beloeil—Chambly,Beloeil—Chambly,"",""
ocd-division/country:ca/ed:24012,Berthier—Maskinongé,Berthier—Maskinongé,"",""
ocd-division/country:ca/ed:24013,Thérèse-De Blainville,Thérèse-De Blainville,"",""
ocd-division/country:ca/ed:24014,Pierre-Boucher—Les Patriotes—Verchères,Pierre-Boucher—Les Patriotes—Verchères,"",""
ocd-division/country:ca/ed:24015,Bourassa,Bourassa,"",""
ocd-division/country:ca/ed:24016,Brome—Missisquoi,Brome—Missisquoi,"",""
ocd-division/country:ca/ed:24017,Brossard—Saint-Lambert,Brossard—Saint-Lambert,"",""
ocd-division/country:ca/ed:24018,Rimouski-Neigette—Témiscouata—Les Basques,Rimouski-Neigette—Témiscouata—Les Basques,"",""
ocd-division/country:ca/ed:24019,Charlesbourg—Haute-Saint-Charles,Charlesbourg—Haute-Saint-Charles,"",""
ocd-division/country:ca/ed:24020,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,"",""
ocd-division/country:ca/ed:24021,Châteauguay—Lacolle,Châteauguay—Lacolle,"",""
ocd-division/country:ca/ed:24022,Chicoutimi—Le Fjord,Chicoutimi—Le Fjord,"",""
ocd-division/country:ca/ed:24023,Compton—Stanstead,Compton—Stanstead,"",""
ocd-division/country:ca/ed:24024,Dorval—Lachine—LaSalle,Dorval—Lachine—LaSalle,"",""
ocd-division/country:ca/ed:24025,Drummond,Drummond,"",""
ocd-division/country:ca/ed:24026,Gaspésie—Les Îles-de-la-Madeleine,Gaspésie—Les Îles-de-la-Madeleine,"",""
ocd-division/country:ca/ed:24027,Gatineau,Gatineau,"",""
ocd-division/country:ca/ed:24028,Hochelaga,Hochelaga,"",""
ocd-division/country:ca/ed:24029,Honoré-Mercier,Honoré-Mercier,"",""
ocd-division/country:ca/ed:24030,Hull—Aylmer,Hull—Aylmer,"",""
ocd-division/country:ca/ed:24031,Joliette,Joliette,"",""
ocd-division/country:ca/ed:24032,Jonquière,Jonquière,"",""
ocd-division/country:ca/ed:24033,La Pointe-de-l'Île,La Pointe-de-l'Île,"",""
ocd-division/country:ca/ed:24034,La Prairie,La Prairie,"",""
ocd-division/country:ca/ed:24035,Lac-Saint-Jean,Lac-Saint-Jean,"",""
ocd-division/country:ca/ed:24036,Lac-Saint-Louis,Lac-Saint-Louis,"",""
ocd-division/country:ca/ed:24037,LaSalle—Émard—Verdun,LaSalle—Émard—Verdun,"",""
ocd-division/country:ca/ed:24038,Laurentides—Labelle,Laurentides—Labelle,"",""
ocd-division/country:ca/ed:24039,Laurier—Sainte-Marie,Laurier—Sainte-Marie,"",""
ocd-division/country:ca/ed:24040,Laval—Les Îles,Laval—Les Îles,"",""
ocd-division/country:ca/ed:24041,Longueuil—Charles-LeMoyne,Longueuil—Charles-Lemoyne,"",""
ocd-division/country:ca/ed:24042,Lévis—Lotbinière,Lévis—Lotbinière,"",""
ocd-division/country:ca/ed:24043,Longueuil—Saint-Hubert,Longueuil—Saint-Hubert,"",""
ocd-division/country:ca/ed:24044,Louis-Hébert,Louis-Hébert,"",""
ocd-division/country:ca/ed:24045,Louis-Saint-Laurent,Louis-Saint-Laurent,"",""
ocd-division/country:ca/ed:24046,Manicouagan,Manicouagan,"",""
ocd-division/country:ca/ed:24047,Mégantic—L'Érable,Mégantic—L'Érable,"",""
ocd-division/country:ca/ed:24048,Mirabel,Mirabel,"",""
ocd-division/country:ca/ed:24049,Montarville,Montarville,"",""
ocd-division/country:ca/ed:24050,Montcalm,Montcalm,"",""
ocd-division/country:ca/ed:24051,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,"",""
ocd-division/country:ca/ed:24052,Mount Royal,Mont-Royal,"",""
ocd-division/country:ca/ed:24053,Notre-Dame-de-Grâce—Westmount,Notre-Dame-de-Grâce—Westmount,"",""
ocd-division/country:ca/ed:24054,Outremont,Outremont,"",""
ocd-division/country:ca/ed:24055,Papineau,Papineau,"",""
ocd-division/country:ca/ed:24056,Pierrefonds—Dollard,Pierrefonds—Dollard,"",""
ocd-division/country:ca/ed:24057,Pontiac,Pontiac,"",""
ocd-division/country:ca/ed:24058,Portneuf—Jacques-Cartier,Portneuf—Jacques-Cartier,"",""
ocd-division/country:ca/ed:24059,Québec,Québec,"",""
ocd-division/country:ca/ed:24060,Repentigny,Repentigny,"",""
ocd-division/country:ca/ed:24061,Richmond—Arthabaska,Richmond—Arthabaska,"",""
ocd-division/country:ca/ed:24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles,"",""
ocd-division/country:ca/ed:24063,Rivière-du-Nord,Rivière-du-Nord,"",""
ocd-division/country:ca/ed:24064,Rosemont—La Petite-Patrie,Rosemont—La Petite-Patrie,"",""
ocd-division/country:ca/ed:24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,"",""
ocd-division/country:ca/ed:24066,Saint-Hyacinthe—Bagot,Saint-Hyacinthe—Bagot,"",""
ocd-division/country:ca/ed:24067,Saint-Jean,Saint-Jean,"",""
ocd-division/country:ca/ed:24068,Saint-Laurent,Saint-Laurent,"",""
ocd-division/country:ca/ed:24069,Saint-Léonard—Saint-Michel,Saint-Léonard—Saint-Michel,"",""
ocd-division/country:ca/ed:24070,Saint-Maurice—Champlain,Saint-Maurice—Champlain,"",""
ocd-division/country:ca/ed:24071,Salaberry—Suroît,Salaberry—Suroît,"",""
ocd-division/country:ca/ed:24072,Shefford,Shefford,"",""
ocd-division/country:ca/ed:24073,Sherbrooke,Sherbrooke,"",""
ocd-division/country:ca/ed:24074,Vaudreuil—Soulanges,Vaudreuil—Soulanges,"",""
ocd-division/country:ca/ed:24075,Terrebonne,Terrebonne,"",""
