id,parent_id
ocd-division/country:ca/csd:3511035,ocd-division/country:ca/cd:3511
ocd-division/country:ca/csd:3539047,ocd-division/country:ca/cd:3539
ocd-division/country:ca/csd:3543003,ocd-division/country:ca/cd:3543
ocd-division/country:ca/csd:3547043,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3518005,ocd-division/country:ca/cd:3518
ocd-division/country:ca/csd:3502023,ocd-division/country:ca/cd:3502
ocd-division/country:ca/csd:3546018,ocd-division/country:ca/cd:3546
ocd-division/country:ca/csd:3514024,ocd-division/country:ca/cd:3514
ocd-division/country:ca/csd:3522008,ocd-division/country:ca/cd:3522
ocd-division/country:ca/csd:3537028,ocd-division/country:ca/cd:3537
ocd-division/country:ca/csd:3547002,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3541043,ocd-division/country:ca/cd:3541
ocd-division/country:ca/csd:3540063,ocd-division/country:ca/cd:3540
ocd-division/country:ca/csd:3515003,ocd-division/country:ca/cd:3515
ocd-division/country:ca/csd:3507042,ocd-division/country:ca/cd:3507
ocd-division/country:ca/csd:3507006,ocd-division/country:ca/cd:3507
ocd-division/country:ca/csd:3519046,ocd-division/country:ca/cd:3519
ocd-division/country:ca/csd:3534011,ocd-division/country:ca/cd:3534
ocd-division/country:ca/csd:3512061,ocd-division/country:ca/cd:3512
ocd-division/country:ca/csd:3534005,ocd-division/country:ca/cd:3534
ocd-division/country:ca/csd:3509024,ocd-division/country:ca/cd:3509
ocd-division/country:ca/csd:3532045,ocd-division/country:ca/cd:3532
ocd-division/country:ca/csd:3540010,ocd-division/country:ca/cd:3540
ocd-division/country:ca/csd:3547035,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3544018,ocd-division/country:ca/cd:3544
ocd-division/country:ca/csd:3543014,ocd-division/country:ca/cd:3543
ocd-division/country:ca/csd:3521010,ocd-division/country:ca/cd:3521
ocd-division/country:ca/csd:3514004,ocd-division/country:ca/cd:3514
ocd-division/country:ca/csd:3518039,ocd-division/country:ca/cd:3518
ocd-division/country:ca/csd:3541032,ocd-division/country:ca/cd:3541
ocd-division/country:ca/csd:3538015,ocd-division/country:ca/cd:3538
ocd-division/country:ca/csd:3547020,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3524002,ocd-division/country:ca/cd:3524
ocd-division/country:ca/csd:3521024,ocd-division/country:ca/cd:3521
ocd-division/country:ca/csd:3530010,ocd-division/country:ca/cd:3530
ocd-division/country:ca/csd:3509028,ocd-division/country:ca/cd:3509
ocd-division/country:ca/csd:3512065,ocd-division/country:ca/cd:3512
ocd-division/country:ca/csd:3502044,ocd-division/country:ca/cd:3502
ocd-division/country:ca/csd:3515013,ocd-division/country:ca/cd:3515
ocd-division/country:ca/csd:3534020,ocd-division/country:ca/cd:3534
ocd-division/country:ca/csd:3510035,ocd-division/country:ca/cd:3510
ocd-division/country:ca/csd:3540025,ocd-division/country:ca/cd:3540
ocd-division/country:ca/csd:3512026,ocd-division/country:ca/cd:3512
ocd-division/country:ca/csd:3523025,ocd-division/country:ca/cd:3523
ocd-division/country:ca/csd:3502010,ocd-division/country:ca/cd:3502
ocd-division/country:ca/csd:3542037,ocd-division/country:ca/cd:3542
ocd-division/country:ca/csd:3502036,ocd-division/country:ca/cd:3502
ocd-division/country:ca/csd:3518017,ocd-division/country:ca/cd:3518
ocd-division/country:ca/csd:3543005,ocd-division/country:ca/cd:3543
ocd-division/country:ca/csd:3514021,ocd-division/country:ca/cd:3514
ocd-division/country:ca/csd:3543031,ocd-division/country:ca/cd:3543
ocd-division/country:ca/csd:3514014,ocd-division/country:ca/cd:3514
ocd-division/country:ca/csd:3538007,ocd-division/country:ca/cd:3538
ocd-division/country:ca/csd:3547096,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3512002,ocd-division/country:ca/cd:3512
ocd-division/country:ca/csd:3515023,ocd-division/country:ca/cd:3515
ocd-division/country:ca/csd:3509010,ocd-division/country:ca/cd:3509
ocd-division/country:ca/csd:3534030,ocd-division/country:ca/cd:3534
ocd-division/country:ca/csd:3546024,ocd-division/country:ca/cd:3546
ocd-division/country:ca/csd:3522001,ocd-division/country:ca/cd:3522
ocd-division/country:ca/csd:3519054,ocd-division/country:ca/cd:3519
ocd-division/country:ca/csd:3502001,ocd-division/country:ca/cd:3502
ocd-division/country:ca/csd:3532038,ocd-division/country:ca/cd:3532
ocd-division/country:ca/csd:3507004,ocd-division/country:ca/cd:3507
ocd-division/country:ca/csd:3507014,ocd-division/country:ca/cd:3507
ocd-division/country:ca/csd:3538016,ocd-division/country:ca/cd:3538
ocd-division/country:ca/csd:3523017,ocd-division/country:ca/cd:3523
ocd-division/country:ca/csd:3543021,ocd-division/country:ca/cd:3543
ocd-division/country:ca/csd:3537016,ocd-division/country:ca/cd:3537
ocd-division/country:ca/csd:3512058,ocd-division/country:ca/cd:3512
ocd-division/country:ca/csd:3526003,ocd-division/country:ca/cd:3526
ocd-division/country:ca/csd:3507017,ocd-division/country:ca/cd:3507
ocd-division/country:ca/csd:3510005,ocd-division/country:ca/cd:3510
ocd-division/country:ca/csd:3544065,ocd-division/country:ca/cd:3544
ocd-division/country:ca/csd:3542053,ocd-division/country:ca/cd:3542
ocd-division/country:ca/csd:3519070,ocd-division/country:ca/cd:3519
ocd-division/country:ca/csd:3540028,ocd-division/country:ca/cd:3540
ocd-division/country:ca/csd:3522010,ocd-division/country:ca/cd:3522
ocd-division/country:ca/csd:3544002,ocd-division/country:ca/cd:3544
ocd-division/country:ca/csd:3547008,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3511015,ocd-division/country:ca/cd:3511
ocd-division/country:ca/csd:3542015,ocd-division/country:ca/cd:3542
ocd-division/country:ca/csd:3526065,ocd-division/country:ca/cd:3526
ocd-division/country:ca/csd:3523009,ocd-division/country:ca/cd:3523
ocd-division/country:ca/csd:3524015,ocd-division/country:ca/cd:3524
ocd-division/country:ca/csd:3514019,ocd-division/country:ca/cd:3514
ocd-division/country:ca/csd:3542029,ocd-division/country:ca/cd:3542
ocd-division/country:ca/csd:3512076,ocd-division/country:ca/cd:3512
ocd-division/country:ca/csd:3515030,ocd-division/country:ca/cd:3515
ocd-division/country:ca/csd:3502008,ocd-division/country:ca/cd:3502
ocd-division/country:ca/csd:3547098,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3546005,ocd-division/country:ca/cd:3546
ocd-division/country:ca/csd:3547046,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3540046,ocd-division/country:ca/cd:3540
ocd-division/country:ca/csd:3544042,ocd-division/country:ca/cd:3544
ocd-division/country:ca/csd:3540040,ocd-division/country:ca/cd:3540
ocd-division/country:ca/csd:3541015,ocd-division/country:ca/cd:3541
ocd-division/country:ca/csd:3532018,ocd-division/country:ca/cd:3532
ocd-division/country:ca/csd:3543017,ocd-division/country:ca/cd:3543
ocd-division/country:ca/csd:3547033,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3541024,ocd-division/country:ca/cd:3541
ocd-division/country:ca/csd:3519049,ocd-division/country:ca/cd:3519
ocd-division/country:ca/csd:3537013,ocd-division/country:ca/cd:3537
ocd-division/country:ca/csd:3530013,ocd-division/country:ca/cd:3530
ocd-division/country:ca/csd:3537034,ocd-division/country:ca/cd:3537
ocd-division/country:ca/csd:3544027,ocd-division/country:ca/cd:3544
ocd-division/country:ca/csd:3537064,ocd-division/country:ca/cd:3537
ocd-division/country:ca/csd:3538040,ocd-division/country:ca/cd:3538
ocd-division/country:ca/csd:3509039,ocd-division/country:ca/cd:3509
ocd-division/country:ca/csd:3547090,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3547075,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3537003,ocd-division/country:ca/cd:3537
ocd-division/country:ca/csd:3507021,ocd-division/country:ca/cd:3507
ocd-division/country:ca/csd:3512051,ocd-division/country:ca/cd:3512
ocd-division/country:ca/csd:3526057,ocd-division/country:ca/cd:3526
ocd-division/country:ca/csd:3511005,ocd-division/country:ca/cd:3511
ocd-division/country:ca/csd:3539060,ocd-division/country:ca/cd:3539
ocd-division/country:ca/csd:3547030,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3512036,ocd-division/country:ca/cd:3512
ocd-division/country:ca/csd:3534010,ocd-division/country:ca/cd:3534
ocd-division/country:ca/csd:3523033,ocd-division/country:ca/cd:3523
ocd-division/country:ca/csd:3519036,ocd-division/country:ca/cd:3519
ocd-division/country:ca/csd:3512046,ocd-division/country:ca/cd:3512
ocd-division/country:ca/csd:3547003,ocd-division/country:ca/cd:3547
ocd-division/country:ca/csd:3542047,ocd-division/country:ca/cd:3542
ocd-division/country:ca/csd:3522019,ocd-division/country:ca/cd:3522
ocd-division/country:ca/csd:3507052,ocd-division/country:ca/cd:3507
ocd-division/country:ca/csd:3539033,ocd-division/country:ca/cd:3539
ocd-division/country:ca/csd:3543074,ocd-division/country:ca/cd:3543
ocd-division/country:ca/csd:3524009,ocd-division/country:ca/cd:3524
