id,name,validThrough
ocd-division/country:ca/csd:4811061/ward:1,Ward 1,2020-12-06
ocd-division/country:ca/csd:4811061/ward:2,Ward 2,2020-12-06
ocd-division/country:ca/csd:4811061/ward:3,Ward 3,2020-12-06
ocd-division/country:ca/csd:4811061/ward:4,Ward 4,2020-12-06
ocd-division/country:ca/csd:4811061/ward:5,Ward 5,2020-12-06
ocd-division/country:ca/csd:4811061/ward:6,Ward 6,2020-12-06
ocd-division/country:ca/csd:4811061/ward:7,Ward 7,2020-12-06
ocd-division/country:ca/csd:4811061/ward:8,Ward 8,2020-12-06
ocd-division/country:ca/csd:4811061/ward:9,Ward 9,2020-12-06
ocd-division/country:ca/csd:4811061/ward:10,Ward 10,2020-12-06
ocd-division/country:ca/csd:4811061/ward:11,Ward 11,2020-12-06
ocd-division/country:ca/csd:4811061/ward:12,Ward 12,2020-12-06
ocd-division/country:ca/csd:3516010/ward:9,Ward 9,2018-12-01
ocd-division/country:ca/csd:3516010/ward:10,Ward 10,2018-12-01
ocd-division/country:ca/csd:3516010/ward:11,Ward 11,2018-12-01
ocd-division/country:ca/csd:3516010/ward:12,Ward 12,2018-12-01
ocd-division/country:ca/csd:3516010/ward:13,Ward 13,2018-12-01
ocd-division/country:ca/csd:3516010/ward:14,Ward 14,2018-12-01
ocd-division/country:ca/csd:3516010/ward:15,Ward 15,2018-12-01
ocd-division/country:ca/csd:3516010/ward:16,Ward 16,2018-12-01
