id,name_fr
ocd-division/country:ca/province:nl,Terre-Neuve-et-Labrador
ocd-division/country:ca/province:pe,Île-du-Prince-Édouard
ocd-division/country:ca/province:ns,Nouvelle-Écosse
ocd-division/country:ca/province:nb,Nouveau-Brunswick
ocd-division/country:ca/province:qc,Québec
ocd-division/country:ca/province:on,Ontario
ocd-division/country:ca/province:mb,Manitoba
ocd-division/country:ca/province:sk,Saskatchewan
ocd-division/country:ca/province:ab,Alberta
ocd-division/country:ca/province:bc,Colombie-Britannique
ocd-division/country:ca/territory:yt,Yukon
ocd-division/country:ca/territory:nt,Territoires du Nord-Ouest
ocd-division/country:ca/territory:nu,Nunavut
