id,name,number
ocd-division/country:ca/csd:2423027/district:1,Cap-aux-Diamants,1
ocd-division/country:ca/csd:2423027/district:2,Montcalm–Saint-Sacrement,2
ocd-division/country:ca/csd:2423027/district:3,Saint-Roch–Saint-Sauveur,3
ocd-division/country:ca/csd:2423027/district:4,Limoilou,4
ocd-division/country:ca/csd:2423027/district:5,Maizerets-Lairet,5
ocd-division/country:ca/csd:2423027/district:6,Vanier,6
ocd-division/country:ca/csd:2423027/district:7,Neufchâtel-Lebourgneuf,7
ocd-division/country:ca/csd:2423027/district:8,Duberger-Les Saules,8
ocd-division/country:ca/csd:2423027/district:9,Saint-Louis–Sillery,9
ocd-division/country:ca/csd:2423027/district:10,Le Plateau,10
ocd-division/country:ca/csd:2423027/district:11,La Pointe-de-Sainte-Foy,11
ocd-division/country:ca/csd:2423027/district:12,Cap-Rouge–Laurentien,12
ocd-division/country:ca/csd:2423027/district:13,Saint-Rodrigue,13
ocd-division/country:ca/csd:2423027/district:14,Louis-XIV,14
ocd-division/country:ca/csd:2423027/district:15,Les Monts,15
ocd-division/country:ca/csd:2423027/district:16,Sainte-Thérèse-de-Lisieux,16
ocd-division/country:ca/csd:2423027/district:17,La Chute-Montmorency–Seigneurial,17
ocd-division/country:ca/csd:2423027/district:18,Robert-Giffard,18
ocd-division/country:ca/csd:2423027/district:19,Lac-Saint-Charles–Saint-Émile,19
ocd-division/country:ca/csd:2423027/district:20,Loretteville-Les Châtels,20
ocd-division/country:ca/csd:2423027/district:21,Val-Bélair,21
