id,name,validFrom
ocd-division/country:ca/province:bc/ed:abm-2015,Abbotsford-Mission,2017-05-09
ocd-division/country:ca/province:bc/ed:abs-2015,Abbotsford South,2017-05-09
ocd-division/country:ca/province:bc/ed:abw-2015,Abbotsford West,2017-05-09
ocd-division/country:ca/province:bc/ed:bds-2015,Boundary-Similkameen,2017-05-09
ocd-division/country:ca/province:bc/ed:bnd-2015,Burnaby-Deer Lake,2017-05-09
ocd-division/country:ca/province:bc/ed:bne-2015,Burnaby-Edmonds,2017-05-09
ocd-division/country:ca/province:bc/ed:bnl-2015,Burnaby-Lougheed,2017-05-09
ocd-division/country:ca/province:bc/ed:bnn-2015,Burnaby North,2017-05-09
ocd-division/country:ca/province:bc/ed:cbc-2015,Cariboo-Chilcotin,2017-05-09
ocd-division/country:ca/province:bc/ed:cbn-2015,Cariboo North,2017-05-09
ocd-division/country:ca/province:bc/ed:chc-2015,Chilliwack,2017-05-09
ocd-division/country:ca/province:bc/ed:chk-2015,Chilliwack-Kent,2017-05-09
ocd-division/country:ca/province:bc/ed:clr-2015,Columbia River-Revelstoke,2017-05-09
ocd-division/country:ca/province:bc/ed:cqb-2015,Coquitlam-Burke Mountain,2017-05-09
ocd-division/country:ca/province:bc/ed:cqm-2015,Coquitlam-Maillardville,2017-05-09
ocd-division/country:ca/province:bc/ed:crc-2015,Courtenay-Comox,2017-05-09
ocd-division/country:ca/province:bc/ed:cwv-2015,Cowichan Valley,2017-05-09
ocd-division/country:ca/province:bc/ed:dln-2015,Delta North,2017-05-09
ocd-division/country:ca/province:bc/ed:dls-2015,Delta South,2017-05-09
ocd-division/country:ca/province:bc/ed:esm-2015,Esquimalt-Metchosin,2017-05-09
ocd-division/country:ca/province:bc/ed:frn-2015,Fraser-Nicola,2017-05-09
ocd-division/country:ca/province:bc/ed:kan-2015,Kamloops-North Thompson,2017-05-09
ocd-division/country:ca/province:bc/ed:kas-2015,Kamloops-South Thompson,2017-05-09
ocd-division/country:ca/province:bc/ed:kla-2015,Kelowna-Lake Country,2017-05-09
ocd-division/country:ca/province:bc/ed:klm-2015,Kelowna-Mission,2017-05-09
ocd-division/country:ca/province:bc/ed:klw-2015,Kelowna West,2017-05-09
ocd-division/country:ca/province:bc/ed:koe-2015,Kootenay East,2017-05-09
ocd-division/country:ca/province:bc/ed:kow-2015,Kootenay West,2017-05-09
ocd-division/country:ca/province:bc/ed:ljf-2015,Langford-Juan de Fuca,2017-05-09
ocd-division/country:ca/province:bc/ed:lly-2015,Langley,2017-05-09
ocd-division/country:ca/province:bc/ed:lye-2015,Langley East,2017-05-09
ocd-division/country:ca/province:bc/ed:mam-2015,Maple Ridge-Mission,2017-05-09
ocd-division/country:ca/province:bc/ed:map-2015,Maple Ridge-Pitt Meadows,2017-05-09
ocd-division/country:ca/province:bc/ed:mpr-2015,Mid Island-Pacific Rim,2017-05-09
ocd-division/country:ca/province:bc/ed:nan-2015,Nanaimo,2017-05-09
ocd-division/country:ca/province:bc/ed:ncw-2015,Nanaimo-North Cowichan,2017-05-09
