id,name
ocd-division/country:ca/province:ns/ed:1,Annapolis
ocd-division/country:ca/province:ns/ed:2,Antigonish
ocd-division/country:ca/province:ns/ed:3,Argyle-Barrington
ocd-division/country:ca/province:ns/ed:4,Bedford
ocd-division/country:ca/province:ns/ed:5,Cape Breton Centre
ocd-division/country:ca/province:ns/ed:6,Cape Breton-Richmond
ocd-division/country:ca/province:ns/ed:7,Chester-St. Margaret's
ocd-division/country:ca/province:ns/ed:8,Clare-Digby
ocd-division/country:ca/province:ns/ed:9,Clayton Park West
ocd-division/country:ca/province:ns/ed:10,Colchester-Musquodoboit Valley
ocd-division/country:ca/province:ns/ed:11,Colchester North
ocd-division/country:ca/province:ns/ed:12,Cole Harbour-Eastern Passage
ocd-division/country:ca/province:ns/ed:13,Cole Harbour-Portland Valley
ocd-division/country:ca/province:ns/ed:14,Cumberland North
ocd-division/country:ca/province:ns/ed:15,Cumberland South
ocd-division/country:ca/province:ns/ed:16,Dartmouth East
ocd-division/country:ca/province:ns/ed:17,Dartmouth North
ocd-division/country:ca/province:ns/ed:18,Preston-Dartmouth
ocd-division/country:ca/province:ns/ed:19,Dartmouth South
ocd-division/country:ca/province:ns/ed:20,Guysborough-Eastern Shore-Tracadie
ocd-division/country:ca/province:ns/ed:21,Eastern Shore
ocd-division/country:ca/province:ns/ed:22,Fairview-Clayton Park
ocd-division/country:ca/province:ns/ed:23,Glace Bay
ocd-division/country:ca/province:ns/ed:24,Halifax Armdale
ocd-division/country:ca/province:ns/ed:25,Halifax Atlantic
ocd-division/country:ca/province:ns/ed:26,Halifax Chebucto
ocd-division/country:ca/province:ns/ed:27,Halifax Citadel-Sable Island
ocd-division/country:ca/province:ns/ed:28,Halifax Needham
ocd-division/country:ca/province:ns/ed:29,Hammonds Plains-Lucasville
ocd-division/country:ca/province:ns/ed:30,Hants East
ocd-division/country:ca/province:ns/ed:31,Hants West
ocd-division/country:ca/province:ns/ed:32,Inverness
ocd-division/country:ca/province:ns/ed:33,Kings North
ocd-division/country:ca/province:ns/ed:34,Kings South
ocd-division/country:ca/province:ns/ed:35,Kings West
ocd-division/country:ca/province:ns/ed:36,Lunenburg
ocd-division/country:ca/province:ns/ed:37,Lunenburg West
ocd-division/country:ca/province:ns/ed:38,Northside-Westmount
ocd-division/country:ca/province:ns/ed:39,Pictou Centre
ocd-division/country:ca/province:ns/ed:40,Pictou East
ocd-division/country:ca/province:ns/ed:41,Pictou West
ocd-division/country:ca/province:ns/ed:42,Queens-Shelburne
ocd-division/country:ca/province:ns/ed:43,Sackville-Beaver Bank
ocd-division/country:ca/province:ns/ed:44,Sackville-Cobequid
ocd-division/country:ca/province:ns/ed:45,Sydney-Whitney Pier
ocd-division/country:ca/province:ns/ed:46,Sydney River-Mira-Louisbourg
ocd-division/country:ca/province:ns/ed:47,Timberlea-Prospect
ocd-division/country:ca/province:ns/ed:48,Truro-Bible Hill-Millbrook-Salmon River
ocd-division/country:ca/province:ns/ed:49,Victoria-The Lakes
ocd-division/country:ca/province:ns/ed:50,Waverley-Fall River-Beaver Bank
ocd-division/country:ca/province:ns/ed:51,Yarmouth
