id,name,validFrom
ocd-division/country:ca/province:on/ed:1-2015,Ajax,2018-06-07
ocd-division/country:ca/province:on/ed:2-2015,Algoma—Manitoulin,2018-06-07
ocd-division/country:ca/province:on/ed:3-2015,Aurora—Oak Ridges—Richmond Hill,2018-06-07
ocd-division/country:ca/province:on/ed:4-2015,Barrie—Innisfil,2018-06-07
ocd-division/country:ca/province:on/ed:5-2015,Barrie—Springwater—Oro-Medonte,2018-06-07
ocd-division/country:ca/province:on/ed:6-2015,Bay of Quinte,2018-06-07
ocd-division/country:ca/province:on/ed:7-2015,Beaches—East York,2018-06-07
ocd-division/country:ca/province:on/ed:8-2015,Brampton Centre,2018-06-07
ocd-division/country:ca/province:on/ed:9-2015,Brampton East,2018-06-07
ocd-division/country:ca/province:on/ed:10-2015,Brampton North,2018-06-07
ocd-division/country:ca/province:on/ed:11-2015,Brampton South,2018-06-07
ocd-division/country:ca/province:on/ed:12-2015,Brampton West,2018-06-07
ocd-division/country:ca/province:on/ed:13-2015,Brantford—Brant,2018-06-07
ocd-division/country:ca/province:on/ed:14-2015,Bruce—Grey—Owen Sound,2018-06-07
ocd-division/country:ca/province:on/ed:15-2015,Burlington,2018-06-07
ocd-division/country:ca/province:on/ed:16-2015,Cambridge,2018-06-07
ocd-division/country:ca/province:on/ed:17-2015,Carleton,2018-06-07
ocd-division/country:ca/province:on/ed:18-2015,Chatham-Kent—Leamington,2018-06-07
ocd-division/country:ca/province:on/ed:19-2015,Davenport,2018-06-07
ocd-division/country:ca/province:on/ed:20-2015,Don Valley East,2018-06-07
ocd-division/country:ca/province:on/ed:21-2015,Don Valley North,2018-06-07
ocd-division/country:ca/province:on/ed:22-2015,Don Valley West,2018-06-07
ocd-division/country:ca/province:on/ed:23-2015,Dufferin—Caledon,2018-06-07
ocd-division/country:ca/province:on/ed:24-2015,Durham,2018-06-07
ocd-division/country:ca/province:on/ed:25-2015,Eglinton—Lawrence,2018-06-07
ocd-division/country:ca/province:on/ed:26-2015,Elgin—Middlesex—London,2018-06-07
ocd-division/country:ca/province:on/ed:27-2015,Essex,2018-06-07
ocd-division/country:ca/province:on/ed:28-2015,Etobicoke Centre,2018-06-07
ocd-division/country:ca/province:on/ed:29-2015,Etobicoke—Lakeshore,2018-06-07
ocd-division/country:ca/province:on/ed:30-2015,Etobicoke North,2018-06-07
ocd-division/country:ca/province:on/ed:31-2015,Flamborough—Glanbrook,2018-06-07
ocd-division/country:ca/province:on/ed:32-2015,Glengarry—Prescott—Russell,2018-06-07
ocd-division/country:ca/province:on/ed:33-2015,Guelph,2018-06-07
ocd-division/country:ca/province:on/ed:34-2015,Haldimand—Norfolk,2018-06-07
ocd-division/country:ca/province:on/ed:35-2015,Haliburton—Kawartha Lakes—Brock,2018-06-07
ocd-division/country:ca/province:on/ed:36-2015,Hamilton Centre,2018-06-07
ocd-division/country:ca/province:on/ed:37-2015,Hamilton East—Stoney Creek,2018-06-07
ocd-division/country:ca/province:on/ed:38-2015,Hamilton Mountain,2018-06-07
ocd-division/country:ca/province:on/ed:39-2015,Hamilton West—Ancaster—Dundas,2018-06-07
ocd-division/country:ca/province:on/ed:40-2015,Hastings—Lennox and Addington,2018-06-07
ocd-division/country:ca/province:on/ed:41-2015,Humber River—Black Creek,2018-06-07
ocd-division/country:ca/province:on/ed:42-2015,Huron—Bruce,2018-06-07
ocd-division/country:ca/province:on/ed:43-2015,Kanata—Carleton,2018-06-07
ocd-division/country:ca/province:on/ed:44-2015,Kenora—Rainy River,2018-06-07
ocd-division/country:ca/province:on/ed:45-2015,King—Vaughan,2018-06-07
ocd-division/country:ca/province:on/ed:46-2015,Kingston and the Islands,2018-06-07
ocd-division/country:ca/province:on/ed:47-2015,Kitchener Centre,2018-06-07
ocd-division/country:ca/province:on/ed:48-2015,Kitchener—Conestoga,2018-06-07
ocd-division/country:ca/province:on/ed:49-2015,Kitchener South—Hespeler,2018-06-07
ocd-division/country:ca/province:on/ed:50-2015,Lambton—Kent—Middlesex,2018-06-07
ocd-division/country:ca/province:on/ed:51-2015,Lanark—Frontenac—Kingston,2018-06-07
ocd-division/country:ca/province:on/ed:52-2015,Leeds—Grenville—Thousand Islands and Rideau Lakes,2018-06-07
ocd-division/country:ca/province:on/ed:53-2015,London—Fanshawe,2018-06-07
ocd-division/country:ca/province:on/ed:54-2015,London North Centre,2018-06-07
ocd-division/country:ca/province:on/ed:55-2015,London West,2018-06-07
ocd-division/country:ca/province:on/ed:56-2015,Markham—Stouffville,2018-06-07
ocd-division/country:ca/province:on/ed:57-2015,Markham—Thornhill,2018-06-07
ocd-division/country:ca/province:on/ed:58-2015,Markham—Unionville,2018-06-07
ocd-division/country:ca/province:on/ed:59-2015,Milton,2018-06-07
ocd-division/country:ca/province:on/ed:60-2015,Mississauga Centre,2018-06-07
ocd-division/country:ca/province:on/ed:61-2015,Mississauga East—Cooksville,2018-06-07
ocd-division/country:ca/province:on/ed:62-2015,Mississauga—Erin Mills,2018-06-07
ocd-division/country:ca/province:on/ed:63-2015,Mississauga—Lakeshore,2018-06-07
ocd-division/country:ca/province:on/ed:64-2015,Mississauga—Malton,2018-06-07
ocd-division/country:ca/province:on/ed:65-2015,Mississauga—Streetsville,2018-06-07
ocd-division/country:ca/province:on/ed:66-2015,Nepean,2018-06-07
ocd-division/country:ca/province:on/ed:67-2015,Newmarket—Aurora,2018-06-07
ocd-division/country:ca/province:on/ed:68-2015,Niagara Centre,2018-06-07
ocd-division/country:ca/province:on/ed:69-2015,Niagara Falls,2018-06-07
ocd-division/country:ca/province:on/ed:70-2015,Niagara West,2018-06-07
ocd-division/country:ca/province:on/ed:71-2015,Nickel Belt,2018-06-07
ocd-division/country:ca/province:on/ed:72-2015,Nipissing,2018-06-07
ocd-division/country:ca/province:on/ed:73-2015,Northumberland—Peterborough South,2018-06-07
ocd-division/country:ca/province:on/ed:74-2015,Oakville,2018-06-07
ocd-division/country:ca/province:on/ed:75-2015,Oakville North—Burlington,2018-06-07
ocd-division/country:ca/province:on/ed:76-2015,Orléans,2018-06-07
ocd-division/country:ca/province:on/ed:77-2015,Oshawa,2018-06-07
ocd-division/country:ca/province:on/ed:78-2015,Ottawa Centre,2018-06-07
ocd-division/country:ca/province:on/ed:79-2015,Ottawa South,2018-06-07
ocd-division/country:ca/province:on/ed:80-2015,Ottawa—Vanier,2018-06-07
