id,name,name_fr
ocd-division/country:ca/province:on/ed:1,Ajax—Pickering,Ajax—Pickering
ocd-division/country:ca/province:on/ed:2,Algoma—Manitoulin,Algoma—Manitoulin
ocd-division/country:ca/province:on/ed:3,Ancaster—Dundas—Flamborough—Westdale,Ancaster—Dundas—Flamborough—Westdale
ocd-division/country:ca/province:on/ed:4,Barrie,Barrie
ocd-division/country:ca/province:on/ed:5,Beaches—East York,Beaches—East York
ocd-division/country:ca/province:on/ed:6,Bramalea—Gore—Malton,Bramalea—Gore—Malton
ocd-division/country:ca/province:on/ed:7,Brampton—Springdale,Brampton—Springdale
ocd-division/country:ca/province:on/ed:8,Brampton West,Brampton-Ouest
ocd-division/country:ca/province:on/ed:9,Brant,Brant
ocd-division/country:ca/province:on/ed:10,Bruce—Grey—Owen Sound,Bruce—Grey—Owen Sound
ocd-division/country:ca/province:on/ed:11,Burlington,Burlington
ocd-division/country:ca/province:on/ed:12,Cambridge,Cambridge
ocd-division/country:ca/province:on/ed:13,Carleton—Mississippi Mills,Carleton—Mississippi Mills
ocd-division/country:ca/province:on/ed:14,Chatham-Kent—Essex,Chatham-Kent—Essex
ocd-division/country:ca/province:on/ed:15,Davenport,Davenport
ocd-division/country:ca/province:on/ed:16,Don Valley East,Don Valley-Est
ocd-division/country:ca/province:on/ed:17,Don Valley West,Don Valley-Ouest
ocd-division/country:ca/province:on/ed:18,Dufferin—Caledon,Dufferin—Caledon
ocd-division/country:ca/province:on/ed:19,Durham,Durham
ocd-division/country:ca/province:on/ed:20,Eglinton—Lawrence,Eglinton—Lawrence
ocd-division/country:ca/province:on/ed:21,Elgin—Middlesex—London,Elgin—Middlesex—London
ocd-division/country:ca/province:on/ed:22,Essex,Essex
ocd-division/country:ca/province:on/ed:23,Etobicoke Centre,Etobicoke-Centre
ocd-division/country:ca/province:on/ed:24,Etobicoke—Lakeshore,Etobicoke—Lakeshore
ocd-division/country:ca/province:on/ed:25,Etobicoke North,Etobicoke-Nord
ocd-division/country:ca/province:on/ed:26,Glengarry—Prescott—Russell,Glengarry—Prescott—Russell
ocd-division/country:ca/province:on/ed:27,Guelph,Guelph
ocd-division/country:ca/province:on/ed:28,Haldimand—Norfolk,Haldimand—Norfolk
ocd-division/country:ca/province:on/ed:29,Haliburton—Kawartha Lakes—Brock,Haliburton—Kawartha Lakes—Brock
ocd-division/country:ca/province:on/ed:30,Halton,Halton
ocd-division/country:ca/province:on/ed:31,Hamilton Centre,Hamilton-Centre
ocd-division/country:ca/province:on/ed:32,Hamilton East—Stoney Creek,Hamilton-Est—Stoney Creek
ocd-division/country:ca/province:on/ed:33,Hamilton Mountain,Hamilton Mountain
ocd-division/country:ca/province:on/ed:34,Huron—Bruce,Huron—Bruce
ocd-division/country:ca/province:on/ed:35,Kenora—Rainy River,Kenora—Rainy River
ocd-division/country:ca/province:on/ed:36,Kingston and the Islands,Kingston et les Îles
ocd-division/country:ca/province:on/ed:37,Kitchener Centre,Kitchener-Centre
ocd-division/country:ca/province:on/ed:38,Kitchener—Conestoga,Kitchener—Conestoga
ocd-division/country:ca/province:on/ed:39,Kitchener—Waterloo,Kitchener—Waterloo
ocd-division/country:ca/province:on/ed:40,Lambton—Kent—Middlesex,Lambton—Kent—Middlesex
ocd-division/country:ca/province:on/ed:41,Lanark—Frontenac—Lennox and Addington,Lanark—Frontenac—Lennox and Addington
ocd-division/country:ca/province:on/ed:42,Leeds—Grenville,Leeds—Grenville
ocd-division/country:ca/province:on/ed:43,London—Fanshawe,London—Fanshawe
ocd-division/country:ca/province:on/ed:44,London North Centre,London-Centre-Nord
ocd-division/country:ca/province:on/ed:45,London West,London-Ouest
ocd-division/country:ca/province:on/ed:46,Markham—Unionville,Markham—Unionville
ocd-division/country:ca/province:on/ed:47,Mississauga—Brampton South,Mississauga—Brampton-Sud
ocd-division/country:ca/province:on/ed:48,Mississauga East—Cooksville,Mississauga-Est—Cooksville
ocd-division/country:ca/province:on/ed:49,Mississauga—Erindale,Mississauga—Erindale
ocd-division/country:ca/province:on/ed:50,Mississauga South,Mississauga-Sud
ocd-division/country:ca/province:on/ed:51,Mississauga—Streetsville,Mississauga—Streetsville
ocd-division/country:ca/province:on/ed:52,Nepean—Carleton,Nepean—Carleton
ocd-division/country:ca/province:on/ed:53,Newmarket—Aurora,Newmarket—Aurora
ocd-division/country:ca/province:on/ed:54,Niagara Falls,Niagara Falls
ocd-division/country:ca/province:on/ed:55,Niagara West—Glanbrook,Niagara-Ouest—Glanbrook
ocd-division/country:ca/province:on/ed:56,Nickel Belt,Nickel Belt
ocd-division/country:ca/province:on/ed:57,Nipissing,Nipissing
ocd-division/country:ca/province:on/ed:58,Northumberland—Quinte West,Northumberland—Quinte Ouest
ocd-division/country:ca/province:on/ed:59,Oak Ridges—Markham,Oak Ridges—Markham
ocd-division/country:ca/province:on/ed:60,Oakville,Oakville
ocd-division/country:ca/province:on/ed:61,Oshawa,Oshawa
ocd-division/country:ca/province:on/ed:62,Ottawa Centre,Ottawa-Centre
ocd-division/country:ca/province:on/ed:63,Ottawa—Orléans,Ottawa—Orléans
ocd-division/country:ca/province:on/ed:64,Ottawa South,Ottawa-Sud
ocd-division/country:ca/province:on/ed:65,Ottawa—Vanier,Ottawa—Vanier
ocd-division/country:ca/province:on/ed:66,Ottawa West—Nepean,Ottawa-Ouest—Nepean
ocd-division/country:ca/province:on/ed:67,Oxford,Oxford
ocd-division/country:ca/province:on/ed:68,Parkdale—High Park,Parkdale—High Park
ocd-division/country:ca/province:on/ed:69,Parry Sound—Muskoka,Parry Sound—Muskoka
ocd-division/country:ca/province:on/ed:70,Perth—Wellington,Perth—Wellington
ocd-division/country:ca/province:on/ed:71,Peterborough,Peterborough
ocd-division/country:ca/province:on/ed:72,Pickering—Scarborough East,Pickering—Scarborough-Est
ocd-division/country:ca/province:on/ed:73,Prince Edward—Hastings,Prince Edward—Hastings
ocd-division/country:ca/province:on/ed:74,Renfrew—Nipissing—Pembroke,Renfrew—Nipissing—Pembroke
ocd-division/country:ca/province:on/ed:75,Richmond Hill,Richmond Hill
ocd-division/country:ca/province:on/ed:76,St. Catharines,St. Catharines
ocd-division/country:ca/province:on/ed:77,St. Paul's,St. Paul's
ocd-division/country:ca/province:on/ed:78,Sarnia—Lambton,Sarnia—Lambton
ocd-division/country:ca/province:on/ed:79,Sault Ste. Marie,Sault Ste. Marie
ocd-division/country:ca/province:on/ed:80,Scarborough—Agincourt,Scarborough—Agincourt
ocd-division/country:ca/province:on/ed:81,Scarborough Centre,Scarborough-Centre
ocd-division/country:ca/province:on/ed:82,Scarborough—Guildwood,Scarborough—Guildwood
ocd-division/country:ca/province:on/ed:83,Scarborough—Rouge River,Scarborough—Rouge River
ocd-division/country:ca/province:on/ed:84,Scarborough Southwest,Scarborough-Sud-Ouest
ocd-division/country:ca/province:on/ed:85,Simcoe—Grey,Simcoe—Grey
ocd-division/country:ca/province:on/ed:86,Simcoe North,Simcoe-Nord
ocd-division/country:ca/province:on/ed:87,Stormont—Dundas—South Glengarry,Stormont—Dundas—South Glengarry
ocd-division/country:ca/province:on/ed:88,Sudbury,Sudbury
ocd-division/country:ca/province:on/ed:89,Thornhill,Thornhill
ocd-division/country:ca/province:on/ed:90,Thunder Bay—Atikokan,Thunder Bay—Atikokan
ocd-division/country:ca/province:on/ed:91,Thunder Bay—Superior North,Thunder Bay—Superior-Nord
ocd-division/country:ca/province:on/ed:92,Timiskaming—Cochrane,Timiskaming—Cochrane
ocd-division/country:ca/province:on/ed:93,Timmins—James Bay,Timmins—Baie James
ocd-division/country:ca/province:on/ed:94,Toronto Centre,Toronto-Centre
ocd-division/country:ca/province:on/ed:95,Toronto—Danforth,Toronto—Danforth
ocd-division/country:ca/province:on/ed:96,Trinity—Spadina,Trinity—Spadina
ocd-division/country:ca/province:on/ed:97,Vaughan,Vaughan
ocd-division/country:ca/province:on/ed:98,Welland,Welland
ocd-division/country:ca/province:on/ed:99,Wellington—Halton Hills,Wellington—Halton Hills
ocd-division/country:ca/province:on/ed:100,Whitby—Oshawa,Whitby—Oshawa
ocd-division/country:ca/province:on/ed:101,Willowdale,Willowdale
ocd-division/country:ca/province:on/ed:102,Windsor—Tecumseh,Windsor—Tecumseh
ocd-division/country:ca/province:on/ed:103,Windsor West,Windsor-Ouest
ocd-division/country:ca/province:on/ed:104,York Centre,York-Centre
ocd-division/country:ca/province:on/ed:105,York—Simcoe,York—Simcoe
ocd-division/country:ca/province:on/ed:106,York South—Weston,York-Sud—Weston
ocd-division/country:ca/province:on/ed:107,York West,York-Ouest
