id,name
ocd-division/country:ca/province:on/school_district:1,DSB Ontario North East
ocd-division/country:ca/province:on/school_district:2,Algoma DSB
ocd-division/country:ca/province:on/school_district:3,Rainbow DSB
ocd-division/country:ca/province:on/school_district:4,Near North
ocd-division/country:ca/province:on/school_district:5a,Keewatin-Patricia DSB
ocd-division/country:ca/province:on/school_district:5b,Rainy River
ocd-division/country:ca/province:on/school_district:6a,Lakehead DSB
ocd-division/country:ca/province:on/school_district:6b,Superior-Greenstone DSB
ocd-division/country:ca/province:on/school_district:7,Bluewater DSB
ocd-division/country:ca/province:on/school_district:8,Avon Maitland DSB
ocd-division/country:ca/province:on/school_district:9,Greater Essex County DSB
ocd-division/country:ca/province:on/school_district:10,Lambton Kent DSB
ocd-division/country:ca/province:on/school_district:11,Thames Valley DSB
ocd-division/country:ca/province:on/school_district:12,Toronto DSB
ocd-division/country:ca/province:on/school_district:13,Durham DSB
ocd-division/country:ca/province:on/school_district:14,Kawartha Pine Ridge DSB
ocd-division/country:ca/province:on/school_district:15,Trillium Lakelands
ocd-division/country:ca/province:on/school_district:16,York Region DSB
ocd-division/country:ca/province:on/school_district:17,Simcoe County DSB
ocd-division/country:ca/province:on/school_district:18,Upper Grand DSB
ocd-division/country:ca/province:on/school_district:19,Peel DSB
ocd-division/country:ca/province:on/school_district:20,Halton DSB
ocd-division/country:ca/province:on/school_district:21,Hamilton-Wentworth DSB
ocd-division/country:ca/province:on/school_district:22,DSB of Niagara
ocd-division/country:ca/province:on/school_district:23,Grand Erie DSB
ocd-division/country:ca/province:on/school_district:24,Waterloo Region DSB
ocd-division/country:ca/province:on/school_district:25,Ottawa-Carleton DSB
ocd-division/country:ca/province:on/school_district:26,Upper Canada DSB
ocd-division/country:ca/province:on/school_district:27,Limestone DSB
ocd-division/country:ca/province:on/school_district:28,Renfrew County DSB
ocd-division/country:ca/province:on/school_district:29,Hastings and Prince Edward DSB
ocd-division/country:ca/province:on/school_district:30a,Northeastern Catholic DSB
ocd-division/country:ca/province:on/school_district:30b,Nipissing-Parry Sound Catholic DSB
ocd-division/country:ca/province:on/school_district:31,Huron-Superior Catholic DSB
ocd-division/country:ca/province:on/school_district:32,Sudbury Catholic DSB
ocd-division/country:ca/province:on/school_district:33a,Northwest Catholic DSB
ocd-division/country:ca/province:on/school_district:33b,Kenora Catholic DSB
ocd-division/country:ca/province:on/school_district:34a,Thunder Bay Catholic DSB
ocd-division/country:ca/province:on/school_district:34b,Superior North Catholic DSB
ocd-division/country:ca/province:on/school_district:35,Bruce-Grey Catholic DSB
ocd-division/country:ca/province:on/school_district:36,Huron Perth Catholic DSB
ocd-division/country:ca/province:on/school_district:37,Windsor-Essex Catholic DSB
ocd-division/country:ca/province:on/school_district:38,London District Catholic School Board
ocd-division/country:ca/province:on/school_district:39,St. Clair Catholic DSB
ocd-division/country:ca/province:on/school_district:40,Toronto Catholic DSB
ocd-division/country:ca/province:on/school_district:41,Peterborough Victoria Northumberland and Claringto
ocd-division/country:ca/province:on/school_district:42,York Catholic DSB
ocd-division/country:ca/province:on/school_district:43,Dufferin-Peel Catholic DSB
ocd-division/country:ca/province:on/school_district:44,Simcoe Muskoka Catholic DSB
ocd-division/country:ca/province:on/school_district:45,Durham Catholic DSB
ocd-division/country:ca/province:on/school_district:46,Halton Catholic DSB
ocd-division/country:ca/province:on/school_district:47,Hamilton-Wentworth Catholic DSB
ocd-division/country:ca/province:on/school_district:48,Wellington Catholic DSB
ocd-division/country:ca/province:on/school_district:49,Waterloo Catholic DSB
ocd-division/country:ca/province:on/school_district:50,Niagara Catholic DSB
ocd-division/country:ca/province:on/school_district:51,Brant Haldimand Norfolk Catholic DSB
ocd-division/country:ca/province:on/school_district:52,Catholic DSB of Eastern Ontario
ocd-division/country:ca/province:on/school_district:53,Ottawa-Carleton Catholic DSB
ocd-division/country:ca/province:on/school_district:54,Renfrew County Catholic DSB
ocd-division/country:ca/province:on/school_district:55,Algonquin and Lakeshore Catholic DSB
ocd-division/country:ca/province:on/school_district:56,CSD du Nord-Est de l'Ontario
ocd-division/country:ca/province:on/school_district:57,CSP du Grand Nord de l'Ontario
ocd-division/country:ca/province:on/school_district:58,Conseil scolaire Viamonde
ocd-division/country:ca/province:on/school_district:59,Conseil des écoles publiques de l'Est de l'Ontari
ocd-division/country:ca/province:on/school_district:60a,CSD catholique des Grandes Rivières
ocd-division/country:ca/province:on/school_district:60b,CSD catholique Franco-Nord
ocd-division/country:ca/province:on/school_district:61,CSD catholique du Nouvel-Ontario
ocd-division/country:ca/province:on/school_district:62,CSD catholique des Aurores boréales
ocd-division/country:ca/province:on/school_district:63,Conseil scolaire catholique Providence
ocd-division/country:ca/province:on/school_district:64,CS catholique MonAvenir
ocd-division/country:ca/province:on/school_district:65,CSD catholique de l'Est ontarien
ocd-division/country:ca/province:on/school_district:66,CSD catholique du Centre-Est de l'Ontario
