id,name,validFrom
ocd-division/country:ca/province:qc/ed:104-2017,Mégantic,2018-10-01
ocd-division/country:ca/province:qc/ed:110-2017,Saint-François,2018-10-01
ocd-division/country:ca/province:qc/ed:116-2017,Sherbrooke,2018-10-01
ocd-division/country:ca/province:qc/ed:120-2017,Orford,2018-10-01
ocd-division/country:ca/province:qc/ed:126-2017,Johnson,2018-10-01
ocd-division/country:ca/province:qc/ed:132-2017,Richmond,2018-10-01
ocd-division/country:ca/province:qc/ed:138-2017,Drummond-Bois-Francs,2018-10-01
ocd-division/country:ca/province:qc/ed:144-2017,Arthabaska,2018-10-01
ocd-division/country:ca/province:qc/ed:150-2017,Nicolet-Bécancour,2018-10-01
ocd-division/country:ca/province:qc/ed:204-2017,Brome-Missisquoi,2018-10-01
ocd-division/country:ca/province:qc/ed:206-2017,Granby,2018-10-01
ocd-division/country:ca/province:qc/ed:210-2017,Iberville,2018-10-01
ocd-division/country:ca/province:qc/ed:212-2017,Saint-Jean,2018-10-01
ocd-division/country:ca/province:qc/ed:216-2017,Huntingdon,2018-10-01
ocd-division/country:ca/province:qc/ed:218-2017,Beauharnois,2018-10-01
ocd-division/country:ca/province:qc/ed:220-2017,Soulanges,2018-10-01
ocd-division/country:ca/province:qc/ed:224-2017,Vaudreuil,2018-10-01
ocd-division/country:ca/province:qc/ed:226-2017,Châteauguay,2018-10-01
ocd-division/country:ca/province:qc/ed:230-2017,Sanguinet,2018-10-01
ocd-division/country:ca/province:qc/ed:232-2017,La Prairie,2018-10-01
ocd-division/country:ca/province:qc/ed:236-2017,La Pinière,2018-10-01
ocd-division/country:ca/province:qc/ed:238-2017,Chambly,2018-10-01
ocd-division/country:ca/province:qc/ed:240-2017,Vachon,2018-10-01
ocd-division/country:ca/province:qc/ed:244-2017,Laporte,2018-10-01
ocd-division/country:ca/province:qc/ed:246-2017,Marie-Victorin,2018-10-01
ocd-division/country:ca/province:qc/ed:250-2017,Taillon,2018-10-01
ocd-division/country:ca/province:qc/ed:252-2017,Montarville,2018-10-01
ocd-division/country:ca/province:qc/ed:256-2017,Verchères,2018-10-01
ocd-division/country:ca/province:qc/ed:258-2017,Borduas,2018-10-01
ocd-division/country:ca/province:qc/ed:260-2017,Saint-Hyacinthe,2018-10-01
ocd-division/country:ca/province:qc/ed:264-2017,Richelieu,2018-10-01
ocd-division/country:ca/province:qc/ed:300-2017,Verdun,2018-10-01
ocd-division/country:ca/province:qc/ed:304-2017,Marguerite-Bourgeoys,2018-10-01
ocd-division/country:ca/province:qc/ed:306-2017,Marquette,2018-10-01
ocd-division/country:ca/province:qc/ed:310-2017,Jacques-Cartier,2018-10-01
ocd-division/country:ca/province:qc/ed:312-2017,Nelligan,2018-10-01
ocd-division/country:ca/province:qc/ed:316-2017,Robert-Baldwin,2018-10-01
ocd-division/country:ca/province:qc/ed:318-2017,Saint-Laurent,2018-10-01
ocd-division/country:ca/province:qc/ed:320-2017,D'Arcy-McGee,2018-10-01
ocd-division/country:ca/province:qc/ed:324-2017,Notre-Dame-de-Grâce,2018-10-01
ocd-division/country:ca/province:qc/ed:326-2017,Saint-Henri-Sainte-Anne,2018-10-01
ocd-division/country:ca/province:qc/ed:330-2017,Sainte-Marie-Saint-Jacques,2018-10-01
ocd-division/country:ca/province:qc/ed:332-2017,Westmount-Saint-Louis,2018-10-01
ocd-division/country:ca/province:qc/ed:336-2017,Mont-Royal-Outremont,2018-10-01
ocd-division/country:ca/province:qc/ed:338-2017,Acadie,2018-10-01
ocd-division/country:ca/province:qc/ed:340-2017,Maurice-Richard,2018-10-01
ocd-division/country:ca/province:qc/ed:344-2017,Laurier-Dorion,2018-10-01
ocd-division/country:ca/province:qc/ed:346-2017,Gouin,2018-10-01
ocd-division/country:ca/province:qc/ed:350-2017,Mercier,2018-10-01
ocd-division/country:ca/province:qc/ed:352-2017,Hochelaga-Maisonneuve,2018-10-01
ocd-division/country:ca/province:qc/ed:356-2017,Rosemont,2018-10-01
ocd-division/country:ca/province:qc/ed:358-2017,Viau,2018-10-01
ocd-division/country:ca/province:qc/ed:360-2017,Bourassa-Sauvé,2018-10-01
ocd-division/country:ca/province:qc/ed:364-2017,Jeanne-Mance-Viger,2018-10-01
ocd-division/country:ca/province:qc/ed:366-2017,Anjou-Louis-Riel,2018-10-01
ocd-division/country:ca/province:qc/ed:370-2017,Bourget,2018-10-01
ocd-division/country:ca/province:qc/ed:380-2017,Pointe-aux-Trembles,2018-10-01
ocd-division/country:ca/province:qc/ed:390-2017,LaFontaine,2018-10-01
ocd-division/country:ca/province:qc/ed:454-2017,Laval-des-Rapides,2018-10-01
ocd-division/country:ca/province:qc/ed:460-2017,Chomedey,2018-10-01
ocd-division/country:ca/province:qc/ed:466-2017,Fabre,2018-10-01
ocd-division/country:ca/province:qc/ed:470-2017,Sainte-Rose,2018-10-01
ocd-division/country:ca/province:qc/ed:476-2017,Vimont,2018-10-01
ocd-division/country:ca/province:qc/ed:482-2017,Mille-Îles,2018-10-01
ocd-division/country:ca/province:qc/ed:502-2017,Groulx,2018-10-01
ocd-division/country:ca/province:qc/ed:508-2017,Deux-Montagnes,2018-10-01
ocd-division/country:ca/province:qc/ed:514-2017,Mirabel,2018-10-01
ocd-division/country:ca/province:qc/ed:520-2017,Argenteuil,2018-10-01
ocd-division/country:ca/province:qc/ed:526-2017,Saint-Jérôme,2018-10-01
ocd-division/country:ca/province:qc/ed:530-2017,Les Plaines,2018-10-01
ocd-division/country:ca/province:qc/ed:536-2017,Blainville,2018-10-01
ocd-division/country:ca/province:qc/ed:542-2017,Terrebonne,2018-10-01
ocd-division/country:ca/province:qc/ed:548-2017,Masson,2018-10-01
ocd-division/country:ca/province:qc/ed:554-2017,L'Assomption,2018-10-01
ocd-division/country:ca/province:qc/ed:560-2017,Repentigny,2018-10-01
ocd-division/country:ca/province:qc/ed:566-2017,Berthier,2018-10-01
ocd-division/country:ca/province:qc/ed:570-2017,Joliette,2018-10-01
ocd-division/country:ca/province:qc/ed:576-2017,Rousseau,2018-10-01
ocd-division/country:ca/province:qc/ed:582-2017,Prévost,2018-10-01
ocd-division/country:ca/province:qc/ed:588-2017,Bertrand,2018-10-01
ocd-division/country:ca/province:qc/ed:594-2017,Labelle,2018-10-01
ocd-division/country:ca/province:qc/ed:602-2017,Hull,2018-10-01
ocd-division/country:ca/province:qc/ed:608-2017,Pontiac,2018-10-01
ocd-division/country:ca/province:qc/ed:614-2017,Gatineau,2018-10-01
ocd-division/country:ca/province:qc/ed:620-2017,Chapleau,2018-10-01
ocd-division/country:ca/province:qc/ed:626-2017,Papineau,2018-10-01
ocd-division/country:ca/province:qc/ed:636-2017,Rouyn-Noranda-Témiscamingue,2018-10-01
ocd-division/country:ca/province:qc/ed:642-2017,Abitibi-Ouest,2018-10-01
ocd-division/country:ca/province:qc/ed:648-2017,Abitibi-Est,2018-10-01
ocd-division/country:ca/province:qc/ed:660-2017,Trois-Rivières,2018-10-01
ocd-division/country:ca/province:qc/ed:666-2017,Maskinongé,2018-10-01
ocd-division/country:ca/province:qc/ed:670-2017,Laviolette-Saint-Maurice,2018-10-01
ocd-division/country:ca/province:qc/ed:676-2017,Champlain,2018-10-01
ocd-division/country:ca/province:qc/ed:702-2017,Jean-Talon,2018-10-01
ocd-division/country:ca/province:qc/ed:708-2017,Louis-Hébert,2018-10-01
ocd-division/country:ca/province:qc/ed:714-2017,Portneuf,2018-10-01
ocd-division/country:ca/province:qc/ed:720-2017,La Peltrie,2018-10-01
ocd-division/country:ca/province:qc/ed:726-2017,Vanier-Les Rivières,2018-10-01
ocd-division/country:ca/province:qc/ed:730-2017,Taschereau,2018-10-01
ocd-division/country:ca/province:qc/ed:736-2017,Jean-Lesage,2018-10-01
ocd-division/country:ca/province:qc/ed:742-2017,Montmorency,2018-10-01
ocd-division/country:ca/province:qc/ed:748-2017,Charlesbourg,2018-10-01
ocd-division/country:ca/province:qc/ed:754-2017,Chauveau,2018-10-01
ocd-division/country:ca/province:qc/ed:760-2017,Charlevoix-Côte-de-Beaupré,2018-10-01
ocd-division/country:ca/province:qc/ed:802-2017,Beauce-Sud,2018-10-01
ocd-division/country:ca/province:qc/ed:806-2017,Beauce-Nord,2018-10-01
ocd-division/country:ca/province:qc/ed:810-2017,Lotbinière-Frontenac,2018-10-01
ocd-division/country:ca/province:qc/ed:814-2017,Chutes-de-la-Chaudière,2018-10-01
ocd-division/country:ca/province:qc/ed:818-2017,Lévis,2018-10-01
ocd-division/country:ca/province:qc/ed:822-2017,Bellechasse,2018-10-01
ocd-division/country:ca/province:qc/ed:826-2017,Côte-du-Sud,2018-10-01
ocd-division/country:ca/province:qc/ed:834-2017,Rivière-du-Loup-Témiscouata,2018-10-01
ocd-division/country:ca/province:qc/ed:838-2017,Rimouski,2018-10-01
ocd-division/country:ca/province:qc/ed:842-2017,Matane-Matapédia,2018-10-01
ocd-division/country:ca/province:qc/ed:850-2017,Bonaventure,2018-10-01
ocd-division/country:ca/province:qc/ed:854-2017,Gaspé,2018-10-01
ocd-division/country:ca/province:qc/ed:858-2017,Îles-de-la-Madeleine,2018-10-01
ocd-division/country:ca/province:qc/ed:902-2017,Duplessis,2018-10-01
ocd-division/country:ca/province:qc/ed:906-2017,René-Lévesque,2018-10-01
ocd-division/country:ca/province:qc/ed:914-2017,Dubuc,2018-10-01
ocd-division/country:ca/province:qc/ed:918-2017,Chicoutimi,2018-10-01
ocd-division/country:ca/province:qc/ed:922-2017,Jonquière,2018-10-01
ocd-division/country:ca/province:qc/ed:926-2017,Lac-Saint-Jean,2018-10-01
ocd-division/country:ca/province:qc/ed:930-2017,Roberval,2018-10-01
ocd-division/country:ca/province:qc/ed:938-2017,Ungava,2018-10-01
