id,name
ocd-division/country:ca/province:sk/ed:arm_river,Arm River
ocd-division/country:ca/province:sk/ed:athabasca,Athabasca
ocd-division/country:ca/province:sk/ed:batoche,Batoche
ocd-division/country:ca/province:sk/ed:biggar-sask_valley,Biggar-Sask Valley
ocd-division/country:ca/province:sk/ed:cannington,Cannington
ocd-division/country:ca/province:sk/ed:canora-pelly,Canora-Pelly
ocd-division/country:ca/province:sk/ed:carrot_river_valley,Carrot River Valley
ocd-division/country:ca/province:sk/ed:cumberland,Cumberland
ocd-division/country:ca/province:sk/ed:cut_knife-turtleford,Cut Knife-Turtleford
ocd-division/country:ca/province:sk/ed:cypress_hills,Cypress Hills
ocd-division/country:ca/province:sk/ed:estevan,Estevan
ocd-division/country:ca/province:sk/ed:humboldt-watrous,Humboldt-Watrous
ocd-division/country:ca/province:sk/ed:indian_head-milestone,Indian Head-Milestone
ocd-division/country:ca/province:sk/ed:kelvington-wadena,Kelvington-Wadena
ocd-division/country:ca/province:sk/ed:kindersley,Kindersley
ocd-division/country:ca/province:sk/ed:last_mountain-touchwood,Last Mountain-Touchwood
ocd-division/country:ca/province:sk/ed:lloydminster,Lloydminster
ocd-division/country:ca/province:sk/ed:lumsden-morse,Lumsden-Morse
ocd-division/country:ca/province:sk/ed:martensville-warman,Martensville-Warman
ocd-division/country:ca/province:sk/ed:meadow_lake,Meadow Lake
ocd-division/country:ca/province:sk/ed:melfort,Melfort
ocd-division/country:ca/province:sk/ed:melville-saltcoats,Melville-Saltcoats
ocd-division/country:ca/province:sk/ed:moose_jaw_north,Moose Jaw North
ocd-division/country:ca/province:sk/ed:moose_jaw_wakamow,Moose Jaw Wakamow
ocd-division/country:ca/province:sk/ed:moosomin,Moosomin
ocd-division/country:ca/province:sk/ed:prince_albert_carlton,Prince Albert Carlton
ocd-division/country:ca/province:sk/ed:prince_albert_northcote,Prince Albert Northcote
ocd-division/country:ca/province:sk/ed:regina_coronation_park,Regina Coronation Park
ocd-division/country:ca/province:sk/ed:regina_douglas_park,Regina Douglas Park
ocd-division/country:ca/province:sk/ed:regina_elphinstone-centre,Regina Elphinstone-Centre
ocd-division/country:ca/province:sk/ed:regina_gardiner_park,Regina Gardiner Park
ocd-division/country:ca/province:sk/ed:regina_lakeview,Regina Lakeview
ocd-division/country:ca/province:sk/ed:regina_northeast,Regina Northeast
ocd-division/country:ca/province:sk/ed:regina_pasqua,Regina Pasqua
ocd-division/country:ca/province:sk/ed:regina_rochdale,Regina Rochdale
ocd-division/country:ca/province:sk/ed:regina_rosemont,Regina Rosemont
ocd-division/country:ca/province:sk/ed:regina_university,Regina University
ocd-division/country:ca/province:sk/ed:regina_walsh_acres,Regina Walsh Acres
ocd-division/country:ca/province:sk/ed:regina_wascana_plains,Regina Wascana Plains
ocd-division/country:ca/province:sk/ed:rosetown-elrose,Rosetown-Elrose
ocd-division/country:ca/province:sk/ed:rosthern-shellbrook,Rosthern-Shellbrook
ocd-division/country:ca/province:sk/ed:saskatchewan_rivers,Saskatchewan Rivers
ocd-division/country:ca/province:sk/ed:saskatoon_centre,Saskatoon Centre
ocd-division/country:ca/province:sk/ed:saskatoon_churchill-wildwood,Saskatoon Churchill-Wildwood
ocd-division/country:ca/province:sk/ed:saskatoon_eastview,Saskatoon Eastview
ocd-division/country:ca/province:sk/ed:saskatoon_fairview,Saskatoon Fairview
ocd-division/country:ca/province:sk/ed:saskatoon_meewasin,Saskatoon Meewasin
ocd-division/country:ca/province:sk/ed:saskatoon_northwest,Saskatoon Northwest
ocd-division/country:ca/province:sk/ed:saskatoon_nutana,Saskatoon Nutana
ocd-division/country:ca/province:sk/ed:saskatoon_riversdale,Saskatoon Riversdale
ocd-division/country:ca/province:sk/ed:saskatoon_silverspring-sutherland,Saskatoon Silverspring-Sutherland
ocd-division/country:ca/province:sk/ed:saskatoon_southeast,Saskatoon Southeast
ocd-division/country:ca/province:sk/ed:saskatoon_stonebridge-dakota,Saskatoon Stonebridge-Dakota
ocd-division/country:ca/province:sk/ed:saskatoon_university,Saskatoon University
ocd-division/country:ca/province:sk/ed:saskatoon_westview,Saskatoon Westview
ocd-division/country:ca/province:sk/ed:saskatoon_willowgrove,Saskatoon Willowgrove
ocd-division/country:ca/province:sk/ed:swift_current,Swift Current
ocd-division/country:ca/province:sk/ed:the_battlefords,The Battlefords
ocd-division/country:ca/province:sk/ed:weyburn-big_muddy,Weyburn-Big Muddy
ocd-division/country:ca/province:sk/ed:wood_river,Wood River
ocd-division/country:ca/province:sk/ed:yorkton,Yorkton
