id,name
ocd-division/country:ca/territory:nt/ed:1,Nunakput
ocd-division/country:ca/territory:nt/ed:2,Inuvik Boot Lake
ocd-division/country:ca/territory:nt/ed:3,Inuvik Twin Lakes
ocd-division/country:ca/territory:nt/ed:4,Mackenzie-Delta
ocd-division/country:ca/territory:nt/ed:5,Sahtu
ocd-division/country:ca/territory:nt/ed:6,Nahendeh
ocd-division/country:ca/territory:nt/ed:7,Monfwi
ocd-division/country:ca/territory:nt/ed:8,Tu Nedhe
ocd-division/country:ca/territory:nt/ed:9,Deh Cho
ocd-division/country:ca/territory:nt/ed:10,Thebacha
ocd-division/country:ca/territory:nt/ed:11,Weledeh
ocd-division/country:ca/territory:nt/ed:12,Hay River South
ocd-division/country:ca/territory:nt/ed:13,Hay River North
ocd-division/country:ca/territory:nt/ed:14,Range Lake
ocd-division/country:ca/territory:nt/ed:15,Yellowknife South
ocd-division/country:ca/territory:nt/ed:16,Kam Lake
ocd-division/country:ca/territory:nt/ed:17,Frame Lake
ocd-division/country:ca/territory:nt/ed:18,Yellowknife Centre
ocd-division/country:ca/territory:nt/ed:19,Great Slave
