id,name
ocd-division/country:ca/territory:nu/ed:1,Aggu
ocd-division/country:ca/territory:nu/ed:2,Aivilik
ocd-division/country:ca/territory:nu/ed:3,Amittuq
ocd-division/country:ca/territory:nu/ed:4,Arviat North-Whale Cove
ocd-division/country:ca/territory:nu/ed:5,Arviat South
ocd-division/country:ca/territory:nu/ed:6,Baker Lake
ocd-division/country:ca/territory:nu/ed:7,Cambridge Bay
ocd-division/country:ca/territory:nu/ed:8,Gjoa Haven
ocd-division/country:ca/territory:nu/ed:9,Hudson Bay
ocd-division/country:ca/territory:nu/ed:10,Iqaluit-Manirajak
ocd-division/country:ca/territory:nu/ed:11,Iqaluit-Niaqunnguu
ocd-division/country:ca/territory:nu/ed:12,Iqaluit-Sinaa
ocd-division/country:ca/territory:nu/ed:13,Iqaluit-Tasiluk
ocd-division/country:ca/territory:nu/ed:14,Kugluktuk
ocd-division/country:ca/territory:nu/ed:15,Netsilik
ocd-division/country:ca/territory:nu/ed:16,Pangnirtung
ocd-division/country:ca/territory:nu/ed:17,Quttiktuq
ocd-division/country:ca/territory:nu/ed:18,Rankin Inlet North-Chesterfield Inlet
ocd-division/country:ca/territory:nu/ed:19,Rankin Inlet South
ocd-division/country:ca/territory:nu/ed:20,South Baffin
ocd-division/country:ca/territory:nu/ed:21,Tununiq
ocd-division/country:ca/territory:nu/ed:22,Uqqummiut
