id,name
ocd-division/country:ca/territory:yt/ed:copperbelt_north,Copperbelt North
ocd-division/country:ca/territory:yt/ed:copperbelt_south,Copperbelt South
ocd-division/country:ca/territory:yt/ed:klondike,Klondike
ocd-division/country:ca/territory:yt/ed:kluane,Kluane
ocd-division/country:ca/territory:yt/ed:lake_laberge,Lake Laberge
ocd-division/country:ca/territory:yt/ed:mayo-tatchun,Mayo-Tatchun
ocd-division/country:ca/territory:yt/ed:mount_lorne-southern_lakes,Mount Lorne-Southern Lakes
ocd-division/country:ca/territory:yt/ed:mountainview,Mountainview
ocd-division/country:ca/territory:yt/ed:pelly-nisutlin,Pelly-Nisutlin
ocd-division/country:ca/territory:yt/ed:porter_creek_centre,Porter Creek Centre
ocd-division/country:ca/territory:yt/ed:porter_creek_north,Porter Creek North
ocd-division/country:ca/territory:yt/ed:porter_creek_south,Porter Creek South
ocd-division/country:ca/territory:yt/ed:riverdale_north,Riverdale North
ocd-division/country:ca/territory:yt/ed:riverdale_south,Riverdale South
ocd-division/country:ca/territory:yt/ed:takhini-kopper_king,Takhini-Kopper King
ocd-division/country:ca/territory:yt/ed:vuntut_gwitchin,Vuntut Gwitchin
ocd-division/country:ca/territory:yt/ed:watson_lake,Watson Lake
ocd-division/country:ca/territory:yt/ed:whitehorse_centre,Whitehorse Centre
ocd-division/country:ca/territory:yt/ed:whitehorse_west,Whitehorse West
