id,name
ocd-division/country:ca/territory:yt/ed:1,Copperbelt North
ocd-division/country:ca/territory:yt/ed:2,Copperbelt South
ocd-division/country:ca/territory:yt/ed:3,Klondike
ocd-division/country:ca/territory:yt/ed:4,Kluane
ocd-division/country:ca/territory:yt/ed:5,Lake Laberge
ocd-division/country:ca/territory:yt/ed:6,Mayo-Tatchun
ocd-division/country:ca/territory:yt/ed:7,Mount Lorne-Southern Lakes
ocd-division/country:ca/territory:yt/ed:8,Mountainview
ocd-division/country:ca/territory:yt/ed:9,Pelly-Nisutlin
ocd-division/country:ca/territory:yt/ed:10,Porter Creek Centre
ocd-division/country:ca/territory:yt/ed:11,Porter Creek North
ocd-division/country:ca/territory:yt/ed:12,Porter Creek South
ocd-division/country:ca/territory:yt/ed:13,Riverdale North
ocd-division/country:ca/territory:yt/ed:14,Riverdale South
ocd-division/country:ca/territory:yt/ed:15,Takhini-Kopper King
ocd-division/country:ca/territory:yt/ed:16,Vuntut Gwitchin
ocd-division/country:ca/territory:yt/ed:17,Watson Lake
ocd-division/country:ca/territory:yt/ed:18,Whitehorse Centre
ocd-division/country:ca/territory:yt/ed:19,Whitehorse West
