id,name
ocd-division/country:ch/canton:ag,Aargau
ocd-division/country:ch/canton:ai,Appenzell Innerrhoden
ocd-division/country:ch/canton:ar,Appenzell Ausserrhoden
ocd-division/country:ch/canton:be,Bern / Berne
ocd-division/country:ch/canton:bl,Basel-Landschaft
ocd-division/country:ch/canton:bs,Basel-Stadt
ocd-division/country:ch/canton:fr,Fribourg / Freiburg
ocd-division/country:ch/canton:ge,Genève
ocd-division/country:ch/canton:gl,Glarus
ocd-division/country:ch/canton:gr,Graubünden / Grigioni / Grischun
ocd-division/country:ch/canton:ju,Jura
ocd-division/country:ch/canton:lu,Luzern
ocd-division/country:ch/canton:ne,Neuchâtel
ocd-division/country:ch/canton:nw,Nidwalden
ocd-division/country:ch/canton:ow,Obwalden
ocd-division/country:ch/canton:sg,St. Gallen
ocd-division/country:ch/canton:sh,Schaffhausen
ocd-division/country:ch/canton:so,Solothurn
ocd-division/country:ch/canton:sz,Schwyz
ocd-division/country:ch/canton:tg,Thurgau
ocd-division/country:ch/canton:ti,Ticino
ocd-division/country:ch/canton:ur,Uri
ocd-division/country:ch/canton:vd,Vaud
ocd-division/country:ch/canton:vs,Valais / Wallis
ocd-division/country:ch/canton:zg,Zug
ocd-division/country:ch/canton:zh,Zürich
