id,name
ocd-division/country:co,Colombia
ocd-division/country:co/capital_district:dc,Distrito Capital de Bogotá
ocd-division/country:co/department:am,Amazonas
ocd-division/country:co/department:an,Antioquia
ocd-division/country:co/department:ar,Arauca
ocd-division/country:co/department:at,Atlántico
ocd-division/country:co/department:bl,Bolívar
ocd-division/country:co/department:by,Boyacá
ocd-division/country:co/department:ca,Cauca
ocd-division/country:co/department:ce,Cesar
ocd-division/country:co/department:ch,Chocó
ocd-division/country:co/department:cl,Caldas
ocd-division/country:co/department:co,Córdoba
ocd-division/country:co/department:cq,Caquetá
ocd-division/country:co/department:cs,Casanare
ocd-division/country:co/department:cu,Cundinamarca
ocd-division/country:co/department:gn,Guainía
ocd-division/country:co/department:gv,Guaviare
ocd-division/country:co/department:hu,Huila
ocd-division/country:co/department:lg,La Guajira
ocd-division/country:co/department:ma,Magdalena
ocd-division/country:co/department:me,Meta
ocd-division/country:co/department:na,Nariño
ocd-division/country:co/department:ns,Norte de Santander
ocd-division/country:co/department:pu,Putumayo
ocd-division/country:co/department:qd,Quindío
ocd-division/country:co/department:ri,Risaralda
ocd-division/country:co/department:sa,San Andrés y Providencia
ocd-division/country:co/department:st,Santander
ocd-division/country:co/department:su,Sucre
ocd-division/country:co/department:to,Tolima
ocd-division/country:co/department:vc,Valle del Cauca
ocd-division/country:co/department:vd,Vichada
ocd-division/country:co/department:vp,Vaupés
ocd-division/country:co/special:indigenous,Indigenous communities
ocd-division/country:co/special:afro-colombian,Afro-Colombian communities
ocd-division/country:co/special:diaspora,Colombian citizens resident abroad
ocd-division/country:co/special:alto_patia_y_norte_del_cauca,Alto Patía y Norte del Cauca
ocd-division/country:co/special:arauca,Arauca
ocd-division/country:co/special:bajo_cauca_y_nordeste_antioqueno,Bajo Cauca y Nordeste antioqueño
ocd-division/country:co/special:catatumbo,Catatumbo
ocd-division/country:co/special:choco,Chocó
ocd-division/country:co/special:cuenca_del_caguan_y_piedemonte_caqueteno,Cuenca del Caguán y Piedemonte Caqueteño
ocd-division/country:co/special:macarena-guaviare,Macarena-Guaviare
ocd-division/country:co/special:montes_de_maria,Montes de María
ocd-division/country:co/special:pacifico_y_frontera_narinense,Pacífico y Frontera Nariñense
ocd-division/country:co/special:pacifico_medio,Pacífico Medio
ocd-division/country:co/special:putumayo,Putumayo
ocd-division/country:co/special:san_jorge_y_alto_sinu,San Jorge y Alto Sinú
ocd-division/country:co/special:sierra_nevada_perija,Sierra Nevada - Perijá y Zona Bananera
ocd-division/country:co/special:sur_de_bolivar,Sur de Bolívar
ocd-division/country:co/special:sur_del_tolima,Sur del Tolima
ocd-division/country:co/special:uraba_antioquia,Urabá Antioquia
ocd-division/country:co/special:raizal_community,Raizal community
ocd-division/country:co/special:foreign,Foreign
ocd-division/country:co/special:sur_de_cordoba,Sur de Cordoba

