id,name
ocd-division/country:de,Deutschland
ocd-division/country:de/land:bb,Brandenburg
ocd-division/country:de/land:be,Berlin
ocd-division/country:de/land:bw,Baden-Württemberg
ocd-division/country:de/land:bw/wahlkreis:aachen_i,Aachen I
ocd-division/country:de/land:bw/wahlkreis:aachen_ii,Aachen II
ocd-division/country:de/land:bw/wahlkreis:aalen--heidenheim,Aalen - Heidenheim
ocd-division/country:de/land:bw/wahlkreis:ahrweiler,Ahrweiler
ocd-division/country:de/land:bw/wahlkreis:altmark,Altmark
ocd-division/country:de/land:bw/wahlkreis:altötting,Altötting
ocd-division/country:de/land:bw/wahlkreis:amberg,Amberg
ocd-division/country:de/land:bw/wahlkreis:anhalt,Anhalt
ocd-division/country:de/land:bw/wahlkreis:ansbach,Ansbach
ocd-division/country:de/land:bw/wahlkreis:aschaffenburg,Aschaffenburg
ocd-division/country:de/land:bw/wahlkreis:augsburg-land,Augsburg-Land
ocd-division/country:de/land:bw/wahlkreis:augsburg-stadt,Augsburg-Stadt
ocd-division/country:de/land:bw/wahlkreis:aurich--emden,Aurich - Emden
ocd-division/country:de/land:bw/wahlkreis:backnang--schwäbisch_gmünd,Backnang - Schwäbisch Gmünd
ocd-division/country:de/land:bw/wahlkreis:bad_kissingen,Bad Kissingen
ocd-division/country:de/land:bw/wahlkreis:bamberg,Bamberg
ocd-division/country:de/land:bw/wahlkreis:bautzen_i,Bautzen I
ocd-division/country:de/land:bw/wahlkreis:bayreuth,Bayreuth
ocd-division/country:de/land:bw/wahlkreis:bergstraße,Bergstraße
ocd-division/country:de/land:bw/wahlkreis:berlin-charlottenburg-wilmersdorf,Berlin-Charlottenburg-Wilmersdorf
ocd-division/country:de/land:bw/wahlkreis:berlin-friedrichshain-kreuzberg--prenzlauer_berg_ost,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost
ocd-division/country:de/land:bw/wahlkreis:berlin-lichtenberg,Berlin-Lichtenberg
ocd-division/country:de/land:bw/wahlkreis:berlin-marzahn-hellersdorf,Berlin-Marzahn-Hellersdorf
ocd-division/country:de/land:bw/wahlkreis:berlin-mitte,Berlin-Mitte
ocd-division/country:de/land:bw/wahlkreis:berlin-neukölln,Berlin-Neukölln
ocd-division/country:de/land:bw/wahlkreis:berlin-pankow,Berlin-Pankow
ocd-division/country:de/land:bw/wahlkreis:berlin-reinickendorf,Berlin-Reinickendorf
ocd-division/country:de/land:bw/wahlkreis:berlin-spandau--charlottenburg_nord,Berlin-Spandau - Charlottenburg Nord
ocd-division/country:de/land:bw/wahlkreis:berlin-steglitz-zehlendorf,Berlin-Steglitz-Zehlendorf
ocd-division/country:de/land:bw/wahlkreis:berlin-tempelhof-schöneberg,Berlin-Tempelhof-Schöneberg
ocd-division/country:de/land:bw/wahlkreis:berlin-treptow-köpenick,Berlin-Treptow-Köpenick
ocd-division/country:de/land:bw/wahlkreis:biberach,Biberach
ocd-division/country:de/land:bw/wahlkreis:bielefeld--gütersloh_ii,Bielefeld - Gütersloh II
ocd-division/country:de/land:bw/wahlkreis:bitburg,Bitburg
ocd-division/country:de/land:bw/wahlkreis:bochum_i,Bochum I
ocd-division/country:de/land:bw/wahlkreis:bodensee,Bodensee
ocd-division/country:de/land:bw/wahlkreis:bonn,Bonn
ocd-division/country:de/land:bw/wahlkreis:borken_ii,Borken II
ocd-division/country:de/land:bw/wahlkreis:bottrop--recklinghausen_iii,Bottrop - Recklinghausen III
ocd-division/country:de/land:bw/wahlkreis:brandenburg_an_der_havel--potsdam-mittelmark_i--havelland_iii--teltow-fläming_i,Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I
ocd-division/country:de/land:bw/wahlkreis:braunschweig,Braunschweig
ocd-division/country:de/land:bw/wahlkreis:bremen_i,Bremen I
ocd-division/country:de/land:bw/wahlkreis:bremen_ii--bremerhaven,Bremen II - Bremerhaven
ocd-division/country:de/land:bw/wahlkreis:bruchsal--schwetzingen,Bruchsal - Schwetzingen
ocd-division/country:de/land:bw/wahlkreis:burgenland--saalekreis,Burgenland - Saalekreis
ocd-division/country:de/land:bw/wahlkreis:böblingen,Böblingen
ocd-division/country:de/land:bw/wahlkreis:börde--jerichower_land,Börde - Jerichower Land
ocd-division/country:de/land:bw/wahlkreis:calw,Calw
ocd-division/country:de/land:bw/wahlkreis:celle--uelzen,Celle - Uelzen
ocd-division/country:de/land:bw/wahlkreis:chemnitz,Chemnitz
ocd-division/country:de/land:bw/wahlkreis:chemnitzer_umland--erzgebirgskreis_ii,Chemnitzer Umland - Erzgebirgskreis II
ocd-division/country:de/land:bw/wahlkreis:cloppenburg--vechta,Cloppenburg - Vechta
ocd-division/country:de/land:bw/wahlkreis:coburg,Coburg
ocd-division/country:de/land:bw/wahlkreis:coesfeld--steinfurt_ii,Coesfeld - Steinfurt II
ocd-division/country:de/land:bw/wahlkreis:cottbus--spree-neiße,Cottbus - Spree-Neiße
ocd-division/country:de/land:bw/wahlkreis:cuxhaven--stade_ii,Cuxhaven - Stade II
ocd-division/country:de/land:bw/wahlkreis:dahme-spreewald--teltow-fläming_iii--oberspreewald-lausitz_i,Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I
ocd-division/country:de/land:bw/wahlkreis:darmstadt,Darmstadt
ocd-division/country:de/land:bw/wahlkreis:deggendorf,Deggendorf
ocd-division/country:de/land:bw/wahlkreis:delmenhorst--wesermarsch--oldenburg-land,Delmenhorst - Wesermarsch - Oldenburg-Land
ocd-division/country:de/land:bw/wahlkreis:dessau--wittenberg,Dessau - Wittenberg
ocd-division/country:de/land:bw/wahlkreis:diepholz--nienburg_i,Diepholz - Nienburg I
ocd-division/country:de/land:bw/wahlkreis:donau-ries,Donau-Ries
ocd-division/country:de/land:bw/wahlkreis:dortmund_i,Dortmund I
ocd-division/country:de/land:bw/wahlkreis:dortmund_ii,Dortmund II
ocd-division/country:de/land:bw/wahlkreis:dresden_i,Dresden I
ocd-division/country:de/land:bw/wahlkreis:dresden_ii--bautzen_ii,Dresden II - Bautzen II
ocd-division/country:de/land:bw/wahlkreis:duisburg_i,Duisburg I
ocd-division/country:de/land:bw/wahlkreis:duisburg_ii,Duisburg II
ocd-division/country:de/land:bw/wahlkreis:düren,Düren
ocd-division/country:de/land:bw/wahlkreis:düsseldorf_i,Düsseldorf I
ocd-division/country:de/land:bw/wahlkreis:düsseldorf_ii,Düsseldorf II
ocd-division/country:de/land:bw/wahlkreis:eichsfeld--nordhausen--unstrut-hainich-kreis_i,Eichsfeld - Nordhausen - Unstrut-Hainich-Kreis I
ocd-division/country:de/land:bw/wahlkreis:eisenach--wartburgkreis--unstrut-hainich-kreis_ii,Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis II
ocd-division/country:de/land:bw/wahlkreis:elbe-elster--oberspreewald-lausitz_ii,Elbe-Elster - Oberspreewald-Lausitz II
ocd-division/country:de/land:bw/wahlkreis:emmendingen--lahr,Emmendingen - Lahr
ocd-division/country:de/land:bw/wahlkreis:ennepe-ruhr-kreis_ii,Ennepe-Ruhr-Kreis II
ocd-division/country:de/land:bw/wahlkreis:erding--ebersberg,Erding - Ebersberg
ocd-division/country:de/land:bw/wahlkreis:erfurt--weimar--weimarer_land_ii,Erfurt - Weimar - Weimarer Land II
ocd-division/country:de/land:bw/wahlkreis:erlangen,Erlangen
ocd-division/country:de/land:bw/wahlkreis:erzgebirgskreis_i,Erzgebirgskreis I
ocd-division/country:de/land:bw/wahlkreis:essen_ii,Essen II
