ocd-division/country:de,Deutschland
ocd-division/country:de/land:sh,Schleswig-Holstein
ocd-division/country:de/land:hh,Hamburg
ocd-division/country:de/land:ni,Niedersachsen
ocd-division/country:de/land:hb,Bremen
ocd-division/country:de/land:nw,Nordrhein-Westfalen
ocd-division/country:de/land:he,Hessen
ocd-division/country:de/land:rp,Rheinland-Pfalz
ocd-division/country:de/land:bw,Baden-Württemberg
ocd-division/country:de/land:by,Bayern
ocd-division/country:de/land:sl,Saarland
ocd-division/country:de/land:be,Berlin
ocd-division/country:de/land:bb,Brandenburg
ocd-division/country:de/land:mv,Mecklenburg-Vorpommern
ocd-division/country:de/land:sn,Sachsen
ocd-division/country:de/land:st,Sachsen-Anhalt
ocd-division/country:de/land:th,Thüringen
