id,name,validFrom
ocd-division/country:dk/election_province:hovedstaden,Hovedstaden,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark,Sjælland-Syddanmark,2007-01-01
ocd-division/country:dk/election_province:midtjylland-nordjylland,Midtjylland-Nordjylland,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds,Københavns Storkreds,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_omegns_storkreds,Københavns Omegns Storkreds,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:nordsjaellands_storkreds,Nordsjællands storkreds,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:bornholms_storkreds,Bornholms Storkreds,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sjaellands_storkreds,Sjællands Storkreds,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:fyns_storkreds,Fyns Storkreds,2007-01-01
ocd-division/country:dk/election_province:sjaelland-syddanmark/ed:sydjyllands_storkreds,Sydjyllands Storkreds,2007-01-01
ocd-division/country:dk/election_province:midtjylland-nordjylland/ed:oestjyllands_storkreds,Østjyllands Storkreds,2007-01-01
ocd-division/country:dk/election_province:midtjylland-nordjylland/ed:vestjyllands_storkreds,Vestjyllands Storkreds,2007-01-01
ocd-division/country:dk/election_province:midtjylland-nordjylland/ed:nordjyllands_storkreds,Nordjyllands Storkreds,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:oesterbrokredsen,Østerbrokredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:sundbyvesterkredsen,Sundbyvesterkredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:indre_bykredsen,Indre Bykredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:sundbyoesterkredsen,Sundbyøsterkredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:noerrebrokredsen,Nørrebrokredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:bispebjergkredsen,Bispebjergkredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:broenshoejkredsen,Brønshøjkredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:valbykredsen,Valbykredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:vesterbrokredsen,Vesterbrokredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:falkonerkredsen,Falkonerkredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:slotskredsen,Slotskredsen,2007-01-01
ocd-division/country:dk/election_province:hovedstaden/ed:koebenhavns_storkreds/nomination_district:taarnbykredsen,Tårnbykredsen,2007-01-01
