ocd-division/country:es/state:ga/cd:a_coruña,A Coruña
ocd-division/country:es/state:pv/cd:álava,Álava
ocd-division/country:es/state:cm/cd:albacete,Albacete
ocd-division/country:es/state:vc/cd:alicante,Alicante
ocd-division/country:es/state:an/cd:almería,Almería
ocd-division/country:es/state:as/cd:asturias,Asturias
ocd-division/country:es/state:cl/cd:ávila,Ávila
ocd-division/country:es/state:ex/cd:badajoz,Badajoz
ocd-division/country:es/state:pm/cd:baleares,Baleares
ocd-division/country:es/state:ct/cd:barcelona,Barcelona
ocd-division/country:es/state:pv/cd:bizkaia,Bizkaia
ocd-division/country:es/state:cl/cd:burgos,Burgos
ocd-division/country:es/state:ex/cd:cáceres,Cáceres
ocd-division/country:es/state:an/cd:cádiz,Cádiz
ocd-division/country:es/state:cb/cd:cantabria,Cantabria
ocd-division/country:es/state:vc/cd:castellón_de_la_plana,Castellón de la Plana
ocd-division/country:es/state:cm/cd:ciudad_real,Ciudad Real
ocd-division/country:es/state:an/cd:córdoba,Córdoba
ocd-division/country:es/state:cm/cd:cuenca,Cuenca
ocd-division/country:es/state:pv/cd:gipuzkoa,Gipuzkoa
ocd-division/country:es/state:ct/cd:girona,Girona
ocd-division/country:es/state:an/cd:granada,Granada
ocd-division/country:es/state:cm/cd:guadalajara,Guadalajara
ocd-division/country:es/state:an/cd:huelva,Huelva
ocd-division/country:es/state:ar/cd:huesca,Huesca
ocd-division/country:es/state:an/cd:jaén,Jaén
ocd-division/country:es/state:lo/cd:la_rioja,La Rioja
ocd-division/country:es/state:cn/cd:las_palmas,Las Palmas
ocd-division/country:es/state:cl/cd:león,León
ocd-division/country:es/state:ct/cd:lleida,Lleida
ocd-division/country:es/state:ga/cd:lugo,Lugo
ocd-division/country:es/state:md/cd:madrid,Madrid
ocd-division/country:es/state:an/cd:málaga,Málaga
ocd-division/country:es/state:mu/cd:murcia,Murcia
ocd-division/country:es/state:na/cd:navarra,Navarra
ocd-division/country:es/state:ga/cd:ourense,Ourense
ocd-division/country:es/state:cl/cd:palencia,Palencia
ocd-division/country:es/state:ga/cd:pontevedra,Pontevedra
ocd-division/country:es/state:cl/cd:salamanca,Salamanca
ocd-division/country:es/state:cn/cd:santa_cruz_de_tenerife,Santa Cruz de Tenerife
ocd-division/country:es/state:cl/cd:segovia,Segovia
ocd-division/country:es/state:an/cd:sevilla,Sevilla
ocd-division/country:es/state:cl/cd:soria,Soria
ocd-division/country:es/state:ct/cd:tarragona,Tarragona
ocd-division/country:es/state:ar/cd:teruel,Teruel
ocd-division/country:es/state:cm/cd:toledo,Toledo
ocd-division/country:es/state:vc/cd:valencia,Valencia
ocd-division/country:es/state:cl/cd:valladolid,Valladolid
ocd-division/country:es/state:cl/cd:zamora,Zamora
ocd-division/country:es/state:ar/cd:zaragoza,Zaragoza
