id,name
ocd-division/country:at,Austria
ocd-division/country:be,Belgium
ocd-division/country:be/eup:dutch_electoral_college,Dutch Electoral College
ocd-division/country:be/eup:french_electoral_college,French Electoral College
ocd-division/country:be/eup:german_electoral_college,German Electoral College
ocd-division/country:bg,Bulgaria
ocd-division/country:cy,Cyprus
ocd-division/country:cz,Czechia
ocd-division/country:de,Germany
ocd-division/country:dk,Denmark
ocd-division/country:ee,Estonia
ocd-division/country:es,Spain
ocd-division/country:fi,Finland
ocd-division/country:fr,France
ocd-division/country:gr,Greece
ocd-division/country:hr,Croatia
ocd-division/country:hu,Hungary
ocd-division/country:ie,Ireland
ocd-division/country:ie/eup:dublin,Dublin
ocd-division/country:ie/eup:midlands-north-west,Midlands-North-West
ocd-division/country:ie/eup:south,South
ocd-division/country:it,Italy
ocd-division/country:it/eup:centre,III - Italia centrale
ocd-division/country:it/eup:islands,V - Italia insulare
ocd-division/country:it/eup:north-east,II - Italia nord-orientale
ocd-division/country:it/eup:north-west,I - Italia nord-occidentale
ocd-division/country:it/eup:south,IV - Italia meridionale
ocd-division/country:lt,Lithuania
ocd-division/country:lu,Luxembourg
ocd-division/country:lv,Latvia
ocd-division/country:mt,Malta
ocd-division/country:nl,Netherlands
ocd-division/country:pl,Poland
ocd-division/country:pl/eup:bydgoszcz,No. 2 - Bydgoszcz
ocd-division/country:pl/eup:gdańsk,No. 1 - Gdańsk
ocd-division/country:pl/eup:gorzów_wielkopolski,No. 13 - Gorzów Wielkopolski
ocd-division/country:pl/eup:katowice,No. 11 - Katowice
ocd-division/country:pl/eup:kraków,No. 10 - Kraków
ocd-division/country:pl/eup:lublin,No. 8 - Lublin
ocd-division/country:pl/eup:olsztyn,No. 3 - Olsztyn
ocd-division/country:pl/eup:poznań,No. 7 - Poznań
ocd-division/country:pl/eup:rzeszów,No. 9 - Rzeszów
ocd-division/country:pl/eup:warszawaw_i,No. 4 - Warszawa
ocd-division/country:pl/eup:warszawaw_ii,No. 5 - Warszawa
ocd-division/country:pl/eup:wrocław,No. 12 - Wrocław
ocd-division/country:pl/eup:łodz,No. 6 - Łódź
ocd-division/country:pt,Portugal
ocd-division/country:ro,Romania
ocd-division/country:se,Sweden
ocd-division/country:si,Slovenia
ocd-division/country:sk,Slovakia
ocd-division/country:uk,United Kingdom
ocd-division/region:eu,European Union
