id,name
ocd-division/country:fi,Finland
ocd-division/country:fi/kunta:akaa,Akaa
ocd-division/country:fi/kunta:alajärvi,Alajärvi
ocd-division/country:fi/kunta:alavieska,Alavieska
ocd-division/country:fi/kunta:alavus,Alavus
ocd-division/country:fi/kunta:asikkala,Asikkala
ocd-division/country:fi/kunta:askola,Askola
ocd-division/country:fi/kunta:aura,Aura
ocd-division/country:fi/kunta:brändö,Brändö
ocd-division/country:fi/kunta:eckerö,Eckerö
ocd-division/country:fi/kunta:enonkoski,Enonkoski
ocd-division/country:fi/kunta:enontekiö,Enontekiö
ocd-division/country:fi/kunta:espoo,Espoo
ocd-division/country:fi/kunta:eura,Eura
ocd-division/country:fi/kunta:eurajoki,Eurajoki
ocd-division/country:fi/kunta:evijärvi,Evijärvi
ocd-division/country:fi/kunta:finström,Finström
ocd-division/country:fi/kunta:forssa,Forssa
ocd-division/country:fi/kunta:föglö,Föglö
ocd-division/country:fi/kunta:geta,Geta
ocd-division/country:fi/kunta:haapajärvi,Haapajärvi
ocd-division/country:fi/kunta:haapavesi,Haapavesi
ocd-division/country:fi/kunta:hailuoto,Hailuoto
ocd-division/country:fi/kunta:halsua,Halsua
ocd-division/country:fi/kunta:hamina,Hamina
ocd-division/country:fi/kunta:hammarland,Hammarland
ocd-division/country:fi/kunta:hankasalmi,Hankasalmi
ocd-division/country:fi/kunta:hanko,Hanko
ocd-division/country:fi/kunta:harjavalta,Harjavalta
ocd-division/country:fi/kunta:hartola,Hartola
ocd-division/country:fi/kunta:hattula,Hattula
ocd-division/country:fi/kunta:hausjärvi,Hausjärvi
ocd-division/country:fi/kunta:heinola,Heinola
ocd-division/country:fi/kunta:heinävesi,Heinävesi
ocd-division/country:fi/kunta:helsinki,Helsinki
ocd-division/country:fi/kunta:hirvensalmi,Hirvensalmi
ocd-division/country:fi/kunta:hollola,Hollola
ocd-division/country:fi/kunta:honkajoki,Honkajoki
ocd-division/country:fi/kunta:huittinen,Huittinen
ocd-division/country:fi/kunta:humppila,Humppila
ocd-division/country:fi/kunta:hyrynsalmi,Hyrynsalmi
ocd-division/country:fi/kunta:hyvinkää,Hyvinkää
ocd-division/country:fi/kunta:hämeenkoski,Hämeenkoski
ocd-division/country:fi/kunta:hämeenkyrö,Hämeenkyrö
ocd-division/country:fi/kunta:hämeenlinna,Hämeenlinna
ocd-division/country:fi/kunta:ii,Ii
ocd-division/country:fi/kunta:iisalmi,Iisalmi
ocd-division/country:fi/kunta:iitti,Iitti
ocd-division/country:fi/kunta:ikaalinen,Ikaalinen
ocd-division/country:fi/kunta:ilmajoki,Ilmajoki
ocd-division/country:fi/kunta:ilomantsi,Ilomantsi
ocd-division/country:fi/kunta:imatra,Imatra
ocd-division/country:fi/kunta:inari,Inari
ocd-division/country:fi/kunta:inkoo,Inkoo
