id,name
ocd-division/country:fi/maakunta:uusimaa,Uusimaa
ocd-division/country:fi/maakunta:varsinais-suomi,Varsinais-Suomi
ocd-division/country:fi/maakunta:satakunta,Satakunta
ocd-division/country:fi/maakunta:kanta-häme,Kanta-Häme
ocd-division/country:fi/maakunta:pirkanmaa,Pirkanmaa
ocd-division/country:fi/maakunta:päijät-häme,Päijät-Häme
ocd-division/country:fi/maakunta:kymenlaakso,Kymenlaakso
ocd-division/country:fi/maakunta:etelä-karjala,Etelä-Karjala
ocd-division/country:fi/maakunta:etelä-savo,Etelä-Savo
ocd-division/country:fi/maakunta:pohjois-savo,Pohjois-Savo
ocd-division/country:fi/maakunta:pohjois-karjala,Pohjois-Karjala
ocd-division/country:fi/maakunta:keski-suomi,Keski-Suomi
ocd-division/country:fi/maakunta:etelä-pohjanmaa,Etelä-Pohjanmaa
ocd-division/country:fi/maakunta:pohjanmaa,Pohjanmaa
ocd-division/country:fi/maakunta:keski-pohjanmaa,Keski-Pohjanmaa
ocd-division/country:fi/maakunta:pohjois-pohjanmaa,Pohjois-Pohjanmaa
ocd-division/country:fi/maakunta:kainuu,Kainuu
ocd-division/country:fi/maakunta:lappi,Lappi
ocd-division/country:fi/maakunta:ahvenanmaa,Ahvenanmaa - Åland
ocd-division/country:fi,Finland
