id,name
ocd-division/country:fi/vaalipiirit:helsinki,Helsinki
ocd-division/country:fi/vaalipiirit:uusimaa,Uusimaa
ocd-division/country:fi/vaalipiirit:vaesinais-suomi,Varsinais-Suomi
ocd-division/country:fi/vaalipiirit:satakunta,Satakunta
ocd-division/country:fi/vaalipiirit:åland,Åland
ocd-division/country:fi/vaalipiirit:haeme,Häme
ocd-division/country:fi/vaalipiirit:pirkanmaa,Pirkanmaa
ocd-division/country:fi/vaalipiirit:kaakois-suomi,Kaakkois-Suomen
ocd-division/country:fi/vaalipiirit:savo-karjala,Savo-Karjalan
ocd-division/country:fi/vaalipiirit:vaasa,Vaasa
ocd-division/country:fi/vaalipiirit:keski-suomi,Keski-Suomi
ocd-division/country:fi/vaalipiirit:oulu,Oulu
ocd-division/country:fi/vaalipiirit:lappi,Lappi
