id,name
ocd-division/country:fr,France
ocd-division/country:fr/oversea_department:francais_etablis_hors_de_france,Français établis hors de France
ocd-division/country:fr/oversea_department:francais_etablis_hors_de_france/ed:1,Première circonscription des Français établis hors de France
ocd-division/country:fr/oversea_department:francais_etablis_hors_de_france/ed:10,Dixième circonscription des Français établis hors de France
ocd-division/country:fr/oversea_department:francais_etablis_hors_de_france/ed:11,Onzième circonscription des Français établis hors de France
ocd-division/country:fr/oversea_department:francais_etablis_hors_de_france/ed:2,Deuxième circonscription des Français établis hors de France
ocd-division/country:fr/oversea_department:francais_etablis_hors_de_france/ed:3,Troisième circonscription des Français établis hors de France
ocd-division/country:fr/oversea_department:francais_etablis_hors_de_france/ed:4,Quatrième circonscription des Français établis hors de France
ocd-division/country:fr/oversea_department:francais_etablis_hors_de_france/ed:5,Cinquième circonscription des Français établis hors de France
ocd-division/country:fr/oversea_department:francais_etablis_hors_de_france/ed:6,Sixième circonscription des Français établis hors de France
ocd-division/country:fr/oversea_department:francais_etablis_hors_de_france/ed:7,Septième circonscription des Français établis hors de France
ocd-division/country:fr/oversea_department:francais_etablis_hors_de_france/ed:8,Huitième circonscription des Français établis hors de France
ocd-division/country:fr/oversea_department:francais_etablis_hors_de_france/ed:9,Neuvième circonscription des Français établis hors de France
ocd-division/country:fr/oversea_department:gf,Guyane
ocd-division/country:fr/oversea_department:gf/ed:1,Première circonscription de la Guyane
ocd-division/country:fr/oversea_department:gf/ed:2,Deuxième circonscription de la Guyane
ocd-division/country:fr/oversea_department:gp,Guadeloupe
ocd-division/country:fr/oversea_department:gp/ed:1,Première circonscription de la Guadeloupe
ocd-division/country:fr/oversea_department:gp/ed:2,Deuxième circonscription de la Guadeloupe
ocd-division/country:fr/oversea_department:gp/ed:3,Troisième circonscription de la Guadeloupe
ocd-division/country:fr/oversea_department:gp/ed:4,Quatrième circonscription de la Guadeloupe
ocd-division/country:fr/oversea_department:mf,St-Barthélemy/St-Martin
ocd-division/country:fr/oversea_department:mf/ed:1,Circonscription de Saint-Barthélemy et Saint-Martin
ocd-division/country:fr/oversea_department:mq,Martinique
