id,name
ocd-division/country:fr/overseas_department:gp,Guadeloupe
ocd-division/country:fr/overseas_department:gf,Guyane
ocd-division/country:fr/overseas_department:re,La Réunion
ocd-division/country:fr/overseas_department:mq,Martinique
ocd-division/country:fr/overseas_department:yt,Mayotte
ocd-division/country:fr/overseas_department:nc,Nouvelle-Calédonie
ocd-division/country:fr/overseas_department:pf,Polynésie français
ocd-division/country:fr/overseas_department:mf,St-Barthélemy/St-Martin
ocd-division/country:fr/overseas_department:pm,St-Pierre-et-Miquelon
ocd-division/country:fr/overseas_department:wf,Wallis-et-Futuna
ocd-division/country:fr/overseas_department:francais_etablis_hors_de_france,Français établis hors de France
