id,name
ocd-division/country:gb,United Kingdom
ocd-division/country:gb/country:gb-eng,England
ocd-division/country:gb/country:gb-eng/region:ukc,North East
ocd-division/country:gb/country:gb-eng/region:ukc/cd:berwick-upon-tweed,Berwick-upon-Tweed
ocd-division/country:gb/country:gb-eng/region:ukc/cd:bishop_auckland,Bishop Auckland
ocd-division/country:gb/country:gb-eng/region:ukc/cd:blaydon,Blaydon
ocd-division/country:gb/country:gb-eng/region:ukc/cd:blyth_valley,Blyth Valley
ocd-division/country:gb/country:gb-eng/region:ukc/cd:city_of_durham,City of Durham
ocd-division/country:gb/country:gb-eng/region:ukc/cd:darlington,Darlington
ocd-division/country:gb/country:gb-eng/region:ukc/cd:easington,Easington
ocd-division/country:gb/country:gb-eng/region:ukc/cd:gateshead,Gateshead
ocd-division/country:gb/country:gb-eng/region:ukc/cd:hartlepool,Hartlepool
ocd-division/country:gb/country:gb-eng/region:ukc/cd:hexham,Hexham
ocd-division/country:gb/country:gb-eng/region:ukc/cd:houghton_and_sunderland_south,Houghton and Sunderland South
ocd-division/country:gb/country:gb-eng/region:ukc/cd:jarrow,Jarrow
ocd-division/country:gb/country:gb-eng/region:ukc/cd:middlesbrough,Middlesbrough
ocd-division/country:gb/country:gb-eng/region:ukc/cd:middlesbrough_south_and_east_cleveland,Middlesbrough South and East Cleveland
ocd-division/country:gb/country:gb-eng/region:ukc/cd:newcastle_upon_tyne_central,Newcastle upon Tyne Central
ocd-division/country:gb/country:gb-eng/region:ukc/cd:newcastle_upon_tyne_east,Newcastle upon Tyne East
ocd-division/country:gb/country:gb-eng/region:ukc/cd:newcastle_upon_tyne_north,Newcastle upon Tyne North
ocd-division/country:gb/country:gb-eng/region:ukc/cd:north_durham,North Durham
ocd-division/country:gb/country:gb-eng/region:ukc/cd:north_tyneside,North Tyneside
ocd-division/country:gb/country:gb-eng/region:ukc/cd:north_west_durham,North West Durham
ocd-division/country:gb/country:gb-eng/region:ukc/cd:redcar,Redcar
ocd-division/country:gb/country:gb-eng/region:ukc/cd:sedgefield,Sedgefield
ocd-division/country:gb/country:gb-eng/region:ukc/cd:south_shields,South Shields
ocd-division/country:gb/country:gb-eng/region:ukc/cd:stockton_north,Stockton North
ocd-division/country:gb/country:gb-eng/region:ukc/cd:stockton_south,Stockton South
ocd-division/country:gb/country:gb-eng/region:ukc/cd:sunderland_central,Sunderland Central
ocd-division/country:gb/country:gb-eng/region:ukc/cd:tynemouth,Tynemouth
ocd-division/country:gb/country:gb-eng/region:ukc/cd:wansbeck,Wansbeck
ocd-division/country:gb/country:gb-eng/region:ukc/cd:washington_and_sunderland_west,Washington and Sunderland West
ocd-division/country:gb/country:gb-eng/region:ukd,North West
ocd-division/country:gb/country:gb-eng/region:ukd/cd:altrincham_and_sale_west,Altrincham and Sale West
ocd-division/country:gb/country:gb-eng/region:ukd/cd:ashton-under-lyne,Ashton-under-Lyne
ocd-division/country:gb/country:gb-eng/region:ukd/cd:barrow_and_furness,Barrow and Furness
ocd-division/country:gb/country:gb-eng/region:ukd/cd:birkenhead,Birkenhead
ocd-division/country:gb/country:gb-eng/region:ukd/cd:blackburn,Blackburn
ocd-division/country:gb/country:gb-eng/region:ukd/cd:blackley_and_broughton,Blackley and Broughton
ocd-division/country:gb/country:gb-eng/region:ukd/cd:blackpool_north_and_cleveleys,Blackpool North and Cleveleys
ocd-division/country:gb/country:gb-eng/region:ukd/cd:blackpool_south,Blackpool South
ocd-division/country:gb/country:gb-eng/region:ukd/cd:bolton_north_east,Bolton North East
ocd-division/country:gb/country:gb-eng/region:ukd/cd:bolton_south_east,Bolton South East
ocd-division/country:gb/country:gb-eng/region:ukd/cd:bolton_west,Bolton West
ocd-division/country:gb/country:gb-eng/region:ukd/cd:bootle,Bootle
ocd-division/country:gb/country:gb-eng/region:ukd/cd:burnley,Burnley
ocd-division/country:gb/country:gb-eng/region:ukd/cd:bury_north,Bury North
ocd-division/country:gb/country:gb-eng/region:ukd/cd:bury_south,Bury South
ocd-division/country:gb/country:gb-eng/region:ukd/cd:carlisle,Carlisle
ocd-division/country:gb/country:gb-eng/region:ukd/cd:cheadle,Cheadle
ocd-division/country:gb/country:gb-eng/region:ukd/cd:chorley,Chorley
ocd-division/country:gb/country:gb-eng/region:ukd/cd:city_of_chester,City of Chester
ocd-division/country:gb/country:gb-eng/region:ukd/cd:congleton,Congleton
ocd-division/country:gb/country:gb-eng/region:ukd/cd:copeland,Copeland
ocd-division/country:gb/country:gb-eng/region:ukd/cd:crewe_and_nantwich,Crewe and Nantwich
ocd-division/country:gb/country:gb-eng/region:ukd/cd:denton_and_reddish,Denton and Reddish
ocd-division/country:gb/country:gb-eng/region:ukd/cd:eddisbury,Eddisbury
ocd-division/country:gb/country:gb-eng/region:ukd/cd:ellesmere_port_and_neston,Ellesmere Port and Neston
ocd-division/country:gb/country:gb-eng/region:ukd/cd:fylde,Fylde
ocd-division/country:gb/country:gb-eng/region:ukd/cd:garston_and_halewood,Garston and Halewood
ocd-division/country:gb/country:gb-eng/region:ukd/cd:halton,Halton
ocd-division/country:gb/country:gb-eng/region:ukd/cd:hazel_grove,Hazel Grove
ocd-division/country:gb/country:gb-eng/region:ukd/cd:heywood_and_middleton,Heywood and Middleton
ocd-division/country:gb/country:gb-eng/region:ukd/cd:hyndburn,Hyndburn
