id,name
ocd-division/country:gb/part:eng/region:ukc/ed:berwick-upon-tweed,Berwick-upon-Tweed
ocd-division/country:gb/part:eng/region:ukc/ed:bishop_auckland,Bishop Auckland
ocd-division/country:gb/part:eng/region:ukc/ed:blaydon,Blaydon
ocd-division/country:gb/part:eng/region:ukc/ed:blyth_valley,Blyth Valley
ocd-division/country:gb/part:eng/region:ukc/ed:city_of_durham,City of Durham
ocd-division/country:gb/part:eng/region:ukc/ed:darlington,Darlington
ocd-division/country:gb/part:eng/region:ukc/ed:easington,Easington
ocd-division/country:gb/part:eng/region:ukc/ed:gateshead,Gateshead
ocd-division/country:gb/part:eng/region:ukc/ed:hartlepool,Hartlepool
ocd-division/country:gb/part:eng/region:ukc/ed:hexham,Hexham
ocd-division/country:gb/part:eng/region:ukc/ed:houghton_and_sunderland_south,Houghton and Sunderland South
ocd-division/country:gb/part:eng/region:ukc/ed:jarrow,Jarrow
ocd-division/country:gb/part:eng/region:ukc/ed:middlesbrough,Middlesbrough
ocd-division/country:gb/part:eng/region:ukc/ed:middlesbrough_south_and_east_cleveland,Middlesbrough South and East Cleveland
ocd-division/country:gb/part:eng/region:ukc/ed:newcastle_upon_tyne_central,Newcastle upon Tyne Central
ocd-division/country:gb/part:eng/region:ukc/ed:newcastle_upon_tyne_east,Newcastle upon Tyne East
ocd-division/country:gb/part:eng/region:ukc/ed:newcastle_upon_tyne_north,Newcastle upon Tyne North
ocd-division/country:gb/part:eng/region:ukc/ed:north_durham,North Durham
ocd-division/country:gb/part:eng/region:ukc/ed:north_tyneside,North Tyneside
ocd-division/country:gb/part:eng/region:ukc/ed:north_west_durham,North West Durham
ocd-division/country:gb/part:eng/region:ukc/ed:redcar,Redcar
ocd-division/country:gb/part:eng/region:ukc/ed:sedgefield,Sedgefield
ocd-division/country:gb/part:eng/region:ukc/ed:south_shields,South Shields
ocd-division/country:gb/part:eng/region:ukc/ed:stockton_north,Stockton North
ocd-division/country:gb/part:eng/region:ukc/ed:stockton_south,Stockton South
ocd-division/country:gb/part:eng/region:ukc/ed:sunderland_central,Sunderland Central
ocd-division/country:gb/part:eng/region:ukc/ed:tynemouth,Tynemouth
ocd-division/country:gb/part:eng/region:ukc/ed:wansbeck,Wansbeck
ocd-division/country:gb/part:eng/region:ukc/ed:washington_and_sunderland_west,Washington and Sunderland West
ocd-division/country:gb/part:eng/region:ukd/ed:altrincham_and_sale_west,Altrincham and Sale West
ocd-division/country:gb/part:eng/region:ukd/ed:ashton-under-lyne,Ashton-under-Lyne
ocd-division/country:gb/part:eng/region:ukd/ed:barrow_and_furness,Barrow and Furness
ocd-division/country:gb/part:eng/region:ukd/ed:birkenhead,Birkenhead
ocd-division/country:gb/part:eng/region:ukd/ed:blackburn,Blackburn
ocd-division/country:gb/part:eng/region:ukd/ed:blackley_and_broughton,Blackley and Broughton
ocd-division/country:gb/part:eng/region:ukd/ed:blackpool_north_and_cleveleys,Blackpool North and Cleveleys
ocd-division/country:gb/part:eng/region:ukd/ed:blackpool_south,Blackpool South
ocd-division/country:gb/part:eng/region:ukd/ed:bolton_north_east,Bolton North East
ocd-division/country:gb/part:eng/region:ukd/ed:bolton_south_east,Bolton South East
ocd-division/country:gb/part:eng/region:ukd/ed:bolton_west,Bolton West
ocd-division/country:gb/part:eng/region:ukd/ed:bootle,Bootle
ocd-division/country:gb/part:eng/region:ukd/ed:burnley,Burnley
ocd-division/country:gb/part:eng/region:ukd/ed:bury_north,Bury North
ocd-division/country:gb/part:eng/region:ukd/ed:bury_south,Bury South
ocd-division/country:gb/part:eng/region:ukd/ed:carlisle,Carlisle
ocd-division/country:gb/part:eng/region:ukd/ed:cheadle,Cheadle
ocd-division/country:gb/part:eng/region:ukd/ed:chorley,Chorley
ocd-division/country:gb/part:eng/region:ukd/ed:city_of_chester,City of Chester
ocd-division/country:gb/part:eng/region:ukd/ed:congleton,Congleton
ocd-division/country:gb/part:eng/region:ukd/ed:copeland,Copeland
ocd-division/country:gb/part:eng/region:ukd/ed:crewe_and_nantwich,Crewe and Nantwich
ocd-division/country:gb/part:eng/region:ukd/ed:denton_and_reddish,Denton and Reddish
ocd-division/country:gb/part:eng/region:ukd/ed:eddisbury,Eddisbury
ocd-division/country:gb/part:eng/region:ukd/ed:ellesmere_port_and_neston,Ellesmere Port and Neston
ocd-division/country:gb/part:eng/region:ukd/ed:fylde,Fylde
ocd-division/country:gb/part:eng/region:ukd/ed:garston_and_halewood,Garston and Halewood
ocd-division/country:gb/part:eng/region:ukd/ed:halton,Halton
ocd-division/country:gb/part:eng/region:ukd/ed:hazel_grove,Hazel Grove
ocd-division/country:gb/part:eng/region:ukd/ed:heywood_and_middleton,Heywood and Middleton
ocd-division/country:gb/part:eng/region:ukd/ed:hyndburn,Hyndburn
ocd-division/country:gb/part:eng/region:ukd/ed:knowsley,Knowsley
ocd-division/country:gb/part:eng/region:ukd/ed:lancaster_and_fleetwood,Lancaster and Fleetwood
ocd-division/country:gb/part:eng/region:ukd/ed:leigh,Leigh
ocd-division/country:gb/part:eng/region:ukd/ed:liverpool_riverside,Liverpool - Riverside
ocd-division/country:gb/part:eng/region:ukd/ed:liverpool_walton,Liverpool - Walton
ocd-division/country:gb/part:eng/region:ukd/ed:liverpool_wavertree,Liverpool - Wavertree
ocd-division/country:gb/part:eng/region:ukd/ed:liverpool_west_derby,Liverpool - West Derby
ocd-division/country:gb/part:eng/region:ukd/ed:macclesfield,Macclesfield
ocd-division/country:gb/part:eng/region:ukd/ed:makerfield,Makerfield
ocd-division/country:gb/part:eng/region:ukd/ed:manchester_central,Manchester Central
ocd-division/country:gb/part:eng/region:ukd/ed:manchester_gorton,Manchester - Gorton
ocd-division/country:gb/part:eng/region:ukd/ed:manchester_withington,Manchester - Withington
ocd-division/country:gb/part:eng/region:ukd/ed:morecambe_and_lunesdale,Morecambe and Lunesdale
ocd-division/country:gb/part:eng/region:ukd/ed:oldham_east_and_saddleworth,Oldham East and Saddleworth
ocd-division/country:gb/part:eng/region:ukd/ed:oldham_west_and_royton,Oldham West and Royton
ocd-division/country:gb/part:eng/region:ukd/ed:pendle,Pendle
ocd-division/country:gb/part:eng/region:ukd/ed:penrith_and_the_border,Penrith and The Border
ocd-division/country:gb/part:eng/region:ukd/ed:preston,Preston
ocd-division/country:gb/part:eng/region:ukd/ed:ribble_valley,Ribble Valley
ocd-division/country:gb/part:eng/region:ukd/ed:rochdale,Rochdale
ocd-division/country:gb/part:eng/region:ukd/ed:rossendale_and_darwen,Rossendale and Darwen
ocd-division/country:gb/part:eng/region:ukd/ed:salford_and_eccles,Salford and Eccles
ocd-division/country:gb/part:eng/region:ukd/ed:sefton_central,Sefton Central
ocd-division/country:gb/part:eng/region:ukd/ed:south_ribble,South Ribble
ocd-division/country:gb/part:eng/region:ukd/ed:southport,Southport
ocd-division/country:gb/part:eng/region:ukd/ed:st_helens_north,St Helens North
ocd-division/country:gb/part:eng/region:ukd/ed:st_helens_south_and_whiston,St Helens South and Whiston
ocd-division/country:gb/part:eng/region:ukd/ed:stalybridge_and_hyde,Stalybridge and Hyde
ocd-division/country:gb/part:eng/region:ukd/ed:stockport,Stockport
ocd-division/country:gb/part:eng/region:ukd/ed:stretford_and_urmston,Stretford and Urmston
ocd-division/country:gb/part:eng/region:ukd/ed:tatton,Tatton
ocd-division/country:gb/part:eng/region:ukd/ed:wallasey,Wallasey
ocd-division/country:gb/part:eng/region:ukd/ed:warrington_north,Warrington North
ocd-division/country:gb/part:eng/region:ukd/ed:warrington_south,Warrington South
ocd-division/country:gb/part:eng/region:ukd/ed:weaver_vale,Weaver Vale
ocd-division/country:gb/part:eng/region:ukd/ed:west_lancashire,West Lancashire
ocd-division/country:gb/part:eng/region:ukd/ed:westmorland_and_lonsdale,Westmorland and Lonsdale
ocd-division/country:gb/part:eng/region:ukd/ed:wigan,Wigan
ocd-division/country:gb/part:eng/region:ukd/ed:wirral_south,Wirral South
ocd-division/country:gb/part:eng/region:ukd/ed:wirral_west,Wirral West
ocd-division/country:gb/part:eng/region:ukd/ed:workington,Workington
ocd-division/country:gb/part:eng/region:ukd/ed:worsley_and_eccles_south,Worsley and Eccles South
ocd-division/country:gb/part:eng/region:ukd/ed:wyre_and_preston_north,Wyre and Preston North
ocd-division/country:gb/part:eng/region:ukd/ed:wythenshawe_and_sale_east,Wythenshawe and Sale East
ocd-division/country:gb/part:eng/region:uke/ed:barnsley_central,Barnsley Central
ocd-division/country:gb/part:eng/region:uke/ed:barnsley_east,Barnsley East
ocd-division/country:gb/part:eng/region:uke/ed:batley_and_spen,Batley and Spen
ocd-division/country:gb/part:eng/region:uke/ed:beverley_and_holderness,Beverley and Holderness
ocd-division/country:gb/part:eng/region:uke/ed:bradford_east,Bradford East
ocd-division/country:gb/part:eng/region:uke/ed:bradford_south,Bradford South
ocd-division/country:gb/part:eng/region:uke/ed:bradford_west,Bradford West
ocd-division/country:gb/part:eng/region:uke/ed:brigg_and_goole,Brigg and Goole
ocd-division/country:gb/part:eng/region:uke/ed:calder_valley,Calder Valley
ocd-division/country:gb/part:eng/region:uke/ed:cleethorpes,Cleethorpes
ocd-division/country:gb/part:eng/region:uke/ed:colne_valley,Colne Valley
ocd-division/country:gb/part:eng/region:uke/ed:dewsbury,Dewsbury
ocd-division/country:gb/part:eng/region:uke/ed:don_valley,Don Valley
ocd-division/country:gb/part:eng/region:uke/ed:doncaster_central,Doncaster Central
ocd-division/country:gb/part:eng/region:uke/ed:doncaster_north,Doncaster North
ocd-division/country:gb/part:eng/region:uke/ed:east_yorkshire,East Yorkshire
ocd-division/country:gb/part:eng/region:uke/ed:elmet_and_rothwell,Elmet and Rothwell
ocd-division/country:gb/part:eng/region:uke/ed:great_grimsby,Great Grimsby
ocd-division/country:gb/part:eng/region:uke/ed:halifax,Halifax
ocd-division/country:gb/part:eng/region:uke/ed:haltemprice_and_howden,Haltemprice and Howden
ocd-division/country:gb/part:eng/region:uke/ed:harrogate_and_knaresborough,Harrogate and Knaresborough
ocd-division/country:gb/part:eng/region:uke/ed:hemsworth,Hemsworth
ocd-division/country:gb/part:eng/region:uke/ed:huddersfield,Huddersfield
ocd-division/country:gb/part:eng/region:uke/ed:keighley,Keighley
ocd-division/country:gb/part:eng/region:uke/ed:kingston_upon_hull_east,Kingston upon Hull East
ocd-division/country:gb/part:eng/region:uke/ed:kingston_upon_hull_north,Kingston upon Hull North
ocd-division/country:gb/part:eng/region:uke/ed:kingston_upon_hull_west_and_hessle,Kingston upon Hull West and Hessle
ocd-division/country:gb/part:eng/region:uke/ed:leeds_central,Leeds Central
ocd-division/country:gb/part:eng/region:uke/ed:leeds_east,Leeds East
ocd-division/country:gb/part:eng/region:uke/ed:leeds_north_east,Leeds North East
ocd-division/country:gb/part:eng/region:uke/ed:leeds_north_west,Leeds North West
ocd-division/country:gb/part:eng/region:uke/ed:leeds_west,Leeds West
ocd-division/country:gb/part:eng/region:uke/ed:morley_and_outwood,Morley and Outwood
ocd-division/country:gb/part:eng/region:uke/ed:normanton_pontefract_and_castleford,Normanton - Pontefract and Castleford
ocd-division/country:gb/part:eng/region:uke/ed:penistone_and_stocksbridge,Penistone and Stocksbridge
ocd-division/country:gb/part:eng/region:uke/ed:pudsey,Pudsey
ocd-division/country:gb/part:eng/region:uke/ed:richmond_yorks,Richmond (Yorks)
ocd-division/country:gb/part:eng/region:uke/ed:rother_valley,Rother Valley
ocd-division/country:gb/part:eng/region:uke/ed:rotherham,Rotherham
ocd-division/country:gb/part:eng/region:uke/ed:scarborough_and_whitby,Scarborough and Whitby
ocd-division/country:gb/part:eng/region:uke/ed:scunthorpe,Scunthorpe
ocd-division/country:gb/part:eng/region:uke/ed:selby_and_ainsty,Selby and Ainsty
ocd-division/country:gb/part:eng/region:uke/ed:sheffield_central,Sheffield Central
ocd-division/country:gb/part:eng/region:uke/ed:sheffield_south_east,Sheffield South East
ocd-division/country:gb/part:eng/region:uke/ed:sheffield_brightside_and_hillsborough,Sheffield - Brightside and Hillsborough
ocd-division/country:gb/part:eng/region:uke/ed:sheffield_hallam,Sheffield - Hallam
ocd-division/country:gb/part:eng/region:uke/ed:sheffield_heeley,Sheffield - Heeley
