id,name,validFrom,validTo
ocd-division/country:hk,Hong Kong,,
ocd-division/country:hk/functional:accountancy,Accountancy,1998-01-01,
ocd-division/country:hk/functional:agriculture_and_fisheries,Agriculture and Fisheries,1998-01-01,
ocd-division/country:hk/functional:architectural_surveying_and_planning,Architectural; Surveying and Planning (later on Architectural; Surveying; Planning and Landscape),1998-01-01,
ocd-division/country:hk/functional:catering,Catering,2000-01-01,
ocd-division/country:hk/functional:commercial_first,Commercial (First),1998-01-01,
ocd-division/country:hk/functional:commercial_second,Commercial (Second),1998-01-01,
ocd-division/country:hk/functional:district_council_first,District Council (First),2000-01-01,
ocd-division/country:hk/functional:district_council_second,District Council (Second),2012-01-01,
ocd-division/country:hk/functional:education,Education,1998-01-01,
ocd-division/country:hk/functional:engineering,Engineering,1998-01-01,
ocd-division/country:hk/functional:finance,Finance,1998-01-01,
ocd-division/country:hk/functional:financial_services,Financial Services,1998-01-01,
ocd-division/country:hk/functional:health_services,Health Services,1998-01-01,
ocd-division/country:hk/functional:heung_yee_kuk,Heung Yee Kuk,1998-01-01,
ocd-division/country:hk/functional:import_and_export,Import and Export,1998-01-01,
ocd-division/country:hk/functional:industrial_first,Industrial (First),1998-01-01,
ocd-division/country:hk/functional:industrial_second,Industrial (Second),1998-01-01,
ocd-division/country:hk/functional:information_technology,Information Technology,1998-01-01,
ocd-division/country:hk/functional:insurance,Insurance,1998-01-01,
ocd-division/country:hk/functional:labour,Labour,1998-01-01,
ocd-division/country:hk/functional:legal,Legal,1998-01-01,
ocd-division/country:hk/functional:medical,Medical,1998-01-01,
ocd-division/country:hk/functional:real_estate_and_construction,Real Estate and Construction,1998-01-01,
ocd-division/country:hk/functional:social_welfare,Social Welfare,1998-01-01,
ocd-division/country:hk/functional:sports_performing_arts_culture_and_publication,Sports; Performing Arts; Culture and Publication,1998-01-01,
ocd-division/country:hk/functional:textiles_and_garment,Textiles and Garment,1998-01-01,
ocd-division/country:hk/functional:tourism,Tourism,1998-01-01,
ocd-division/country:hk/functional:transport,Transport,1998-01-01,
ocd-division/country:hk/functional:wholesale_and_retail,Wholesale and Retail,1998-01-01,
ocd-division/country:hk/geographical:hk_island,Hongkong island,1998-01-01,
ocd-division/country:hk/geographical:kowloon_east,Kowloon East,1998-01-01,
ocd-division/country:hk/geographical:kowloon_west,Kowloon West,1998-01-01,
ocd-division/country:hk/geographical:new_territories_east,New Territories East,1998-01-01,
ocd-division/country:hk/geographical:new_territories_west,New Territories West,1998-01-01,
