id,name
ocd-division/country:hk/functional:heung_yee_kuk,Heung Yee Kuk
ocd-division/country:hk/functional:agriculture_and_fisheries,Agriculture and Fisheries
ocd-division/country:hk/functional:insurance,Insurance
ocd-division/country:hk/functional:transport,Transport
ocd-division/country:hk/functional:education,Education
ocd-division/country:hk/functional:legal,Legal
ocd-division/country:hk/functional:accountancy,Accountancy
ocd-division/country:hk/functional:medical,Medical
ocd-division/country:hk/functional:health_services,Health Services
ocd-division/country:hk/functional:engineering,Engineering
ocd-division/country:hk/functional:architectural_surveying_and_planning,Architectural; Surveying and Planning (later on Architectural; Surveying; Planning and Landscape)
ocd-division/country:hk/functional:labour,Labour
ocd-division/country:hk/functional:social_welfare,Social Welfare
ocd-division/country:hk/functional:real_estate_and_construction,Real Estate and Construction
ocd-division/country:hk/functional:tourism,Tourism
ocd-division/country:hk/functional:commercial_first,Commercial (First)
ocd-division/country:hk/functional:commercial_second,Commercial (Second)
ocd-division/country:hk/functional:industrial_first,Industrial (First)
ocd-division/country:hk/functional:industrial_second,Industrial (Second)
ocd-division/country:hk/functional:finance,Finance
ocd-division/country:hk/functional:financial_services,Financial Services
ocd-division/country:hk/functional:sports_performing_arts_culture_and_publication,Sports; Performing Arts; Culture and Publication
ocd-division/country:hk/functional:import_and_export,Import and Export
ocd-division/country:hk/functional:textiles_and_garment,Textiles and Garment
ocd-division/country:hk/functional:wholesale_and_retail,Wholesale and Retail
ocd-division/country:hk/functional:information_technology,Information Technology
ocd-division/country:hk/functional:catering,Catering
ocd-division/country:hk/functional:district_council_first,District Council (First)
ocd-division/country:hk/functional:district_council_second,District Council (Second)
