id,sameAs,sameAsNote
ocd-division/country:id/capital_district:jk,ocd-division/country:id/capital_district:dkijk,Jakarta Raya renamed to DKI Jakarta
ocd-division/country:id/ed:bangka_belitung,ocd-division/country:id/ed:kepulauan_bangka_belitung,Bangka Belitung renamed to Kepulauan Bangka Belitung
ocd-division/country:id/ed:papua_pengunungan,ocd-division/country:id/ed:papua_pegunungan,Papua Pengunungan renamed to Papua Pegunungan
ocd-division/country:id/ed:sumatra_barat_1,ocd-division/country:id/ed:sumatera_barat_1,Sumatra Barat 1 renamed to Sumatera Barat 1
ocd-division/country:id/ed:sumatra_barat_2,ocd-division/country:id/ed:sumatera_barat_2,Sumatra Barat 2 renamed to Sumatera Barat 2
ocd-division/country:id/ed:sumatra_selatan_1,ocd-division/country:id/ed:sumatera_selatan_1,Sumatra Selatan 1 renamed to Sumatera Selatan 1
ocd-division/country:id/ed:sumatra_selatan_2,ocd-division/country:id/ed:sumatera_selatan_2,Sumatra Selatan 2 renamed to Sumatera Selatan 2
ocd-division/country:id/ed:sumatra_utara_1,ocd-division/country:id/ed:sumatera_utara_1,Sumatra Utara 1 renamed to Sumatera Utara 1
ocd-division/country:id/ed:sumatra_utara_2,ocd-division/country:id/ed:sumatera_utara_2,Sumatra Utara 2 renamed to Sumatera Utara 2
ocd-division/country:id/ed:sumatra_utara_3,ocd-division/country:id/ed:sumatera_utara_3,Sumatra Utara 3 renamed to Sumatera Utara 3
ocd-division/country:id/special_region:yo,ocd-division/country:id/special_region:diyo,Yogyakarta renamed to Daerah Istimewa Yogyakarta
