id,name
ocd-division/country:id/capital_district:jk,Jakarta Raya
ocd-division/country:id/province:ac,Aceh
ocd-division/country:id/province:ba,Bali
ocd-division/country:id/province:bb,Kepulauan Bangka Belitung
ocd-division/country:id/province:be,Bengkulu
ocd-division/country:id/province:bt,Banten
ocd-division/country:id/province:go,Gorontalo
ocd-division/country:id/province:ja,Jambi
ocd-division/country:id/province:jb,Jawa Barat
ocd-division/country:id/province:ji,Jawa Timur
ocd-division/country:id/province:jt,Jawa Tengah
ocd-division/country:id/province:kb,Kalimantan Barat
ocd-division/country:id/province:ki,Kalimantan Timur
ocd-division/country:id/province:kr,Kepulauan Riau
ocd-division/country:id/province:ks,Kalimantan Selatan
ocd-division/country:id/province:kt,Kalimantan Tengah
ocd-division/country:id/province:ku,Kalimantan Utara
ocd-division/country:id/province:la,Lampung
ocd-division/country:id/province:ma,Maluku
ocd-division/country:id/province:mu,Maluku Utara
ocd-division/country:id/province:nb,Nusa Tenggara Barat
ocd-division/country:id/province:nt,Nusa Tenggara Timur
ocd-division/country:id/province:pa,Papua
ocd-division/country:id/province:pb,Papua Barat
ocd-division/country:id/province:ri,Riau
ocd-division/country:id/province:sa,Sulawesi Utara
ocd-division/country:id/province:sb,Sumatera Barat
ocd-division/country:id/province:sg,Sulawesi Tenggara
ocd-division/country:id/province:sn,Sulawesi Selatan
ocd-division/country:id/province:sr,Sulawesi Barat
ocd-division/country:id/province:ss,Sumatera Selatan
ocd-division/country:id/province:st,Sulawesi Tengah
ocd-division/country:id/province:su,Sumatera Utara
ocd-division/country:id/special_region:yo,Yogyakarta
