id,name
ocd-division/country:ie/constituency:carlow-kilkenny,Carlow-Kilkenny
ocd-division/country:ie/constituency:cavan-monaghan,Cavan-Monaghan
ocd-division/country:ie/constituency:clare,Clare
ocd-division/country:ie/constituency:cork_east,Cork East
ocd-division/country:ie/constituency:cork_north-central,Cork North-Central
ocd-division/country:ie/constituency:cork_north-west,Cork North-West
ocd-division/country:ie/constituency:cork_south-central,Cork South-Central
ocd-division/country:ie/constituency:cork_south-west,Cork South-West
ocd-division/country:ie/constituency:donegal,Donegal
ocd-division/country:ie/constituency:dublin_bay_north,Dublin Bay North
ocd-division/country:ie/constituency:dublin_bay_south,Dublin Bay South
ocd-division/country:ie/constituency:dublin_central,Dublin Central
ocd-division/country:ie/constituency:dublin_fingal,Dublin Fingal
ocd-division/country:ie/constituency:dublin_mid-west,Dublin Mid-West
ocd-division/country:ie/constituency:dublin_north-west,Dublin North-West
ocd-division/country:ie/constituency:dublin_rathdown,Dublin Rathdown
ocd-division/country:ie/constituency:dublin_south-central,Dublin South-Central
ocd-division/country:ie/constituency:dublin_south-west,Dublin South-West
ocd-division/country:ie/constituency:dublin_west,Dublin West
ocd-division/country:ie/constituency:dún_laoghaire,Dún Laoghaire
ocd-division/country:ie/constituency:galway_east,Galway East
ocd-division/country:ie/constituency:galway_west,Galway West
ocd-division/country:ie/constituency:kerry,Kerry
ocd-division/country:ie/constituency:kildare_north,Kildare North
ocd-division/country:ie/constituency:kildare_south,Kildare South
ocd-division/country:ie/constituency:laois,Laois
ocd-division/country:ie/constituency:limerick_city,Limerick City
ocd-division/country:ie/constituency:limerick_county,Limerick County
ocd-division/country:ie/constituency:longford-westmeath,Longford-Westmeath
ocd-division/country:ie/constituency:louth,Louth
ocd-division/country:ie/constituency:mayo,Mayo
ocd-division/country:ie/constituency:meath_east,Meath East
ocd-division/country:ie/constituency:meath_west,Meath West
ocd-division/country:ie/constituency:offaly,Offaly
ocd-division/country:ie/constituency:roscommon-galway,Roscommon-Galway
ocd-division/country:ie/constituency:sligo-leitrim,Sligo-Leitrim
ocd-division/country:ie/constituency:tipperary,Tipperary
ocd-division/country:ie/constituency:waterford,Waterford
ocd-division/country:ie/constituency:wexford,Wexford
ocd-division/country:ie/constituency:wicklow,Wicklow
ocd-division/country:ie/panel:administrative_panel,Administrative Panel
ocd-division/country:ie/panel:agricultural_panel,Agricultural Panel
ocd-division/country:ie/panel:cultural_and_educational_panel,Cultural and Educational Panel
ocd-division/country:ie/panel:industrial_and_commercial_panel,Industrial and Commercial Panel
ocd-division/country:ie/panel:labour_panel,Labour Panel
ocd-division/country:ie/panel:national_university_of_ireland,National University of Ireland
ocd-division/country:ie/panel:nominated_by_the_taoiseach,Nominated by the Taoiseach
ocd-division/country:ie/panel:university_of_dublin,University of Dublin
