id,sameAs,sameAsNote
ocd-division/country:in/state:ap/lok_sabha:araku,ocd-division/country:in/state:ap/cd:araku,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ap/lok_sabha:srikakulam,ocd-division/country:in/state:ap/cd:srikakulam,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ap/lok_sabha:vizianagaram,ocd-division/country:in/state:ap/cd:vizianagaram,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ap/lok_sabha:visakhapatnam,ocd-division/country:in/state:ap/cd:visakhapatnam,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ap/lok_sabha:anakapalli,ocd-division/country:in/state:ap/cd:anakapalli,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ap/lok_sabha:kakinada,ocd-division/country:in/state:ap/cd:kakinada,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ap/lok_sabha:amalapuram,ocd-division/country:in/state:ap/cd:amalapuram,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ap/lok_sabha:rajahmundry,ocd-division/country:in/state:ap/cd:rajahmundry,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ap/lok_sabha:narasapuram,ocd-division/country:in/state:ap/cd:narasapuram,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ap/lok_sabha:eluru,ocd-division/country:in/state:ap/cd:eluru,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ap/lok_sabha:machilipatnam,ocd-division/country:in/state:ap/cd:machilipatnam,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ap/lok_sabha:vijayawada,ocd-division/country:in/state:ap/cd:vijayawada,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ap/lok_sabha:guntur,ocd-division/country:in/state:ap/cd:guntur,Added for backwards compatibility with lok_sabha identifiers
ocd-division/country:in/state:ap/lok_sabha:narasaraopet,ocd-division/country:in/state:ap/cd:narasaraopet,Added for backwards compatibility with lok_sabha identifiers
