id,name
ocd-division/country:in/state:ap/district:an,Anantapur
ocd-division/country:in/state:ap/district:ch,Chittoor
ocd-division/country:in/state:ap/district:eg,East Godavari
ocd-division/country:in/state:ap/district:gu,Guntur
ocd-division/country:in/state:ap/district:ka,Kadapa
ocd-division/country:in/state:ap/district:kr,Krishna
ocd-division/country:in/state:ap/district:ku,Kurnool
ocd-division/country:in/state:ap/district:ne,Nellore
ocd-division/country:in/state:ap/district:pr,Prakasam
ocd-division/country:in/state:ap/district:sr,Srikakulam
ocd-division/country:in/state:ap/district:vi,Vizianagaram
ocd-division/country:in/state:ap/district:vs,Visakhapatnam
ocd-division/country:in/state:ap/district:wg,West Godavari
ocd-division/country:in/state:ar/district:an,Anjaw
ocd-division/country:in/state:ar/district:ch,Changlang
ocd-division/country:in/state:ar/district:di,Dibang Valley
ocd-division/country:in/state:ar/district:ek,East Kameng
ocd-division/country:in/state:ar/district:es,East Siang
ocd-division/country:in/state:ar/district:ku,Kurungkumey
ocd-division/country:in/state:ar/district:ld,Lower Dibang Valley
ocd-division/country:in/state:ar/district:ln,Longding
ocd-division/country:in/state:ar/district:lo,Lohit
ocd-division/country:in/state:ar/district:ls,Lower Subansiri
ocd-division/country:in/state:ar/district:na,Namsai
ocd-division/country:in/state:ar/district:pa,Papumpare
ocd-division/country:in/state:ar/district:ta,Tawang
ocd-division/country:in/state:ar/district:ti,Tirap
ocd-division/country:in/state:ar/district:ub,Upper Subansiri
ocd-division/country:in/state:ar/district:us,Upper Siang
ocd-division/country:in/state:ar/district:wk,West Kameng
ocd-division/country:in/state:ar/district:wm,West Siang (Mechukha)
ocd-division/country:in/state:ar/district:ws,West Siang
ocd-division/country:in/state:as/district:ba,Baksa
ocd-division/country:in/state:as/district:bn,Bongaigaon
ocd-division/country:in/state:as/district:br,Barpeta
ocd-division/country:in/state:as/district:bs,Biswanath
ocd-division/country:in/state:as/district:ca,Cachar
ocd-division/country:in/state:as/district:ch,Chirang
ocd-division/country:in/state:as/district:cr,Charaideo
ocd-division/country:in/state:as/district:da,Darrang
ocd-division/country:in/state:as/district:db,Dibrugarh
ocd-division/country:in/state:as/district:de,Dhemaji
ocd-division/country:in/state:as/district:dh,Dhubri
ocd-division/country:in/state:as/district:dm,Dima Hasao
ocd-division/country:in/state:as/district:gl,Golaghat
ocd-division/country:in/state:as/district:go,Goalpara
ocd-division/country:in/state:as/district:ha,Hailakandi
ocd-division/country:in/state:as/district:ho,Hojal
ocd-division/country:in/state:as/district:jo,Jorhat
ocd-division/country:in/state:as/district:ka,Kamrup
ocd-division/country:in/state:as/district:kb,Karbi Anglong
ocd-division/country:in/state:as/district:kk,Kokrajhar
ocd-division/country:in/state:as/district:km,Kamrup Metro
ocd-division/country:in/state:as/district:kr,Karimganj
ocd-division/country:in/state:as/district:la,Lakhimpur
ocd-division/country:in/state:as/district:ma,Majuli
ocd-division/country:in/state:as/district:mo,Morigaon
ocd-division/country:in/state:as/district:na,Nagaon
ocd-division/country:in/state:as/district:nl,Nalbari
ocd-division/country:in/state:as/district:si,Sivasagar
ocd-division/country:in/state:as/district:so,Sonitpur
ocd-division/country:in/state:as/district:ss,South Salmara Mankachar
ocd-division/country:in/state:as/district:ti,Tinsukia
ocd-division/country:in/state:as/district:ud,Udalguri
ocd-division/country:in/state:as/district:wk,West Karbi Anglong
ocd-division/country:in/state:br/district:ar,Araria
ocd-division/country:in/state:br/district:au,Aurangabad
ocd-division/country:in/state:br/district:aw,Arwal
ocd-division/country:in/state:br/district:ba,Banka
ocd-division/country:in/state:br/district:be,Begusarai
ocd-division/country:in/state:br/district:bg,Bhagalpur
ocd-division/country:in/state:br/district:bj,Bhojpur
ocd-division/country:in/state:br/district:bu,Buxar
ocd-division/country:in/state:br/district:da,Darbhanga
ocd-division/country:in/state:br/district:ec,Purvi Champaran
ocd-division/country:in/state:br/district:ga,Gaya
ocd-division/country:in/state:br/district:go,Gopalganj
ocd-division/country:in/state:br/district:ja,Jamui
ocd-division/country:in/state:br/district:je,Jahanabad
ocd-division/country:in/state:br/district:kh,Khagaria
ocd-division/country:in/state:br/district:ki,Kishanganj
ocd-division/country:in/state:br/district:km,Kaimur
ocd-division/country:in/state:br/district:kt,Katihar
ocd-division/country:in/state:br/district:la,Lakhisarai
ocd-division/country:in/state:br/district:mb,Madhubani
ocd-division/country:in/state:br/district:mg,Munger
ocd-division/country:in/state:br/district:mp,Madhepura
ocd-division/country:in/state:br/district:mz,Muzaffarpur
ocd-division/country:in/state:br/district:nl,Nalanda
ocd-division/country:in/state:br/district:nw,Nawada
ocd-division/country:in/state:br/district:pa,Patna
ocd-division/country:in/state:br/district:pu,Purnia
ocd-division/country:in/state:br/district:ro,Rohtas
ocd-division/country:in/state:br/district:sh,Saharsa
ocd-division/country:in/state:br/district:sm,Samastipur
ocd-division/country:in/state:br/district:so,Sheohar
ocd-division/country:in/state:br/district:sp,Sheikhpura
ocd-division/country:in/state:br/district:sr,Saran
ocd-division/country:in/state:br/district:st,Sitamarhi
ocd-division/country:in/state:br/district:su,Supaul
ocd-division/country:in/state:br/district:sw,Siwan
ocd-division/country:in/state:br/district:va,Vaishali
ocd-division/country:in/state:br/district:wc,Paschim Champaran
ocd-division/country:in/state:ct/district:ba,Balod
ocd-division/country:in/state:ct/district:bi,Bijapur
ocd-division/country:in/state:ct/district:bl,Bilaspur
ocd-division/country:in/state:ct/district:bm,Bemetara
ocd-division/country:in/state:ct/district:bo,Balodbazar
ocd-division/country:in/state:ct/district:br,Balrampur
ocd-division/country:in/state:ct/district:bt,Bastar(jagdalpur)
ocd-division/country:in/state:ct/district:da,Dantewada
ocd-division/country:in/state:ct/district:dh,Dhamtari
ocd-division/country:in/state:ct/district:du,Durg
ocd-division/country:in/state:ct/district:ga,Gariyaband
ocd-division/country:in/state:ct/district:ja,Jashpur
ocd-division/country:in/state:ct/district:jn,Janggir-Champa
ocd-division/country:in/state:ct/district:kb,Kabirdham
