id,name
ocd-division/country:in/state:ap/special:graduate,Graduate
ocd-division/country:in/state:ap/special:graduate/ed:east_godavari_west_godavari,East Godavari-West Godavari
ocd-division/country:in/state:ap/special:graduate/ed:krishna_guntur,Krishna-Guntur
ocd-division/country:in/state:ap/special:graduate/ed:kurnool_kadapa_anantapur,Kurnool-Kadapa-Anantapur
ocd-division/country:in/state:ap/special:graduate/ed:prakasam_nellore_chittoor,Prakasam-Nellore-Chittoor
ocd-division/country:in/state:ap/special:graduate/ed:vishakapatnam_vizianagaram_srikakulam,Vishakapatnam-Vizianagaram-Srikakulam
ocd-division/country:in/state:ap/special:local_authority,Local body
ocd-division/country:in/state:ap/special:local_authority/ed:anantapur,Anantapur
ocd-division/country:in/state:ap/special:local_authority/ed:chittoor,Chittoor
ocd-division/country:in/state:ap/special:local_authority/ed:east_godavari,East Godavari
ocd-division/country:in/state:ap/special:local_authority/ed:guntur,Guntur
ocd-division/country:in/state:ap/special:local_authority/ed:kadapa,Kadapa
ocd-division/country:in/state:ap/special:local_authority/ed:kurnool,Kurnool
ocd-division/country:in/state:ap/special:local_authority/ed:nellore,Nellore
ocd-division/country:in/state:ap/special:local_authority/ed:prakasam,Prakasam
ocd-division/country:in/state:ap/special:local_authority/ed:srikakulam,Srikakulam
ocd-division/country:in/state:ap/special:local_authority/ed:vishakapatnam,Vishakapatnam
ocd-division/country:in/state:ap/special:local_authority/ed:vizianagaram,Vizianagaram
ocd-division/country:in/state:ap/special:local_authority/ed:west_godavari,West Godavari
ocd-division/country:in/state:ap/special:teacher,Teacher
ocd-division/country:in/state:ap/special:teacher/ed:anantapur_kadapa_kurnool,Anantapur-Kadapa-Kurnool
ocd-division/country:in/state:ap/special:teacher/ed:chittoor_nellore_prakasam,Chittoor-Nellore-Prakasam
ocd-division/country:in/state:ap/special:teacher/ed:east_godavari_west_godavari,East Godavari-West Godavari
ocd-division/country:in/state:ap/special:teacher/ed:guntur_krishna,Guntur-Krishna
ocd-division/country:in/state:ap/special:teacher/ed:srikakulam_vizianagaram_vishakapatnam,Srikakulam-Vizianagaram-Vishakapatnam
ocd-division/country:in/state:br/special:graduate,Graduate
ocd-division/country:in/state:br/special:graduate/ed:darbhanga,Darbhanga
ocd-division/country:in/state:br/special:graduate/ed:gaya,Gaya
ocd-division/country:in/state:br/special:graduate/ed:koshi,Koshi
ocd-division/country:in/state:br/special:graduate/ed:patna,Patna
ocd-division/country:in/state:br/special:graduate/ed:saran,Saran
ocd-division/country:in/state:br/special:graduate/ed:tirhut,Tirhut
ocd-division/country:in/state:br/special:local_body,Local body
ocd-division/country:in/state:br/special:local_body/ed:aurangabad,Aurangabad
ocd-division/country:in/state:br/special:local_body/ed:begusarai_khagaria,Begusarai-Khagaria
ocd-division/country:in/state:br/special:local_body/ed:bhagalpur_banka,Bhagalpur-Banka
ocd-division/country:in/state:br/special:local_body/ed:bhojpur_buxer,Bhojpur-Buxer
ocd-division/country:in/state:br/special:local_body/ed:darbhanga,Darbhanga
ocd-division/country:in/state:br/special:local_body/ed:east_champaran,East Champaran
