id,name
ocd-division/country:in/state:ap/special:graduate,Graduate
ocd-division/country:in/state:ap/special:local_authority,Local body
ocd-division/country:in/state:ap/special:teacher,Teacher
ocd-division/country:in/state:br/special:graduate,Graduate
ocd-division/country:in/state:br/special:local_body,Local body
ocd-division/country:in/state:br/special:teacher,Teacher
ocd-division/country:in/state:ka/special:graduate,Graduate
ocd-division/country:in/state:ka/special:local_authority,Local body
ocd-division/country:in/state:ka/special:teacher,Teacher
ocd-division/country:in/state:mh/special:graduate,Graduate
ocd-division/country:in/state:mh/special:local_authority,Local body
ocd-division/country:in/state:mh/special:teacher,Teacher
ocd-division/country:in/state:tg/special:graduate,Graduate
ocd-division/country:in/state:tg/special:local_authority,Local body
ocd-division/country:in/state:tg/special:teacher,Teacher
ocd-division/country:in/state:up/special:graduate,Graduate
ocd-division/country:in/state:up/special:local_authority,Local body
ocd-division/country:in/state:up/special:teacher,Teacher
