id,name
ocd-division/country:it/cameri:abruzzo,Circoscrizione Abruzzo
ocd-division/country:it/cameri:basilicata,Circoscrizione Basilicata
ocd-division/country:it/cameri:calabria,Circoscrizione Calabria
ocd-division/country:it/cameri:campania,Circoscrizione Campania
ocd-division/country:it/cameri:emilia-romagna,Circoscrizione Emilia-Romagna
ocd-division/country:it/cameri:friuli-venezia_giulia,Circoscrizione Friuli-Venezia Giulia
ocd-division/country:it/cameri:lazio,Circoscrizione Lazio
ocd-division/country:it/cameri:liguria,Circoscrizione Liguria
ocd-division/country:it/cameri:lombardia,Circoscrizione Lombardia
ocd-division/country:it/cameri:marche,Circoscrizione Marche
ocd-division/country:it/cameri:molise,Circoscrizione Molise
ocd-division/country:it/cameri:piemonte,Circoscrizione Piemonte
ocd-division/country:it/cameri:puglia,Circoscrizione Puglia
ocd-division/country:it/cameri:sardegna,Circoscrizione Sardegna
ocd-division/country:it/cameri:sicilia,Circoscrizione Sicilia
ocd-division/country:it/cameri:toscana,Circoscrizione Toscana
ocd-division/country:it/cameri:trentino-alto_adige,Circoscrizione Trentino-Alto Adige
ocd-division/country:it/cameri:umbria,Circoscrizione Umbria
ocd-division/country:it/cameri:valle_d_aosta,Circoscrizione Valle D'Aosta
ocd-division/country:it/cameri:veneto,Circoscrizione Veneto
ocd-division/country:it/cameri:diaspora-_europa,Abroad - Europe
ocd-division/country:it/cameri:diaspora-_america_settentrionale_e_centrale,Abroad - North and Central America
ocd-division/country:it/cameri:diaspora-_america_meridionale,Abroad - South America
ocd-division/country:it/cameri:diaspora-_africa_asia_oceania_e_antartide,Abroad - Africa Asia Oceania and Antarctica
ocd-division/country:it/cameri:abruzzo/cp:1,Collegio plurinominale Abruzzo - 01
ocd-division/country:it/cameri:basilicata/cp:1,Collegio plurinominale Basilicata - 01
ocd-division/country:it/cameri:calabria/cp:1,Collegio plurinominale Calabria - 01
ocd-division/country:it/cameri:campania/cp:1-1,Collegio plurinominale Campania 1 - 01
ocd-division/country:it/cameri:campania/cp:1-2,Collegio plurinominale Campania 1 - 02
ocd-division/country:it/cameri:campania/cp:2-1,Collegio plurinominale Campania 2 - 01
ocd-division/country:it/cameri:campania/cp:2-2,Collegio plurinominale Campania 2 - 02
ocd-division/country:it/cameri:emilia-romagna/cp:1,Collegio plurinominale Emilia-Romagna - 01
ocd-division/country:it/cameri:emilia-romagna/cp:2,Collegio plurinominale Emilia-Romagna - 02
ocd-division/country:it/cameri:emilia-romagna/cp:3,Collegio plurinominale Emilia-Romagna - 03
ocd-division/country:it/cameri:friuli-venezia_giulia/cp:1,Collegio plurinominale Friuli-Venezia Giulia - 01
ocd-division/country:it/cameri:lazio/cp:1-1,Collegio plurinominale Lazio 1 - 01
ocd-division/country:it/cameri:lazio/cp:1-2,Collegio plurinominale Lazio 1 - 02
ocd-division/country:it/cameri:lazio/cp:1-3,Collegio plurinominale Lazio 1 - 03
