id,name
ocd-division/country:it/region:abruzzo,Abruzzo
ocd-division/country:it/region:basilicata,Basilicata
ocd-division/country:it/region:calabria,Calabria
ocd-division/country:it/region:campania,Campania
ocd-division/country:it/region:emilia-romagna,Emilia-Romagna
ocd-division/country:it/region:friuli-venezia_giulia,Friuli-Venezia Giulia
ocd-division/country:it/region:lazio,Lazio
ocd-division/country:it/region:liguria,Liguria
ocd-division/country:it/region:lombardia,Lombardia
ocd-division/country:it/region:marche,Marche
ocd-division/country:it/region:molise,Molise
ocd-division/country:it/region:piemonte,Piemonte
ocd-division/country:it/region:puglia,Puglia
ocd-division/country:it/region:sardegna,Sardegna
ocd-division/country:it/region:sicilia,Sicilia
ocd-division/country:it/region:toscana,Toscana
ocd-division/country:it/region:trentino-alto_adige_sudtirol,Trentino-Alto Adige/Südtirol
ocd-division/country:it/region:umbria,Umbria
ocd-division/country:it/region:valle_d_aosta,Valle D'Aosta
ocd-division/country:it/region:veneto,Veneto
ocd-division/country:it/region:diaspora_europa,Abroad - Europe
ocd-division/country:it/region:diaspora_america_settentrionale_e_centrale,Abroad - North and Central America
ocd-division/country:it/region:diaspora_america_meridionale,Abroad - South America
ocd-division/country:it/region:diaspora_africa_asia_oceania_e_antartide,Abroad - Africa Asia Oceania and Antarctica
