id,name
ocd-division/country:jp/at_large:aichi,Aichi
ocd-division/country:jp/at_large:akita,Akita
ocd-division/country:jp/at_large:aomori,Aomori
ocd-division/country:jp/at_large:chiba,Chiba
ocd-division/country:jp/at_large:ehime,Ehime
ocd-division/country:jp/at_large:fukui,Fukui
ocd-division/country:jp/at_large:fukuoka,Fukuoka
ocd-division/country:jp/at_large:fukushima,Fukushima
ocd-division/country:jp/at_large:gifu,Gifu
ocd-division/country:jp/at_large:gunma,Gunma
ocd-division/country:jp/at_large:hiroshima,Hiroshima
ocd-division/country:jp/at_large:hokkaido,Hokkaido
ocd-division/country:jp/at_large:hyogo,Hyogo
ocd-division/country:jp/at_large:ibaraki,Ibaraki
ocd-division/country:jp/at_large:ishikawa,Ishikawa
ocd-division/country:jp/at_large:iwate,Iwate
ocd-division/country:jp/at_large:kagawa,Kagawa
ocd-division/country:jp/at_large:kagoshima,Kagoshima
ocd-division/country:jp/at_large:kanagawa,Kanagawa
ocd-division/country:jp/at_large:kumamoto,Kumamoto
ocd-division/country:jp/at_large:kyoto,Kyoto
ocd-division/country:jp/at_large:mie,Mie
ocd-division/country:jp/at_large:miyagi,Miyagi
ocd-division/country:jp/at_large:miyazaki,Miyazaki
ocd-division/country:jp/at_large:nagano,Nagano
ocd-division/country:jp/at_large:nagasaki,Nagasaki
ocd-division/country:jp/at_large:nara,Nara
ocd-division/country:jp/at_large:niigata,Niigata
ocd-division/country:jp/at_large:ōita,Ōita
ocd-division/country:jp/at_large:okayama,Okayama
ocd-division/country:jp/at_large:okinawa,Okinawa
ocd-division/country:jp/at_large:osaka,Osaka
ocd-division/country:jp/at_large:saga,Saga
ocd-division/country:jp/at_large:saitama,Saitama
ocd-division/country:jp/at_large:shiga,Shiga
ocd-division/country:jp/at_large:shizuoka,Shizuoka
ocd-division/country:jp/at_large:tochigi,Tochigi
ocd-division/country:jp/at_large:tokushima-kochi,Tokushima-Kochi
ocd-division/country:jp/at_large:tokyo,Tokyo
ocd-division/country:jp/at_large:tottori-shimane,Tottori-Shimane
ocd-division/country:jp/at_large:toyama,Toyama
ocd-division/country:jp/at_large:wakayama,Wakayama
ocd-division/country:jp/at_large:yamagata,Yamagata
ocd-division/country:jp/at_large:yamaguchi,Yamaguchi
ocd-division/country:jp/at_large:yamanashi,Yamanashi
