id,name
ocd-division/country:jp/perfecture:jp-23,Aichi
ocd-division/country:jp/perfecture:jp-05,Akita
ocd-division/country:jp/perfecture:jp-02,Aomori
ocd-division/country:jp/perfecture:jp-12,Chiba
ocd-division/country:jp/perfecture:jp-38,Ehime
ocd-division/country:jp/perfecture:jp-18,Fukui
ocd-division/country:jp/perfecture:jp-40,Fukuoka
ocd-division/country:jp/perfecture:jp-07,Fukushima
ocd-division/country:jp/perfecture:jp-21,Gifu
ocd-division/country:jp/perfecture:jp-10,Gunma
ocd-division/country:jp/perfecture:jp-34,Hiroshima
ocd-division/country:jp/perfecture:jp-01,Hokkaido
ocd-division/country:jp/perfecture:jp-28,Hyōgo
ocd-division/country:jp/perfecture:jp-08,Ibaraki
ocd-division/country:jp/perfecture:jp-17,Ishikawa
ocd-division/country:jp/perfecture:jp-03,Iwate
ocd-division/country:jp/perfecture:jp-37,Kagawa
ocd-division/country:jp/perfecture:jp-46,Kagoshima
ocd-division/country:jp/perfecture:jp-14,Kanagawa
ocd-division/country:jp/perfecture:jp-39,Kōchi
ocd-division/country:jp/perfecture:jp-43,Kumamoto
ocd-division/country:jp/perfecture:jp-26,Kyoto
ocd-division/country:jp/perfecture:jp-24,Mie
ocd-division/country:jp/perfecture:jp-04,Miyagi
ocd-division/country:jp/perfecture:jp-45,Miyazaki
ocd-division/country:jp/perfecture:jp-20,Nagano
ocd-division/country:jp/perfecture:jp-42,Nagasaki
ocd-division/country:jp/perfecture:jp-29,Nara
ocd-division/country:jp/perfecture:jp-15,Niigata
ocd-division/country:jp/perfecture:jp-44,Ōita
ocd-division/country:jp/perfecture:jp-33,Okayama
ocd-division/country:jp/perfecture:jp-47,Okinawa
ocd-division/country:jp/perfecture:jp-27,Osaka
ocd-division/country:jp/perfecture:jp-41,Saga
ocd-division/country:jp/perfecture:jp-11,Saitama
ocd-division/country:jp/perfecture:jp-25,Shiga
ocd-division/country:jp/perfecture:jp-32,Shimane
ocd-division/country:jp/perfecture:jp-22,Shizuoka
ocd-division/country:jp/perfecture:jp-09,Tochigi
ocd-division/country:jp/perfecture:jp-36,Tokushima
ocd-division/country:jp/perfecture:jp-13,Tokyo
ocd-division/country:jp/perfecture:jp-31,Tottori
ocd-division/country:jp/perfecture:jp-16,Toyama
ocd-division/country:jp/perfecture:jp-30,Wakayama
ocd-division/country:jp/perfecture:jp-06,Yamagata
ocd-division/country:jp/perfecture:jp-35,Yamaguchi
ocd-division/country:jp/perfecture:jp-19,Yamanashi
