id,name
ocd-division/country:ke/county:ke-01,Mombasa
ocd-division/country:ke/county:ke-02,Kwale
ocd-division/country:ke/county:ke-03,Kilifi
ocd-division/country:ke/county:ke-04,Tana River
ocd-division/country:ke/county:ke-05,Lamu
ocd-division/country:ke/county:ke-06,Taita Taveta
ocd-division/country:ke/county:ke-07,Garissa
ocd-division/country:ke/county:ke-08,Wajir
ocd-division/country:ke/county:ke-09,Mandera
ocd-division/country:ke/county:ke-10,Marsabit
ocd-division/country:ke/county:ke-11,Isiolo
ocd-division/country:ke/county:ke-12,Meru
ocd-division/country:ke/county:ke-13,Tharaka - Nithi
ocd-division/country:ke/county:ke-14,Embu
ocd-division/country:ke/county:ke-15,Kitui
ocd-division/country:ke/county:ke-16,Machakos
ocd-division/country:ke/county:ke-17,Makueni
ocd-division/country:ke/county:ke-18,Nyandarua
ocd-division/country:ke/county:ke-19,Nyeri
ocd-division/country:ke/county:ke-20,Kirinyaga
ocd-division/country:ke/county:ke-21,Murang'a
ocd-division/country:ke/county:ke-22,Kiambu
ocd-division/country:ke/county:ke-23,Turkana
ocd-division/country:ke/county:ke-24,West Pokot
ocd-division/country:ke/county:ke-25,Samburu
ocd-division/country:ke/county:ke-26,Trans Nzoia
ocd-division/country:ke/county:ke-27,Uasin Gishu
ocd-division/country:ke/county:ke-28,Elgeyo Marakwet
ocd-division/country:ke/county:ke-29,Nandi
ocd-division/country:ke/county:ke-30,Baringo
ocd-division/country:ke/county:ke-31,Laikipia
ocd-division/country:ke/county:ke-32,Nakuru
ocd-division/country:ke/county:ke-33,Narok
ocd-division/country:ke/county:ke-34,Kajiado
ocd-division/country:ke/county:ke-35,Kericho
ocd-division/country:ke/county:ke-36,Bomet
ocd-division/country:ke/county:ke-37,Kakamega
ocd-division/country:ke/county:ke-38,Vihiga
ocd-division/country:ke/county:ke-39,Bungoma
ocd-division/country:ke/county:ke-40,Busia
ocd-division/country:ke/county:ke-41,Siaya
ocd-division/country:ke/county:ke-42,Kisumu
ocd-division/country:ke/county:ke-43,Homa Bay
ocd-division/country:ke/county:ke-44,Migori
ocd-division/country:ke/county:ke-45,Kisii
ocd-division/country:ke/county:ke-46,Nyamira
ocd-division/country:ke/county:ke-47,Nairobi City
