id,name,validThrough,validFrom
ocd-division/country:kr,South Korea,,
ocd-division/country:kr/ed:andong_city_and_yecheon_county,Andong City and Yecheon County,,
ocd-division/country:kr/ed:ansan_city_danwon_district_1,Ansan City Danwon District First,2024-05-29,
ocd-division/country:kr/ed:ansan_city_danwon_district_2,Ansan City Danwon District Second,2024-05-29,
ocd-division/country:kr/ed:ansan_city_district_1,Ansan City First,,2024-05-30
ocd-division/country:kr/ed:ansan_city_district_2,Ansan City Second,,2024-05-30
ocd-division/country:kr/ed:ansan_city_district_3,Ansan City Third,,2024-05-30
ocd-division/country:kr/ed:ansan_city_sangnok_district_1,Ansan City Sangnok District First,2024-05-29,
ocd-division/country:kr/ed:ansan_city_sangnok_district_2,Ansan City Sangnok District Second,2024-05-29,
ocd-division/country:kr/ed:anseong_city,Anseong City,,
ocd-division/country:kr/ed:anyang_city_dongan_district_1,Anyang City Dongan District First,,
ocd-division/country:kr/ed:anyang_city_dongan_district_2,Anyang City Dongan District Second,,
ocd-division/country:kr/ed:anyang_city_manan_district,Anyang City Manan District,,
ocd-division/country:kr/ed:asan_city_1,Asan City First,,
ocd-division/country:kr/ed:asan_city_2,Asan City Second,,
ocd-division/country:kr/ed:boeun_county-okcheon_county-yeongdong_county_and_goesan_county,"Boeun County, Okcheon County, Yeongdong County and Goesan County",,
ocd-division/country:kr/ed:boryeong_city_and_seocheon_county,Boryeong City and Seocheon County,,
ocd-division/country:kr/ed:bucheon_city_1,Bucheon City First,,
ocd-division/country:kr/ed:bucheon_city_2,Bucheon City Second,,
ocd-division/country:kr/ed:bucheon_city_3,Bucheon City Third,,
ocd-division/country:kr/ed:bucheon_city_fourth,Bucheon City Fourth,2024-05-29,
ocd-division/country:kr/ed:buk_district_1,Buk District First,,2024-05-30
ocd-division/country:kr/ed:buk_district_2,Buk District Second,,2024-05-30
ocd-division/country:kr/ed:bupyeong_district_1,Bupyeong District First,,
ocd-division/country:kr/ed:bupyeong_district_2,Bupyeong District Second,,
ocd-division/country:kr/ed:busan_buk_district_and_gangseo_district_1,Buk District and Gangseo District First (Busan),,
ocd-division/country:kr/ed:busan_buk_district_and_gangseo_district_2,Buk District and Gangseo District Second (Busan),,
ocd-division/country:kr/ed:busan_nam_district_1,Nam District First (Busan),,
ocd-division/country:kr/ed:busan_nam_district_2,Nam District Second (Busan),,
ocd-division/country:kr/ed:busanjin_district_1,Busanjin District First,,
ocd-division/country:kr/ed:busanjin_district_2,Busanjin District Second,,
ocd-division/country:kr/ed:central_district_and_yeong_island,Central District and Yeong Island,,
ocd-division/country:kr/ed:changwon_city_jinhae_district,Changwon City Jinhae District,,
ocd-division/country:kr/ed:changwon_city_masanhappo_district,Changwon City Masanhappo District,,
ocd-division/country:kr/ed:changwon_city_masanhoewon_district,Changwon City Masanhoewon District,,
ocd-division/country:kr/ed:changwon_city_seongsan_district,Changwon City Seongsan District,,
ocd-division/country:kr/ed:changwon_city_uichang_district,Changwon City Uichang District,,
ocd-division/country:kr/ed:cheonan_city_1,Cheonan City First,,
ocd-division/country:kr/ed:cheonan_city_2,Cheonan City Second,,
ocd-division/country:kr/ed:cheonan_city_3,Cheonan City Third,,
ocd-division/country:kr/ed:cheongju_city_cheongwon_district,Cheongju City Cheongwon District,,
ocd-division/country:kr/ed:cheongju_city_heungdeok_district,Cheongju City Heungdeok District,,
ocd-division/country:kr/ed:cheongju_city_sangdang_district,Cheongju City Sangdang District,,
ocd-division/country:kr/ed:cheongju_city_seowon_district,Cheongju City Seowon District,,
ocd-division/country:kr/ed:chuncheon_city-cherwon_county-hwacheon_county_and_yanggu_county_1,"Chuncheon City, Cherwon County, Hwacheon County and Yanggu County First",,
ocd-division/country:kr/ed:chuncheon_city-cherwon_county-hwacheon_county_and_yangu_county_2,"Chuncheon City, Cherwon County, Hwacheon County and Yangu County Second",,
ocd-division/country:kr/ed:chungju_city,Chungju City,,
ocd-division/country:kr/ed:daedeok_district,Daedeok District,,
ocd-division/country:kr/ed:daegu_buk_district_1,Buk District First (Daegu),,
ocd-division/country:kr/ed:daegu_buk_district_2,Buk District Second (Daegu),,
ocd-division/country:kr/ed:daegu_dong_district_1,Dong District First (Daegu),,
ocd-division/country:kr/ed:daegu_dong_district_2,Dong District Second (Daegu),,
ocd-division/country:kr/ed:daegu_seo_district,Seo District (Daegu),,
