id,name
ocd-division/country:my/state:09/ed:p001,Padang Besar
ocd-division/country:my/state:09/ed:p002,Kangar
ocd-division/country:my/state:09/ed:p003,Arau
ocd-division/country:my/state:02/ed:p004,Langkawi
ocd-division/country:my/state:02/ed:p005,Jerlun
ocd-division/country:my/state:02/ed:p006,Kubang Pasu
ocd-division/country:my/state:02/ed:p007,Padang Terap
ocd-division/country:my/state:02/ed:p008,Pokok Sena
ocd-division/country:my/state:02/ed:p009,Alor Setar
ocd-division/country:my/state:02/ed:p010,Kuala Kedah
ocd-division/country:my/state:02/ed:p011,Pendang
ocd-division/country:my/state:02/ed:p012,Jerai
ocd-division/country:my/state:02/ed:p013,Sik
ocd-division/country:my/state:02/ed:p014,Merbok
ocd-division/country:my/state:02/ed:p015,Sungai Petani
ocd-division/country:my/state:02/ed:p016,Baling
ocd-division/country:my/state:02/ed:p017,Padang Serai
ocd-division/country:my/state:02/ed:p018,Kulim-Bandar Baharu
ocd-division/country:my/state:03/ed:p019,Tumpat
ocd-division/country:my/state:03/ed:p020,Pengkalan Chepa
ocd-division/country:my/state:03/ed:p021,Kota Bharu
ocd-division/country:my/state:03/ed:p022,Pasir Mas
ocd-division/country:my/state:03/ed:p023,Rantau Panjang
ocd-division/country:my/state:03/ed:p024,Kubang Kerian
ocd-division/country:my/state:03/ed:p025,Bachok
ocd-division/country:my/state:03/ed:p026,Ketereh
ocd-division/country:my/state:03/ed:p027,Tanah Merah
ocd-division/country:my/state:03/ed:p028,Pasir Puteh
ocd-division/country:my/state:03/ed:p029,Machang
ocd-division/country:my/state:03/ed:p030,Jeli
ocd-division/country:my/state:03/ed:p031,Kuala Krai
ocd-division/country:my/state:03/ed:p032,Gua Musang
ocd-division/country:my/state:11/ed:p033,Besut
ocd-division/country:my/state:11/ed:p034,Setiu
ocd-division/country:my/state:11/ed:p035,Kuala Nerus
ocd-division/country:my/state:11/ed:p036,Kuala Terengganu
ocd-division/country:my/state:11/ed:p037,Marang
ocd-division/country:my/state:11/ed:p038,Hulu Terengganu
ocd-division/country:my/state:11/ed:p039,Dungun
ocd-division/country:my/state:11/ed:p040,Kemaman
ocd-division/country:my/state:07/ed:p041,Kepala Batas
ocd-division/country:my/state:07/ed:p042,Tasek Gelugor
