id,name
ocd-division/country:no,Norway
ocd-division/country:no/ed:01,Østfold
ocd-division/country:no/ed:02,Akershus
ocd-division/country:no/ed:03,Oslo
ocd-division/country:no/ed:04,Hedmark
ocd-division/country:no/ed:05,Oppland
ocd-division/country:no/ed:06,Buskerud
ocd-division/country:no/ed:07,Vestfold
ocd-division/country:no/ed:08,Telemark
ocd-division/country:no/ed:09,Aust-Agder
ocd-division/country:no/ed:10,Vest-Agder
ocd-division/country:no/ed:11,Rogaland
ocd-division/country:no/ed:12,Hordaland
ocd-division/country:no/ed:14,Sogn og Fjordane
ocd-division/country:no/ed:15,Møre og Romsdal
ocd-division/country:no/ed:16,Sør-Trøndelag
ocd-division/country:no/ed:17,Nord-Trøndelag
ocd-division/country:no/ed:18,Nordland
ocd-division/country:no/ed:19,Troms
ocd-division/country:no/ed:20,Finnmark
