id,name
ocd-division/country:no,Norway
ocd-division/country:no/county:03,Oslo
ocd-division/country:no/county:11,Rogaland
ocd-division/country:no/county:15,Møre og Romsdal
ocd-division/country:no/county:18,Nordland
ocd-division/country:no/county:30,Viken
ocd-division/country:no/county:34,Innlandet
ocd-division/country:no/county:38,Vestfold og Telemark
ocd-division/country:no/county:42,Agder
ocd-division/country:no/county:46,Vestland
ocd-division/country:no/county:50,Trøndelag
ocd-division/country:no/county:54,Troms og Finnmark
