id,name
ocd-division/country:nz,New Zealand
ocd-division/country:nz/general_electorate:auckland_central,New Zealand House of Representatives Auckland Central General electorate
ocd-division/country:nz/general_electorate:bay_of_plenty,New Zealand House of Representatives Bay of Plenty General electorate
ocd-division/country:nz/general_electorate:botany,New Zealand House of Representatives Botany General electorate
ocd-division/country:nz/general_electorate:christchurch_central,New Zealand House of Representatives Christchurch Central General electorate
ocd-division/country:nz/general_electorate:christchurch_east,New Zealand House of Representatives Christchurch East General electorate
ocd-division/country:nz/general_electorate:clutha-southland,New Zealand House of Representatives Clutha-Southland General electorate
ocd-division/country:nz/general_electorate:coromandel,New Zealand House of Representatives Coromandel General electorate
ocd-division/country:nz/general_electorate:dunedin_north,New Zealand House of Representatives Dunedin North General electorate
ocd-division/country:nz/general_electorate:dunedin_south,New Zealand House of Representatives Dunedin South General electorate
ocd-division/country:nz/general_electorate:east_coast,New Zealand House of Representatives East Coast General electorate
ocd-division/country:nz/general_electorate:east_coast_bays,New Zealand House of Representatives East Coast Bays General electorate
ocd-division/country:nz/general_electorate:epsom,New Zealand House of Representatives Epsom General electorate
ocd-division/country:nz/general_electorate:hamilton_east,New Zealand House of Representatives Hamilton East General electorate
ocd-division/country:nz/general_electorate:hamilton_west,New Zealand House of Representatives Hamilton West General electorate
ocd-division/country:nz/general_electorate:helensville,New Zealand House of Representatives Helensville General electorate
ocd-division/country:nz/general_electorate:hunua,New Zealand House of Representatives Hunua General electorate
ocd-division/country:nz/general_electorate:hutt_south,New Zealand House of Representatives Hutt South General electorate
ocd-division/country:nz/general_electorate:ilam,New Zealand House of Representatives Ilam General electorate
ocd-division/country:nz/general_electorate:invercargill,New Zealand House of Representatives Invercargill General electorate
ocd-division/country:nz/general_electorate:kaikoura,New Zealand House of Representatives Kaikoura General electorate
ocd-division/country:nz/general_electorate:kelston,New Zealand House of Representatives Kelston General electorate
ocd-division/country:nz/general_electorate:mana,New Zealand House of Representatives Mana General electorate
ocd-division/country:nz/general_electorate:mangere,New Zealand House of Representatives Mangere General electorate
ocd-division/country:nz/general_electorate:manukau_east,New Zealand House of Representatives Manukau East General electorate
ocd-division/country:nz/general_electorate:manurewa,New Zealand House of Representatives Manurewa General electorate
ocd-division/country:nz/general_electorate:maungakiekie,New Zealand House of Representatives Maungakiekie General electorate
ocd-division/country:nz/general_electorate:mt_albert,New Zealand House of Representatives Mt Albert General electorate
ocd-division/country:nz/general_electorate:mt_roskill,New Zealand House of Representatives Mt Roskill General electorate
ocd-division/country:nz/general_electorate:napier,New Zealand House of Representatives Napier General electorate
ocd-division/country:nz/general_electorate:nelson,New Zealand House of Representatives Nelson General electorate
ocd-division/country:nz/general_electorate:new_lynn,New Zealand House of Representatives New Lynn General electorate
ocd-division/country:nz/general_electorate:new_plymouth,New Zealand House of Representatives New Plymouth General electorate
ocd-division/country:nz/general_electorate:northcote,New Zealand House of Representatives Northcote General electorate
ocd-division/country:nz/general_electorate:northland,New Zealand House of Representatives Northland General electorate
ocd-division/country:nz/general_electorate:north_shore,New Zealand House of Representatives North Shore General electorate
ocd-division/country:nz/general_electorate:ohariu,New Zealand House of Representatives Ohariu General electorate
ocd-division/country:nz/general_electorate:otaki,New Zealand House of Representatives Otaki General electorate
ocd-division/country:nz/general_electorate:pakuranga,New Zealand House of Representatives Pakuranga General electorate
ocd-division/country:nz/general_electorate:palmerston_north,New Zealand House of Representatives Palmerston North General electorate
ocd-division/country:nz/general_electorate:papakura,New Zealand House of Representatives Papakura General electorate
ocd-division/country:nz/general_electorate:port_hills,New Zealand House of Representatives Port Hills General electorate
ocd-division/country:nz/general_electorate:rangitata,New Zealand House of Representatives Rangitata General electorate
ocd-division/country:nz/general_electorate:rangitikei,New Zealand House of Representatives Rangitikei General electorate
ocd-division/country:nz/general_electorate:rimutaka,New Zealand House of Representatives Rimutaka General electorate
ocd-division/country:nz/general_electorate:rodney,New Zealand House of Representatives Rodney General electorate
ocd-division/country:nz/general_electorate:rongotai,New Zealand House of Representatives Rongotai General electorate
ocd-division/country:nz/general_electorate:rotorua,New Zealand House of Representatives Rotorua General electorate
ocd-division/country:nz/general_electorate:selwyn,New Zealand House of Representatives Selwyn General electorate
ocd-division/country:nz/general_electorate:tamaki,New Zealand House of Representatives Tamaki General electorate
ocd-division/country:nz/general_electorate:taranaki-king_country,New Zealand House of Representatives Taranaki-King Country General electorate
ocd-division/country:nz/general_electorate:taupo,New Zealand House of Representatives Taupo General electorate
ocd-division/country:nz/general_electorate:tauranga,New Zealand House of Representatives Tauranga General electorate
ocd-division/country:nz/general_electorate:te_atatu,New Zealand House of Representatives Te Atatu General electorate
ocd-division/country:nz/general_electorate:tukituki,New Zealand House of Representatives Tukituki General electorate
ocd-division/country:nz/general_electorate:upper_harbour,New Zealand House of Representatives Upper Harbour General electorate
ocd-division/country:nz/general_electorate:waikato,New Zealand House of Representatives Waikato General electorate
ocd-division/country:nz/general_electorate:waimakariri,New Zealand House of Representatives Waimakariri General electorate
ocd-division/country:nz/general_electorate:wairarapa,New Zealand House of Representatives Wairarapa General electorate
ocd-division/country:nz/general_electorate:waitaki,New Zealand House of Representatives Waitaki General electorate
ocd-division/country:nz/general_electorate:wellington_central,New Zealand House of Representatives Wellington Central General electorate
ocd-division/country:nz/general_electorate:west_coast-tasman,New Zealand House of Representatives West Coast-Tasman General electorate
ocd-division/country:nz/general_electorate:whanganui,New Zealand House of Representatives Whanganui General electorate
ocd-division/country:nz/general_electorate:whangarei,New Zealand House of Representatives Whangarei General electorate
ocd-division/country:nz/general_electorate:wigram,New Zealand House of Representatives Wigram General electorate
ocd-division/country:nz/maori_electorate:hauraki-waikato,New Zealand House of Representatives Hauraki-Waikato Maori electorate
ocd-division/country:nz/maori_electorate:ikaroa-rawhiti,New Zealand House of Representatives Ikaroa-Rawhiti Maori electorate
ocd-division/country:nz/maori_electorate:tamaki_makaurau,New Zealand House of Representatives Tamaki Makaurau Maori electorate
ocd-division/country:nz/maori_electorate:te_tai_hauauru,New Zealand House of Representatives Te Tai Hauauru Maori electorate
ocd-division/country:nz/maori_electorate:te_tai_tokerau,New Zealand House of Representatives Te Tai Tokerau Maori electorate
ocd-division/country:nz/maori_electorate:te_tai_tonga,New Zealand House of Representatives Te Tai Tonga Maori electorate
ocd-division/country:nz/maori_electorate:waiariki,New Zealand House of Representatives Waiariki Maori electorate
