id,name,validFrom,validTo
ocd-division/country:ph,Philippines,,
ocd-division/country:ph/cd:abra,Abra's at-large,,
ocd-division/country:ph/cd:agusan_del_norte_1st,Agusan del Norte's 1st,,
ocd-division/country:ph/cd:agusan_del_norte_2nd,Agusan del Norte's 2nd,,
ocd-division/country:ph/cd:agusan_del_sur_1st,Agusan del Sur's 1st,,
ocd-division/country:ph/cd:agusan_del_sur_2nd,Agusan del Sur's 2nd,,
ocd-division/country:ph/cd:aklan_1st,Aklan's 1st,,
ocd-division/country:ph/cd:aklan_2nd,Aklan's 2nd,,
ocd-division/country:ph/cd:albay_1st,Albay's 1st,,
ocd-division/country:ph/cd:albay_2nd,Albay's 2nd,,
ocd-division/country:ph/cd:albay_3rd,Albay's 3rd,,
ocd-division/country:ph/cd:antipolo_1st,Antipolo's 1st,,
ocd-division/country:ph/cd:antipolo_2nd,Antipolo's 2nd,,
ocd-division/country:ph/cd:antique,Antique's at-large,,
ocd-division/country:ph/cd:apayao,Apayao's at-large,,
ocd-division/country:ph/cd:aurora,Aurora's at-large,,
ocd-division/country:ph/cd:bacolod,Bacolod's at-large,,
ocd-division/country:ph/cd:baguio,Baguio's at-large,,
ocd-division/country:ph/cd:basilan,Basilan's at-large,,
ocd-division/country:ph/cd:bataan_1st,Bataan's 1st,,
ocd-division/country:ph/cd:bataan_2nd,Bataan's 2nd,,
ocd-division/country:ph/cd:bataan_3rd,Bataan's 3rd,,
ocd-division/country:ph/cd:batanes,Batanes's at-large,,
ocd-division/country:ph/cd:batangas_1st,Batangas's 1st,,
ocd-division/country:ph/cd:batangas_2nd,Batangas's 2nd,,
ocd-division/country:ph/cd:batangas_3rd,Batangas's 3rd,,
ocd-division/country:ph/cd:batangas_4th,Batangas's 4th,,
ocd-division/country:ph/cd:batangas_5th,Batangas's 5th,,
ocd-division/country:ph/cd:batangas_6th,Batangas's 6th,,
ocd-division/country:ph/cd:benguet,Benguet's at-large,,
ocd-division/country:ph/cd:biliran,Biliran's at-large,,
ocd-division/country:ph/cd:biñan,Biñan's at-large,,
ocd-division/country:ph/cd:bohol_1st,Bohol's 1st,,
ocd-division/country:ph/cd:bohol_2nd,Bohol's 2nd,,
ocd-division/country:ph/cd:bohol_3rd,Bohol's 3rd,,
ocd-division/country:ph/cd:bukidnon_1st,Bukidnon's 1st,,
ocd-division/country:ph/cd:bukidnon_2nd,Bukidnon's 2nd,,
ocd-division/country:ph/cd:bukidnon_3rd,Bukidnon's 3rd,,
ocd-division/country:ph/cd:bukidnon_4th,Bukidnon's 4th,,
ocd-division/country:ph/cd:bulacan_1st,Bulacan's 1st,,
ocd-division/country:ph/cd:bulacan_2nd,Bulacan's 2nd,,
ocd-division/country:ph/cd:bulacan_3rd,Bulacan's 3rd,,
ocd-division/country:ph/cd:bulacan_4th,Bulacan's 4th,,
ocd-division/country:ph/cd:bulacan_5th,Bulacan's 5th,,
ocd-division/country:ph/cd:bulacan_6th,Bulacan's 6th,,
ocd-division/country:ph/cd:cagayan_1st,Cagayan's 1st,,
ocd-division/country:ph/cd:cagayan_2nd,Cagayan's 2nd,,
ocd-division/country:ph/cd:cagayan_3rd,Cagayan's 3rd,,
ocd-division/country:ph/cd:cagayan_de_oro_1st,Cagayan de Oro's 1st,,
ocd-division/country:ph/cd:cagayan_de_oro_2nd,Cagayan de Oro's 2nd,,
ocd-division/country:ph/cd:calamba,Calamba's at-large,,
ocd-division/country:ph/cd:caloocan_1st,Caloocan's 1st,,
ocd-division/country:ph/cd:caloocan_2nd,Caloocan's 2nd,,
ocd-division/country:ph/cd:caloocan_3rd,Caloocan's 3rd,,
ocd-division/country:ph/cd:camarines_norte_1st,Camarines Norte's 1st,,
ocd-division/country:ph/cd:camarines_norte_2nd,Camarines Norte's 2nd,,
ocd-division/country:ph/cd:camarines_sur_1st,Camarines Sur's 1st,,
ocd-division/country:ph/cd:camarines_sur_2nd,Camarines Sur's 2nd,,
ocd-division/country:ph/cd:camarines_sur_3rd,Camarines Sur's 3rd,,
ocd-division/country:ph/cd:camarines_sur_4th,Camarines Sur's 4th,,
ocd-division/country:ph/cd:camarines_sur_5th,Camarines Sur's 5th,,
ocd-division/country:ph/cd:camiguin,Camiguin's at-large,,
ocd-division/country:ph/cd:capiz_1st,Capiz's 1st,,
ocd-division/country:ph/cd:capiz_2nd,Capiz's 2nd,,
ocd-division/country:ph/cd:catanduanes,Catanduanes's at-large,,
ocd-division/country:ph/cd:cavite_1st,Cavite's 1st,,
ocd-division/country:ph/cd:cavite_2nd,Cavite's 2nd,,
ocd-division/country:ph/cd:cavite_3rd,Cavite's 3rd,,
ocd-division/country:ph/cd:cavite_4th,Cavite's 4th,,
ocd-division/country:ph/cd:cavite_5th,Cavite's 5th,,
ocd-division/country:ph/cd:cavite_6th,Cavite's 6th,,
ocd-division/country:ph/cd:cavite_7th,Cavite's 7th,,
ocd-division/country:ph/cd:cavite_8th,Cavite's 8th,,
ocd-division/country:ph/cd:cebu_1st,Cebu's 1st,,
ocd-division/country:ph/cd:cebu_2nd,Cebu's 2nd,,
ocd-division/country:ph/cd:cebu_3rd,Cebu's 3rd,,
ocd-division/country:ph/cd:cebu_4th,Cebu's 4th,,
ocd-division/country:ph/cd:cebu_5th,Cebu's 5th,,
ocd-division/country:ph/cd:cebu_6th,Cebu's 6th,,
ocd-division/country:ph/cd:cebu_7th,Cebu's 7th,,
ocd-division/country:ph/cd:cebu_city_1st,Cebu City's 1st,,
ocd-division/country:ph/cd:cebu_city_2nd,Cebu City's 2nd,,
ocd-division/country:ph/cd:cotabato_1st,Cotabato's 1st,,
ocd-division/country:ph/cd:cotabato_2nd,Cotabato's 2nd,,
ocd-division/country:ph/cd:cotabato_3rd,Cotabato's 3rd,,
ocd-division/country:ph/cd:davao_city_1st,Davao City's 1st,,
ocd-division/country:ph/cd:davao_city_2nd,Davao City's 2nd,,
ocd-division/country:ph/cd:davao_city_3rd,Davao City's 3rd,,
ocd-division/country:ph/cd:davao_de_oro_1st,Davao de Oro's 1st,,
ocd-division/country:ph/cd:davao_de_oro_2nd,Davao de Oro's 2nd,,
ocd-division/country:ph/cd:davao_del_norte_1st,Davao del Norte's 1st,,
ocd-division/country:ph/cd:davao_del_norte_2nd,Davao del Norte's 2nd,,
ocd-division/country:ph/cd:davao_del_sur,Davao del Sur's at-large,,
ocd-division/country:ph/cd:davao_occidental,Davao Occidental's at-large,,
ocd-division/country:ph/cd:davao_oriental_1st,Davao Oriental's 1st,,
ocd-division/country:ph/cd:davao_oriental_2nd,Davao Oriental's 2nd,,
ocd-division/country:ph/cd:dinagat_islands,Dinagat Islands's at-large,,
ocd-division/country:ph/cd:eastern_samar,Eastern Samar's at-large,,
ocd-division/country:ph/cd:general_santos,General Santos' at-large,,
ocd-division/country:ph/cd:guimaras,Guimaras's at-large,,
ocd-division/country:ph/cd:ifugao,Ifugao's at-large,,
ocd-division/country:ph/cd:iligan,Iligan's at-large,,
ocd-division/country:ph/cd:ilocos_norte_1st,Ilocos Norte's 1st,,
ocd-division/country:ph/cd:ilocos_norte_2nd,Ilocos Norte's 2nd,,
ocd-division/country:ph/cd:ilocos_sur_1st,Ilocos Sur's 1st,,
ocd-division/country:ph/cd:ilocos_sur_2nd,Ilocos Sur's 2nd,,
ocd-division/country:ph/cd:iloilo_1st,Iloilo's 1st,,
ocd-division/country:ph/cd:iloilo_2nd,Iloilo's 2nd,,
ocd-division/country:ph/cd:iloilo_3rd,Iloilo's 3rd,,
ocd-division/country:ph/cd:iloilo_4th,Iloilo's 4th,,
ocd-division/country:ph/cd:iloilo_5th,Iloilo's 5th,,
ocd-division/country:ph/cd:iloilo_city,Iloilo City's at-large,,
ocd-division/country:ph/cd:isabela_1st,Isabela's 1st,,
ocd-division/country:ph/cd:isabela_2nd,Isabela's 2nd,,
ocd-division/country:ph/cd:isabela_3rd,Isabela's 3rd,,
ocd-division/country:ph/cd:isabela_4th,Isabela's 4th,,
ocd-division/country:ph/cd:isabela_5th,Isabela's 5th,,
ocd-division/country:ph/cd:isabela_6th,Isabela's 6th,,
ocd-division/country:ph/cd:kalinga,Kalinga's at-large,,
ocd-division/country:ph/cd:la_union_1st,La Union's 1st,,
ocd-division/country:ph/cd:la_union_2nd,La Union's 2nd,,
ocd-division/country:ph/cd:laguna_1st,Laguna's 1st,,
ocd-division/country:ph/cd:laguna_2nd,Laguna's 2nd,,
ocd-division/country:ph/cd:laguna_3rd,Laguna's 3rd,,
ocd-division/country:ph/cd:laguna_4th,Laguna's 4th,,
ocd-division/country:ph/cd:lanao_del_norte_1st,Lanao del Norte's 1st,,
ocd-division/country:ph/cd:lanao_del_norte_2nd,Lanao del Norte's 2nd,,
ocd-division/country:ph/cd:lanao_del_sur_1st,Lanao del Sur's 1st,,
ocd-division/country:ph/cd:lanao_del_sur_2nd,Lanao del Sur's 2nd,,
ocd-division/country:ph/cd:lapu-lapu,Lapu-Lapu's at-large,,
ocd-division/country:ph/cd:las_piñas,Las Piñas's at-large,,
ocd-division/country:ph/cd:leyte_1st,Leyte's 1st,,
ocd-division/country:ph/cd:leyte_2nd,Leyte's 2nd,,
ocd-division/country:ph/cd:leyte_3rd,Leyte's 3rd,,
ocd-division/country:ph/cd:leyte_4th,Leyte's 4th,,
ocd-division/country:ph/cd:leyte_5th,Leyte's 5th,,
ocd-division/country:ph/cd:maguindanao_1st,Maguindanao's 1st,,
ocd-division/country:ph/cd:maguindanao_2nd,Maguindanao's 2nd,,
ocd-division/country:ph/cd:makati_1st,Makati's 1st,,
ocd-division/country:ph/cd:makati_2nd,Makati's 2nd,,
ocd-division/country:ph/cd:malabon,Malabon's at-large,,
ocd-division/country:ph/cd:mandaluyong,Mandaluyong's at-large,,
ocd-division/country:ph/cd:mandaue,Mandaue's at-large,,
ocd-division/country:ph/cd:manila_1st,Manila's 1st,,
ocd-division/country:ph/cd:manila_2nd,Manila's 2nd,,
ocd-division/country:ph/cd:manila_3rd,Manila's 3rd,,
ocd-division/country:ph/cd:manila_4th,Manila's 4th,,
ocd-division/country:ph/cd:manila_5th,Manila's 5th,,
ocd-division/country:ph/cd:manila_6th,Manila's 6th,,
ocd-division/country:ph/cd:marikina_1st,Marikina's 1st,,
ocd-division/country:ph/cd:marikina_2nd,Marikina's 2nd,,
ocd-division/country:ph/cd:marinduque,Marinduque's at-large,,
ocd-division/country:ph/cd:masbate_1st,Masbate's 1st,,
ocd-division/country:ph/cd:masbate_2nd,Masbate's 2nd,,
ocd-division/country:ph/cd:masbate_3rd,Masbate's 3rd,,
ocd-division/country:ph/cd:misamis_occidental_1st,Misamis Occidental's 1st,,
ocd-division/country:ph/cd:misamis_occidental_2nd,Misamis Occidental's 2nd,,
ocd-division/country:ph/cd:misamis_oriental_1st,Misamis Oriental's 1st,,
ocd-division/country:ph/cd:misamis_oriental_2nd,Misamis Oriental's 2nd,,
ocd-division/country:ph/cd:mountain_province,Mountain Province's at-large,,
ocd-division/country:ph/cd:muntinlupa,Muntinlupa's at-large,,
ocd-division/country:ph/cd:navotas,Navotas's at-large,,
ocd-division/country:ph/cd:negros_occidental_1st,Negros Occidental's 1st,,
ocd-division/country:ph/cd:negros_occidental_2nd,Negros Occidental's 2nd,,
ocd-division/country:ph/cd:negros_occidental_3rd,Negros Occidental's 3rd,,
ocd-division/country:ph/cd:negros_occidental_4th,Negros Occidental's 4th,,
ocd-division/country:ph/cd:negros_occidental_5th,Negros Occidental's 5th,,
ocd-division/country:ph/cd:negros_occidental_6th,Negros Occidental's 6th,,
ocd-division/country:ph/cd:negros_oriental_1st,Negros Oriental's 1st,,
ocd-division/country:ph/cd:negros_oriental_2nd,Negros Oriental's 2nd,,
ocd-division/country:ph/cd:negros_oriental_3rd,Negros Oriental's 3rd,,
ocd-division/country:ph/cd:northern_samar_1st,Northern Samar's 1st,,
ocd-division/country:ph/cd:northern_samar_2nd,Northern Samar's 2nd,,
ocd-division/country:ph/cd:nueva_ecija_1st,Nueva Ecija's 1st,,
ocd-division/country:ph/cd:nueva_ecija_2nd,Nueva Ecija's 2nd,,
ocd-division/country:ph/cd:nueva_ecija_3rd,Nueva Ecija's 3rd,,
ocd-division/country:ph/cd:nueva_ecija_4th,Nueva Ecija's 4th,,
ocd-division/country:ph/cd:nueva_vizcaya,Nueva Vizcaya's at-large,,
ocd-division/country:ph/cd:occidental_mindoro,Occidental Mindoro's at-large,,
ocd-division/country:ph/cd:oriental_mindoro_1st,Oriental Mindoro's 1st,,
ocd-division/country:ph/cd:oriental_mindoro_2nd,Oriental Mindoro's 2nd,,
ocd-division/country:ph/cd:palawan_1st,Palawan's 1st,,
ocd-division/country:ph/cd:palawan_2nd,Palawan's 2nd,,
ocd-division/country:ph/cd:palawan_3rd,Palawan's 3rd,,
ocd-division/country:ph/cd:pampanga_1st,Pampanga's 1st,,
ocd-division/country:ph/cd:pampanga_2nd,Pampanga's 2nd,,
ocd-division/country:ph/cd:pampanga_3rd,Pampanga's 3rd,,
ocd-division/country:ph/cd:pampanga_4th,Pampanga's 4th,,
ocd-division/country:ph/cd:pangasinan_1st,Pangasinan's 1st,,
ocd-division/country:ph/cd:pangasinan_2nd,Pangasinan's 2nd,,
ocd-division/country:ph/cd:pangasinan_3rd,Pangasinan's 3rd,,
ocd-division/country:ph/cd:pangasinan_4th,Pangasinan's 4th,,
ocd-division/country:ph/cd:pangasinan_5th,Pangasinan's 5th,,
ocd-division/country:ph/cd:pangasinan_6th,Pangasinan's 6th,,
ocd-division/country:ph/cd:parañaque_1st,Parañaque's 1st,,
ocd-division/country:ph/cd:parañaque_2nd,Parañaque's 2nd,,
ocd-division/country:ph/cd:pasay,Pasay's at-large,,
ocd-division/country:ph/cd:pasig,Pasig's at-large,,
ocd-division/country:ph/cd:quezon_1st,Quezon's 1st,,
ocd-division/country:ph/cd:quezon_2nd,Quezon's 2nd,,
ocd-division/country:ph/cd:quezon_3rd,Quezon's 3rd,,
ocd-division/country:ph/cd:quezon_4th,Quezon's 4th,,
ocd-division/country:ph/cd:quezon_city_1st,Quezon City's 1st,,
ocd-division/country:ph/cd:quezon_city_2nd,Quezon City's 2nd,,
ocd-division/country:ph/cd:quezon_city_3rd,Quezon City's 3rd,,
ocd-division/country:ph/cd:quezon_city_4th,Quezon City's 4th,,
ocd-division/country:ph/cd:quezon_city_5th,Quezon City's 5th,,
ocd-division/country:ph/cd:quezon_city_6th,Quezon City's 6th,,
ocd-division/country:ph/cd:quirino,Quirino's at-large,,
ocd-division/country:ph/cd:rizal_1st,Rizal's 1st,,
ocd-division/country:ph/cd:rizal_2nd,Rizal's 2nd,,
ocd-division/country:ph/cd:rizal_3rd,Rizal's 3rd,,
ocd-division/country:ph/cd:rizal_4th,Rizal's 4th,,
ocd-division/country:ph/cd:romblon,Romblon's at-large,,
ocd-division/country:ph/cd:samar_1st,Samar's 1st,,
ocd-division/country:ph/cd:samar_2nd,Samar's 2nd,,
ocd-division/country:ph/cd:san_jose_del_monte,San Jose del Monte's at-large,,
ocd-division/country:ph/cd:san_juan,San Juan's at-large,,
ocd-division/country:ph/cd:santa_rosa,Santa Rosa's at-large,,
ocd-division/country:ph/cd:sarangani,Sarangani's at-large,,
ocd-division/country:ph/cd:siquijor,Siquijor's at-large,,
ocd-division/country:ph/cd:sorsogon_1st,Sorsogon's 1st,,
ocd-division/country:ph/cd:sorsogon_2nd,Sorsogon's 2nd,,
ocd-division/country:ph/cd:south_cotabato_1st,South Cotabato's 1st,,
ocd-division/country:ph/cd:south_cotabato_2nd,South Cotabato's 2nd,,
ocd-division/country:ph/cd:southern_leyte,Southern Leyte's at-large,,2022-06-30
ocd-division/country:ph/cd:southern_leyte_1st,Southern Leyte's 1st,,
ocd-division/country:ph/cd:southern_leyte_2nd,Southern Leyte's 2nd,,
ocd-division/country:ph/cd:sultan_kudarat_1st,Sultan Kudarat's 1st,,
ocd-division/country:ph/cd:sultan_kudarat_2nd,Sultan Kudarat's 2nd,,
ocd-division/country:ph/cd:sulu_1st,Sulu's 1st,,
ocd-division/country:ph/cd:sulu_2nd,Sulu's 2nd,,
ocd-division/country:ph/cd:surigao_del_norte_1st,Surigao del Norte's 1st,,
ocd-division/country:ph/cd:surigao_del_norte_2nd,Surigao del Norte's 2nd,,
ocd-division/country:ph/cd:surigao_del_sur_1st,Surigao del Sur's 1st,,
ocd-division/country:ph/cd:surigao_del_sur_2nd,Surigao del Sur's 2nd,,
ocd-division/country:ph/cd:taguig_pateros_1st,Taguig–Pateros's 1st,,
ocd-division/country:ph/cd:taguig_pateros_2nd,Taguig–Pateros's 2nd,,
ocd-division/country:ph/cd:tarlac_1st,Tarlac's 1st,,
ocd-division/country:ph/cd:tarlac_2nd,Tarlac's 2nd,,
ocd-division/country:ph/cd:tarlac_3rd,Tarlac's 3rd,,
ocd-division/country:ph/cd:tawi_tawi,Tawi-Tawi's at-large,,
ocd-division/country:ph/cd:valenzuela_1st,Valenzuela's 1st,,
ocd-division/country:ph/cd:valenzuela_2nd,Valenzuela's 2nd,,
ocd-division/country:ph/cd:zambales_1st,Zambales's 1st,,
ocd-division/country:ph/cd:zambales_2nd,Zambales's 2nd,,
ocd-division/country:ph/cd:zamboanga_city_1st,Zamboanga City's 1st,,
ocd-division/country:ph/cd:zamboanga_city_2nd,Zamboanga City's 2nd,,
ocd-division/country:ph/cd:zamboanga_del_norte_1st,Zamboanga del Norte's 1st,,
ocd-division/country:ph/cd:zamboanga_del_norte_2nd,Zamboanga del Norte's 2nd,,
ocd-division/country:ph/cd:zamboanga_del_norte_3rd,Zamboanga del Norte's 3rd,,
ocd-division/country:ph/cd:zamboanga_del_sur_1st,Zamboanga del Sur's 1st,,
ocd-division/country:ph/cd:zamboanga_del_sur_2nd,Zamboanga del Sur's 2nd,,
ocd-division/country:ph/cd:zamboanga_sibugay_1st,Zamboanga Sibugay's 1st,,
ocd-division/country:ph/cd:zamboanga_sibugay_2nd,Zamboanga Sibugay's 2nd,,
