id,name
ocd-division/country:pl/state:ds/cd:legnica/ed:1,Legnica 1
ocd-division/country:pl/state:ds/cd:legnica/ed:2,Legnica 2
ocd-division/country:pl/state:ds/cd:legnica/ed:3,Legnica 3
ocd-division/country:pl/state:ds/cd:wałbrzych/ed:1,Wałbrzych 1
ocd-division/country:pl/state:ds/cd:wałbrzych/ed:2,Wałbrzych 2
ocd-division/country:pl/state:ds/cd:wrocław/ed:1,Wrocław 1
ocd-division/country:pl/state:ds/cd:wrocław/ed:2,Wrocław 2
ocd-division/country:pl/state:ds/cd:wrocław/ed:3,Wrocław 3
ocd-division/country:pl/state:kp/cd:bydgoszcz/ed:1,Bydgoszcz 1
ocd-division/country:pl/state:kp/cd:bydgoszcz/ed:2,Bydgoszcz 2
ocd-division/country:pl/state:kp/cd:toruń/ed:1,Toruń 1
ocd-division/country:pl/state:kp/cd:toruń/ed:2,Toruń 2
ocd-division/country:pl/state:kp/cd:toruń/ed:3,Toruń 3
ocd-division/country:pl/state:lu/cd:lublin/ed:1,Lublin 1
ocd-division/country:pl/state:lu/cd:lublin/ed:2,Lublin 2
ocd-division/country:pl/state:lu/cd:lublin/ed:3,Lublin 3
ocd-division/country:pl/state:lu/cd:chełm/ed:1,Chełm 1
ocd-division/country:pl/state:lu/cd:chełm/ed:2,Chełm 2
ocd-division/country:pl/state:lu/cd:chełm/ed:3,Chełm 3
ocd-division/country:pl/state:lb/cd:zielona_góra/ed:1,Zielona Góra 1
ocd-division/country:pl/state:lb/cd:zielona_góra/ed:2,Zielona Góra 2
ocd-division/country:pl/state:lb/cd:zielona_góra/ed:3,Zielona Góra 3
ocd-division/country:pl/state:ld/cd:łódź/ed:1,Łódź 1
ocd-division/country:pl/state:ld/cd:łódź/ed:2,Łódź 2
ocd-division/country:pl/state:ld/cd:sieradz/ed:1,Sieradz 1
ocd-division/country:pl/state:ld/cd:sieradz/ed:2,Sieradz 2
ocd-division/country:pl/state:ld/cd:sieradz/ed:3,Sieradz 3
ocd-division/country:pl/state:ld/cd:piotrków_trybunalski/ed:1,Piotrków Trybunalski 1
ocd-division/country:pl/state:ld/cd:piotrków_trybunalski/ed:2,Piotrków Trybunalski 2
ocd-division/country:pl/state:ma/cd:kraków_i/ed:1,Kraków I 1
ocd-division/country:pl/state:ma/cd:kraków_ii/ed:1,Kraków II 1
ocd-division/country:pl/state:ma/cd:kraków_ii/ed:2,Kraków II 2
ocd-division/country:pl/state:ma/cd:kraków_ii/ed:3,Kraków II 3
ocd-division/country:pl/state:ma/cd:tarnów/ed:1,Tarnów 1
ocd-division/country:pl/state:ma/cd:tarnów/ed:2,Tarnów 2
ocd-division/country:pl/state:ma/cd:nowy_sącz/ed:1,Nowy Sącz 1
ocd-division/country:pl/state:ma/cd:nowy_sącz/ed:2,Nowy Sącz 2
ocd-division/country:pl/state:mz/cd:płock/ed:1,Płock 1
ocd-division/country:pl/state:mz/cd:płock/ed:2,Płock 2
ocd-division/country:pl/state:mz/cd:warszawa_i/ed:1,Warszawa I 1
ocd-division/country:pl/state:mz/cd:warszawa_i/ed:2,Warszawa I 2
