id,name
ocd-division/country:pl,Polska
ocd-division/country:pl/province:ds,Dolnośląskie
ocd-division/country:pl/province:kp,Kujawsko-pomorskie
ocd-division/country:pl/province:ld,Łódzkie
ocd-division/country:pl/province:lu,Lubelskie
ocd-division/country:pl/province:lb,Lubuskie
ocd-division/country:pl/province:ma,Małopolskie
ocd-division/country:pl/province:mz,Mazowieckie
ocd-division/country:pl/province:op,Opolskie
ocd-division/country:pl/province:pk,Podkarpackie
ocd-division/country:pl/province:pd,Podlaskie
ocd-division/country:pl/province:pm,Pomorskie
ocd-division/country:pl/province:sl,Śląskie
ocd-division/country:pl/province:sk,Świętokrzyskie
ocd-division/country:pl/province:wn,Warmińsko-mazurskie
ocd-division/country:pl/province:wp,Wielkopolskie
ocd-division/country:pl/province:zp,Zachodniopomorskie
