id,name
ocd-division/country:tr/province:01,Adana
ocd-division/country:tr/province:02,Adıyaman
ocd-division/country:tr/province:03,Afyonkarahisar
ocd-division/country:tr/province:04,Ağrı
ocd-division/country:tr/province:05,Amasya
ocd-division/country:tr/province:06,Ankara
ocd-division/country:tr/province:06/ed:1,Ankara I
ocd-division/country:tr/province:06/ed:2,Ankara II
ocd-division/country:tr/province:06/ed:3,Ankara III
ocd-division/country:tr/province:07,Antalya
ocd-division/country:tr/province:08,Artvin
ocd-division/country:tr/province:09,Aydın
ocd-division/country:tr/province:10,Balıkesir
ocd-division/country:tr/province:11,Bilecik
ocd-division/country:tr/province:12,Bingöl
ocd-division/country:tr/province:13,Bitlis
ocd-division/country:tr/province:14,Bolu
ocd-division/country:tr/province:15,Burdur
ocd-division/country:tr/province:16,Bursa
ocd-division/country:tr/province:16/ed:1,Bursa I
ocd-division/country:tr/province:16/ed:2,Bursa II
ocd-division/country:tr/province:17,Çanakkale
ocd-division/country:tr/province:18,Çankırı
ocd-division/country:tr/province:19,Çorum
ocd-division/country:tr/province:20,Denizli
ocd-division/country:tr/province:21,Diyarbakır
ocd-division/country:tr/province:22,Edirne
ocd-division/country:tr/province:23,Elazığ
ocd-division/country:tr/province:24,Erzincan
ocd-division/country:tr/province:25,Erzurum
ocd-division/country:tr/province:26,Eskisehir
ocd-division/country:tr/province:27,Gaziantep
ocd-division/country:tr/province:28,Giresun
ocd-division/country:tr/province:29,Gümüşhane
ocd-division/country:tr/province:30,Hakkari
ocd-division/country:tr/province:31,Hatay
ocd-division/country:tr/province:32,Isparta
ocd-division/country:tr/province:33,Mersin
ocd-division/country:tr/province:34,Istanbul
ocd-division/country:tr/province:34/ed:1,Istanbul I
ocd-division/country:tr/province:34/ed:2,Istanbul II
ocd-division/country:tr/province:34/ed:3,Istanbul III
ocd-division/country:tr/province:35,İzmir
ocd-division/country:tr/province:35/ed:1,İzmir I
ocd-division/country:tr/province:35/ed:2,İzmir II
ocd-division/country:tr/province:36,Kars
ocd-division/country:tr/province:37,Kastamonu
ocd-division/country:tr/province:38,Kayseri
ocd-division/country:tr/province:39,Kırklareli
ocd-division/country:tr/province:40,Kırşehir
ocd-division/country:tr/province:41,Kocaeli
ocd-division/country:tr/province:42,Konya
ocd-division/country:tr/province:43,Kütahya
ocd-division/country:tr/province:44,Malatya
ocd-division/country:tr/province:45,Manisa
ocd-division/country:tr/province:46,Kahramanmaraş
ocd-division/country:tr/province:47,Mardin
ocd-division/country:tr/province:48,Muğla
ocd-division/country:tr/province:49,Muş
ocd-division/country:tr/province:50,Nevşehir
ocd-division/country:tr/province:51,Niğde
ocd-division/country:tr/province:52,Ordu
ocd-division/country:tr/province:53,Rize
ocd-division/country:tr/province:54,Sakarya
ocd-division/country:tr/province:55,Samsun
ocd-division/country:tr/province:56,Siirt
ocd-division/country:tr/province:57,Sinop
ocd-division/country:tr/province:58,Sivas
ocd-division/country:tr/province:59,Tekirdağ
ocd-division/country:tr/province:60,Tokat
ocd-division/country:tr/province:61,Trabzon
ocd-division/country:tr/province:62,Tunceli
ocd-division/country:tr/province:63,Şanlıurfa
ocd-division/country:tr/province:64,Uşak
ocd-division/country:tr/province:65,Van
ocd-division/country:tr/province:66,Yozgat
ocd-division/country:tr/province:67,Zonguldak
ocd-division/country:tr/province:68,Aksaray
ocd-division/country:tr/province:69,Bayburt
ocd-division/country:tr/province:70,Karaman
ocd-division/country:tr/province:71,Kırıkkale
ocd-division/country:tr/province:72,Batman
ocd-division/country:tr/province:73,Şırnak
ocd-division/country:tr/province:74,Bartın
ocd-division/country:tr/province:75,Ardahan
ocd-division/country:tr/province:76,Iğdır
ocd-division/country:tr/province:77,Yalova
ocd-division/country:tr/province:78,Karabük
ocd-division/country:tr/province:79,Kilis
ocd-division/country:tr/province:80,Osmaniye
ocd-division/country:tr/province:81,Düzce
