id,name
ocd-division/country:tw/ed:lowland_aborigine,Lowland Aborigine Constituency
ocd-division/country:tw/ed:highland_aborigine,Highland Aborigine Constituency
ocd-division/country:tw/province:khh/ed:1,Kaohsiung City Constituency 1
ocd-division/country:tw/province:khh/ed:2,Kaohsiung City Constituency 2
ocd-division/country:tw/province:khh/ed:3,Kaohsiung City Constituency 3
ocd-division/country:tw/province:khh/ed:4,Kaohsiung City Constituency 4
ocd-division/country:tw/province:khh/ed:5,Kaohsiung City Constituency 5
ocd-division/country:tw/province:khh/ed:6,Kaohsiung City Constituency 6
ocd-division/country:tw/province:khh/ed:7,Kaohsiung City Constituency 7
ocd-division/country:tw/province:khh/ed:8,Kaohsiung City Constituency 8
ocd-division/country:tw/province:nwt/ed:1,New Taipei City Constituency 1
ocd-division/country:tw/province:nwt/ed:2,New Taipei City Constituency 2
ocd-division/country:tw/province:nwt/ed:3,New Taipei City Constituency 3
ocd-division/country:tw/province:nwt/ed:4,New Taipei City Constituency 4
ocd-division/country:tw/province:nwt/ed:5,New Taipei City Constituency 5
ocd-division/country:tw/province:nwt/ed:6,New Taipei City Constituency 6
ocd-division/country:tw/province:nwt/ed:7,New Taipei City Constituency 7
ocd-division/country:tw/province:nwt/ed:8,New Taipei City Constituency 8
ocd-division/country:tw/province:nwt/ed:9,New Taipei City Constituency 9
ocd-division/country:tw/province:nwt/ed:10,New Taipei City Constituency 10
ocd-division/country:tw/province:nwt/ed:11,New Taipei City Constituency 11
ocd-division/country:tw/province:nwt/ed:12,New Taipei City Constituency 12
ocd-division/country:tw/province:tpe/ed:1,Taipei City Constituency 1
ocd-division/country:tw/province:tpe/ed:2,Taipei City Constituency 2
ocd-division/country:tw/province:tpe/ed:3,Taipei City Constituency 3
ocd-division/country:tw/province:tpe/ed:4,Taipei City Constituency 4
ocd-division/country:tw/province:tpe/ed:5,Taipei City Constituency 5
ocd-division/country:tw/province:tpe/ed:6,Taipei City Constituency 6
ocd-division/country:tw/province:tpe/ed:7,Taipei City Constituency 7
ocd-division/country:tw/province:tpe/ed:8,Taipei City Constituency 8
ocd-division/country:tw/province:tao/ed:1,Taoyuan City Constituency 1
ocd-division/country:tw/province:tao/ed:2,Taoyuan City Constituency 2
ocd-division/country:tw/province:tao/ed:3,Taoyuan City Constituency 3
ocd-division/country:tw/province:tao/ed:4,Taoyuan City Constituency 4
ocd-division/country:tw/province:tao/ed:5,Taoyuan City Constituency 5
ocd-division/country:tw/province:tao/ed:6,Taoyuan City Constituency 6
ocd-division/country:tw/province:txg/ed:1,Taichung City Constituency 1
ocd-division/country:tw/province:txg/ed:2,Taichung City Constituency 2
ocd-division/country:tw/province:txg/ed:3,Taichung City Constituency 3
ocd-division/country:tw/province:txg/ed:4,Taichung City Constituency 4
ocd-division/country:tw/province:txg/ed:5,Taichung City Constituency 5
ocd-division/country:tw/province:txg/ed:6,Taichung City Constituency 6
ocd-division/country:tw/province:txg/ed:7,Taichung City Constituency 7
ocd-division/country:tw/province:txg/ed:8,Taichung City Constituency 8
ocd-division/country:tw/province:tnn/ed:1,Tainan City Constituency 1
ocd-division/country:tw/province:tnn/ed:2,Tainan City Constituency 2
ocd-division/country:tw/province:tnn/ed:3,Tainan City Constituency 3
ocd-division/country:tw/province:tnn/ed:4,Tainan City Constituency 4
ocd-division/country:tw/province:tnn/ed:5,Tainan City Constituency 5
ocd-division/country:tw/province:tnn/ed:6,Tainan City Constituency 6
ocd-division/country:tw/province:hsq/ed:1,Hsinchu County Constituency 1
ocd-division/country:tw/province:hsq/ed:2,Hsinchu County Constituency 2
ocd-division/country:tw/province:cha/ed:1,Changhua County Constituency 1
ocd-division/country:tw/province:cha/ed:2,Changhua County Constituency 2
ocd-division/country:tw/province:cha/ed:3,Changhua County Constituency 3
ocd-division/country:tw/province:cha/ed:4,Changhua County Constituency 4
ocd-division/country:tw/province:nan/ed:1,Nantou County Constituency 1
ocd-division/country:tw/province:nan/ed:2,Nantou County Constituency 2
ocd-division/country:tw/province:yun/ed:1,Yunlin County Constituency 1
ocd-division/country:tw/province:yun/ed:2,Yunlin County Constituency 2
ocd-division/country:tw/province:cyq/ed:1,Chiayi County Constituency 1
ocd-division/country:tw/province:cyq/ed:2,Chiayi County Constituency 2
ocd-division/country:tw/province:pif/ed:1,Pingtung County Constituency 1
ocd-division/country:tw/province:pif/ed:2,Pingtung County Constituency 2
ocd-division/country:tw/province:mia/ed:1,Miaoli County Constituency 1
ocd-division/country:tw/province:mia/ed:2,Miaoli County Constituency 2
