id,name,ordnance_id
ocd-division/country:uk/cty:buckinghamshire_county,Buckinghamshire County,E10000002
ocd-division/country:uk/cty:cambridgeshire_county,Cambridgeshire County,E10000003
ocd-division/country:uk/cty:cumbria_county,Cumbria County,E10000006
ocd-division/country:uk/cty:derbyshire_county,Derbyshire County,E10000007
ocd-division/country:uk/cty:dorset_county,Dorset County,E10000009
ocd-division/country:uk/cty:east_sussex_county,East Sussex County,E10000011
ocd-division/country:uk/cty:essex_county,Essex County,E10000012
ocd-division/country:uk/cty:gloucestershire_county,Gloucestershire County,E10000013
ocd-division/country:uk/cty:hampshire_county,Hampshire County,E10000014
ocd-division/country:uk/cty:hertfordshire_county,Hertfordshire County,E10000015
ocd-division/country:uk/cty:kent_county,Kent County,E10000016
ocd-division/country:uk/cty:lancashire_county,Lancashire County,E10000017
ocd-division/country:uk/cty:leicestershire_county,Leicestershire County,E10000018
ocd-division/country:uk/cty:lincolnshire_county,Lincolnshire County,E10000019
ocd-division/country:uk/cty:northamptonshire_county,Northamptonshire County,E10000021
ocd-division/country:uk/cty:north_yorkshire_county,North Yorkshire County,E10000023
ocd-division/country:uk/cty:nottinghamshire_county,Nottinghamshire County,E10000024
ocd-division/country:uk/cty:oxfordshire_county,Oxfordshire County,E10000025
ocd-division/country:uk/cty:somerset_county,Somerset County,E10000027
ocd-division/country:uk/cty:staffordshire_county,Staffordshire County,E10000028
ocd-division/country:uk/cty:suffolk_county,Suffolk County,E10000029
ocd-division/country:uk/cty:surrey_county,Surrey County,E10000030
ocd-division/country:uk/cty:warwickshire_county,Warwickshire County,E10000031
ocd-division/country:uk/cty:west_sussex_county,West Sussex County,E10000032
ocd-division/country:uk/cty:worcestershire_county,Worcestershire County,E10000034
ocd-division/country:uk/gla:greater_london_authority,Greater London Authority,
ocd-division/country:uk/cty:norfolk_county,Norfolk County,E10000020
ocd-division/country:uk/cty:devon_county,Devon County,E10000008
